crypto,date,split,model_type,y_true,y_pred
ADAUSDT,2024-01-01,val,baseline,-0.14107859,0.0055093393
ADAUSDT,2024-01-02,val,baseline,-0.16612288,0.009532914
ADAUSDT,2024-01-03,val,baseline,0.016208388,0.019353308
ADAUSDT,2024-01-04,val,baseline,0.02100954,-0.0049151257
ADAUSDT,2024-01-05,val,baseline,0.011386716,-0.006522082
ADAUSDT,2024-01-06,val,baseline,0.049272887,-0.012633599
ADAUSDT,2024-01-07,val,baseline,0.06004157,-0.014379211
ADAUSDT,2024-01-08,val,baseline,-0.025450476,-0.025656871
ADAUSDT,2024-01-09,val,baseline,0.044282045,-0.01334887
ADAUSDT,2024-01-10,val,baseline,-0.06911908,-0.014439411
ADAUSDT,2024-01-11,val,baseline,-0.14667583,-0.0018120185
ADAUSDT,2024-01-12,val,baseline,-0.082175486,0.005176328
ADAUSDT,2024-01-13,val,baseline,-0.06217381,-0.0027658567
ADAUSDT,2024-01-14,val,baseline,-0.042601015,-0.0035060719
ADAUSDT,2024-01-15,val,baseline,-0.09747325,-0.009689681
ADAUSDT,2024-01-16,val,baseline,-0.11524239,-0.011477962
ADAUSDT,2024-01-17,val,baseline,-0.10300728,-0.010845304
ADAUSDT,2024-01-18,val,baseline,-0.07432227,-0.008681543
ADAUSDT,2024-01-19,val,baseline,-0.03942692,-0.01489646
ADAUSDT,2024-01-20,val,baseline,-0.059486702,-0.020629428
ADAUSDT,2024-01-21,val,baseline,-0.025970256,-0.018884085
ADAUSDT,2024-01-22,val,baseline,0.094436035,-0.012460627
ADAUSDT,2024-01-23,val,baseline,0.07329953,-0.014999405
ADAUSDT,2024-01-24,val,baseline,0.043328818,-0.021769889
ADAUSDT,2024-01-25,val,baseline,0.08461531,-0.022757776
ADAUSDT,2024-01-26,val,baseline,0.059447214,-0.026247121
ADAUSDT,2024-01-27,val,baseline,0.052485507,-0.025082804
ADAUSDT,2024-01-28,val,baseline,0.0063027553,-0.019544832
ADAUSDT,2024-01-29,val,baseline,-0.061956305,-0.0139165595
ADAUSDT,2024-01-30,val,baseline,-0.030242447,0.00043999404
ADAUSDT,2024-01-31,val,baseline,0.009201906,0.006915517
ADAUSDT,2024-02-01,val,baseline,0.04354377,0.004698083
ADAUSDT,2024-02-02,val,baseline,0.049474698,0.0076220036
ADAUSDT,2024-02-03,val,baseline,0.07353627,0.008710153
ADAUSDT,2024-02-04,val,baseline,0.092838176,0.007615529
ADAUSDT,2024-02-05,val,baseline,0.123162284,0.004198611
ADAUSDT,2024-02-06,val,baseline,0.089399986,0.0009362474
ADAUSDT,2024-02-07,val,baseline,0.13849714,0.0029131323
ADAUSDT,2024-02-08,val,baseline,0.13769409,0.012135722
ADAUSDT,2024-02-09,val,baseline,0.101729,0.020277575
ADAUSDT,2024-02-10,val,baseline,0.100161165,0.025025673
ADAUSDT,2024-02-11,val,baseline,0.13443144,0.030868873
ADAUSDT,2024-02-12,val,baseline,0.12048166,0.03144685
ADAUSDT,2024-02-13,val,baseline,0.13169451,0.030315347
ADAUSDT,2024-02-14,val,baseline,0.037432067,0.030110806
ADAUSDT,2024-02-15,val,baseline,-0.038347103,0.035231143
ADAUSDT,2024-02-16,val,baseline,-0.027436098,0.03600795
ADAUSDT,2024-02-17,val,baseline,-0.02105341,0.033019304
ADAUSDT,2024-02-18,val,baseline,-0.0460972,0.036782064
