seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
20,0.001,32,2,0.1,32,20,0.0,5,0.5913978494623656,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5830346475507766,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5710872162485066,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5710872162485066,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5698924731182796,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5686977299880526,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5663082437275986,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5639187574671446,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5627240143369175,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5603345280764636,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5603345280764636,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5579450418160096,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5519713261648747,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5507765830346475,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5483870967741935,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5424133811230586,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5244922341696535,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5065710872162486,da
