crypto,date,split,model_type,y_true,y_pred
BCHUSDT,2024-01-01,val,baseline,-0.053299945,-0.013818108
BCHUSDT,2024-01-02,val,baseline,-0.049023565,-0.014695354
BCHUSDT,2024-01-03,val,baseline,0.08476527,-0.009806454
BCHUSDT,2024-01-04,val,baseline,0.14220971,-0.016510852
BCHUSDT,2024-01-05,val,baseline,0.0802677,-0.021119237
BCHUSDT,2024-01-06,val,baseline,0.07347245,-0.024448514
BCHUSDT,2024-01-07,val,baseline,0.055221055,-0.026598543
BCHUSDT,2024-01-08,val,baseline,-0.014679891,-0.024084114
BCHUSDT,2024-01-09,val,baseline,0.025807884,-0.01841151
BCHUSDT,2024-01-10,val,baseline,-0.04209882,-0.017161623
BCHUSDT,2024-01-11,val,baseline,-0.14975375,-0.005330749
BCHUSDT,2024-01-12,val,baseline,-0.09076979,0.009785406
BCHUSDT,2024-01-13,val,baseline,-0.060846016,0.0068417415
BCHUSDT,2024-01-14,val,baseline,-0.03647317,-0.0044543743
BCHUSDT,2024-01-15,val,baseline,-0.059700787,-0.017253995
BCHUSDT,2024-01-16,val,baseline,-0.08991077,-0.02672135
BCHUSDT,2024-01-17,val,baseline,-0.032885376,-0.02994471
BCHUSDT,2024-01-18,val,baseline,-0.0046384227,-0.032992095
BCHUSDT,2024-01-19,val,baseline,0.020895036,-0.034703173
BCHUSDT,2024-01-20,val,baseline,0.019056085,-0.037437208
BCHUSDT,2024-01-21,val,baseline,0.0,-0.037853315
BCHUSDT,2024-01-22,val,baseline,0.023481162,-0.03183248
BCHUSDT,2024-01-23,val,baseline,0.03340782,-0.026052825
BCHUSDT,2024-01-24,val,baseline,-0.008499838,-0.025858633
BCHUSDT,2024-01-25,val,baseline,0.0,-0.027211435
BCHUSDT,2024-01-26,val,baseline,-0.023008754,-0.029373132
BCHUSDT,2024-01-27,val,baseline,-0.011141027,-0.03066539
BCHUSDT,2024-01-28,val,baseline,-0.007201895,-0.031771757
BCHUSDT,2024-01-29,val,baseline,-0.023056984,-0.033552483
BCHUSDT,2024-01-30,val,baseline,-0.009310266,-0.03497131
BCHUSDT,2024-01-31,val,baseline,0.026533458,-0.034824245
BCHUSDT,2024-02-01,val,baseline,0.03325327,-0.03573885
BCHUSDT,2024-02-02,val,baseline,0.057558015,-0.035857037
BCHUSDT,2024-02-03,val,baseline,0.027825035,-0.034950607
BCHUSDT,2024-02-04,val,baseline,0.16574502,-0.032083504
BCHUSDT,2024-02-05,val,baseline,0.17358974,-0.0320986
BCHUSDT,2024-02-06,val,baseline,0.13946612,-0.030975126
BCHUSDT,2024-02-07,val,baseline,0.15415068,-0.030511238
BCHUSDT,2024-02-08,val,baseline,0.100278124,-0.029006623
BCHUSDT,2024-02-09,val,baseline,0.091197565,-0.02584257
BCHUSDT,2024-02-10,val,baseline,0.07574965,-0.027878024
BCHUSDT,2024-02-11,val,baseline,-0.025539514,0.0014397427
BCHUSDT,2024-02-12,val,baseline,-0.026735697,0.019754872
BCHUSDT,2024-02-13,val,baseline,-0.019418085,0.017813198
BCHUSDT,2024-02-14,val,baseline,-0.064752296,0.01860606
BCHUSDT,2024-02-15,val,baseline,-0.037683435,0.017627798
BCHUSDT,2024-02-16,val,baseline,-0.03526066,0.013435833
BCHUSDT,2024-02-17,val,baseline,0.0014953273,0.0025953725
BCHUSDT,2024-02-18,val,baseline,-0.010027939,-0.010152735
BCHUSDT,2024-02-19,val,baseline,0.005841565,-0.017895527
BCHUSDT,2024-02-20,val,baseline,0.09900552,-0.018117324
BCHUSDT,2024-02-21,val,baseline,0.1191757,-0.020099707
BCHUSDT,2024-02-22,val,baseline,0.13353139,-0.02173119
BCHUSDT,2024-02-23,val,baseline,0.17809401,-0.02254089
BCHUSDT,2024-02-24,val,baseline,0.62693876,-0.022594348
BCHUSDT,2024-02-25,val,baseline,0.5631822,-0.021551602
BCHUSDT,2024-02-26,val,baseline,0.54447234,-0.019395627
BCHUSDT,2024-02-27,val,baseline,0.31447163,0.009995632
BCHUSDT,2024-02-28,val,baseline,0.33849448,0.030616887
BCHUSDT,2024-02-29,val,baseline,0.37290674,0.045540772
BCHUSDT,2024-03-01,val,baseline,0.32209724,0.041880168
BCHUSDT,2024-03-02,val,baseline,-0.14791724,0.0627675
BCHUSDT,2024-03-03,val,baseline,-0.1054786,0.057583757
BCHUSDT,2024-03-04,val,baseline,-0.05446622,0.03136105
BCHUSDT,2024-03-05,val,baseline,0.08138461,0.017426923
BCHUSDT,2024-03-06,val,baseline,0.06223609,-0.020448156
BCHUSDT,2024-03-07,val,baseline,0.019253403,-0.06012045
BCHUSDT,2024-03-08,val,baseline,-0.046421837,-0.08877513
BCHUSDT,2024-03-09,val,baseline,-0.106337905,-0.10702782
BCHUSDT,2024-03-10,val,baseline,-0.050373845,-0.11498537
BCHUSDT,2024-03-11,val,baseline,-0.111724265,-0.121681444
BCHUSDT,2024-03-12,val,baseline,-0.1925809,-0.1127109
BCHUSDT,2024-03-13,val,baseline,-0.076283306,-0.10621501
BCHUSDT,2024-03-14,val,baseline,-0.061078753,-0.091210276
BCHUSDT,2024-03-15,val,baseline,0.034669194,-0.07727801
BCHUSDT,2024-03-16,val,baseline,0.15972295,-0.05411534
BCHUSDT,2024-03-17,val,baseline,0.18641154,-0.043700323
BCHUSDT,2024-03-18,val,baseline,0.19512372,-0.03172671
BCHUSDT,2024-03-19,val,baseline,0.28956157,-0.009090841
BCHUSDT,2024-03-20,val,baseline,0.27374393,-0.008243822
BCHUSDT,2024-03-21,val,baseline,0.31423283,0.0038430765
BCHUSDT,2024-03-22,val,baseline,0.363651,0.016719103
BCHUSDT,2024-03-23,val,baseline,0.27064815,0.037990637
BCHUSDT,2024-03-24,val,baseline,0.33582416,0.05721491
BCHUSDT,2024-03-25,val,baseline,0.2841881,0.079453506
BCHUSDT,2024-03-26,val,baseline,0.28757775,0.08619446
BCHUSDT,2024-03-27,val,baseline,0.09495599,0.099859454
BCHUSDT,2024-03-28,val,baseline,0.15932384,0.10067735
BCHUSDT,2024-03-29,val,baseline,0.057453785,0.083135106
BCHUSDT,2024-03-30,val,baseline,0.14940622,0.05783341
BCHUSDT,2024-03-31,val,baseline,0.008947621,0.012645178
BCHUSDT,2024-04-01,val,baseline,0.050876282,-0.008550599
BCHUSDT,2024-04-02,val,baseline,0.050056223,-0.03082589
BCHUSDT,2024-04-03,val,baseline,0.059592098,-0.02974803
BCHUSDT,2024-04-04,val,baseline,-0.080067754,-0.04973711
BCHUSDT,2024-04-05,val,baseline,-0.20924395,-0.05959566
BCHUSDT,2024-04-06,val,baseline,-0.36937544,-0.07713048
BCHUSDT,2024-04-07,val,baseline,-0.26439613,-0.08556228
BCHUSDT,2024-04-08,val,baseline,-0.29307768,-0.0833931
BCHUSDT,2024-04-09,val,baseline,-0.32190192,-0.06574035
BCHUSDT,2024-04-10,val,baseline,-0.30478016,-0.021497257
BCHUSDT,2024-04-11,val,baseline,-0.24030395,0.017495215
BCHUSDT,2024-04-12,val,baseline,-0.11179947,0.07811839
BCHUSDT,2024-04-13,val,baseline,0.07199088,0.123626016
BCHUSDT,2024-04-14,val,baseline,-0.04573226,0.13239837
BCHUSDT,2024-04-15,val,baseline,0.02793586,0.13673502
BCHUSDT,2024-04-16,val,baseline,0.036499668,0.13929945
BCHUSDT,2024-04-17,val,baseline,0.03286631,0.12303672
BCHUSDT,2024-04-18,val,baseline,-0.010196738,0.09401331
BCHUSDT,2024-04-19,val,baseline,0.011676529,0.06774419
BCHUSDT,2024-04-20,val,baseline,-0.077217184,0.03935548
BCHUSDT,2024-04-21,val,baseline,-0.06520249,0.015734412
BCHUSDT,2024-04-22,val,baseline,-0.11675525,-0.0077084005
BCHUSDT,2024-04-23,val,baseline,-0.1512835,-0.021428682
BCHUSDT,2024-04-24,val,baseline,-0.12091685,-0.029114053
BCHUSDT,2024-04-25,val,baseline,-0.108362995,-0.039554406
BCHUSDT,2024-04-26,val,baseline,-0.063764915,-0.049170975
BCHUSDT,2024-04-27,val,baseline,-0.030431118,-0.05291667
BCHUSDT,2024-04-28,val,baseline,-0.0031931906,-0.0531684
BCHUSDT,2024-04-29,val,baseline,0.017054347,-0.050972067
BCHUSDT,2024-04-30,val,baseline,0.08137084,-0.038090847
BCHUSDT,2024-05-01,val,baseline,0.05362109,-0.028112166
BCHUSDT,2024-05-02,val,baseline,0.058400843,-0.025723107
BCHUSDT,2024-05-03,val,baseline,-0.059161928,-0.027885184
BCHUSDT,2024-05-04,val,baseline,-0.07467325,-0.025971048
BCHUSDT,2024-05-05,val,baseline,-0.07986504,-0.025934495
BCHUSDT,2024-05-06,val,baseline,-0.078230076,-0.023724638
BCHUSDT,2024-05-07,val,baseline,-0.09295577,-0.019838005
BCHUSDT,2024-05-08,val,baseline,0.03399823,-0.016154282
BCHUSDT,2024-05-09,val,baseline,-0.022233019,-0.02023419
BCHUSDT,2024-05-10,val,baseline,0.089411214,-0.01907155
BCHUSDT,2024-05-11,val,baseline,0.10153481,-0.023788415
BCHUSDT,2024-05-12,val,baseline,0.113204956,-0.028748997
BCHUSDT,2024-05-13,val,baseline,0.16870546,-0.03010831
BCHUSDT,2024-05-14,val,baseline,0.18247691,-0.028197706
BCHUSDT,2024-05-15,val,baseline,0.0733683,-0.030601889
BCHUSDT,2024-05-16,val,baseline,0.09922663,-0.02615299
BCHUSDT,2024-05-17,val,baseline,0.0590977,-0.022640385
BCHUSDT,2024-05-18,val,baseline,0.03756892,-0.017227583
BCHUSDT,2024-05-19,val,baseline,-0.0018577774,-0.01123713
BCHUSDT,2024-05-20,val,baseline,-0.05619344,-0.0043437853
BCHUSDT,2024-05-21,val,baseline,-0.0905835,0.0074713975
BCHUSDT,2024-05-22,val,baseline,-0.068849735,0.01204484
BCHUSDT,2024-05-23,val,baseline,-0.054598942,0.012777142
BCHUSDT,2024-05-24,val,baseline,-0.08449796,0.008585282
BCHUSDT,2024-05-25,val,baseline,-0.06291909,0.0041315034
BCHUSDT,2024-05-26,val,baseline,-0.054560915,0.0014909282
BCHUSDT,2024-05-27,val,baseline,-0.051766403,-0.002530098
BCHUSDT,2024-05-28,val,baseline,0.013933094,-0.0007325113
BCHUSDT,2024-05-29,val,baseline,0.061205365,-0.0021989197
