seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
10,0.0001,64,2,0.2,32,35,0.0,5,0.5519713261648745,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5483870967741936,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5483870967741935,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5448028673835125,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5412186379928315,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5316606929510156,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5280764635603346,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5232974910394266,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5209080047789726,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5197132616487455,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5161290322580645,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5137395459976105,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5137395459976105,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5077658303464755,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5029868578255675,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5017921146953405,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.4838709677419355,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.48267622461170845,da
