seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
10,0.001,64,1,0.1,32,50,1e-05,5,0.5627240143369175,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5627240143369175,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5615292712066906,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5543608124253286,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5543608124253286,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5531660692951016,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5495818399044206,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5459976105137395,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5424133811230586,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5412186379928315,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5400238948626046,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5376344086021505,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5316606929510156,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5197132616487455,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5005973715651134,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.4994026284348865,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.4982078853046595,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.49223416965352446,da
