crypto,date,split,model_type,y_true,y_pred
BNBUSDT,2024-01-01,val,baseline,-0.031758986,-0.006070338
BNBUSDT,2024-01-02,val,baseline,-0.036201574,-0.018335298
BNBUSDT,2024-01-03,val,baseline,-0.03217781,-0.024319395
BNBUSDT,2024-01-04,val,baseline,-0.04906824,-0.030387014
BNBUSDT,2024-01-05,val,baseline,-0.06809339,-0.03132108
BNBUSDT,2024-01-06,val,baseline,-0.017386038,-0.028493255
BNBUSDT,2024-01-07,val,baseline,-0.009636227,-0.030638069
BNBUSDT,2024-01-08,val,baseline,0.044437446,-0.037794016
BNBUSDT,2024-01-09,val,baseline,0.045764923,-0.037838906
BNBUSDT,2024-01-10,val,baseline,0.011703645,-0.035751566
BNBUSDT,2024-01-11,val,baseline,0.015454268,-0.030443512
BNBUSDT,2024-01-12,val,baseline,0.059235375,-0.02012588
BNBUSDT,2024-01-13,val,baseline,0.04844344,-0.022774749
BNBUSDT,2024-01-14,val,baseline,0.06182198,-0.024590239
BNBUSDT,2024-01-15,val,baseline,-0.037219565,-0.02880384
BNBUSDT,2024-01-16,val,baseline,-0.053432904,-0.02181939
BNBUSDT,2024-01-17,val,baseline,-0.054121092,-0.012144022
BNBUSDT,2024-01-18,val,baseline,-0.06910698,-0.007426955
BNBUSDT,2024-01-19,val,baseline,-0.040530752,-0.0053638816
BNBUSDT,2024-01-20,val,baseline,-0.037255432,-0.0071526766
BNBUSDT,2024-01-21,val,baseline,-0.0426415,-0.009859055
BNBUSDT,2024-01-22,val,baseline,0.015569565,-0.010216698
BNBUSDT,2024-01-23,val,baseline,0.029025784,-0.013270482
BNBUSDT,2024-01-24,val,baseline,0.024933906,-0.015910916
BNBUSDT,2024-01-25,val,baseline,0.02735271,-0.017658353
BNBUSDT,2024-01-26,val,baseline,-0.0026507636,-0.026850536
BNBUSDT,2024-01-27,val,baseline,-0.019495083,-0.034014598
BNBUSDT,2024-01-28,val,baseline,-0.0019672138,-0.037906893
BNBUSDT,2024-01-29,val,baseline,-0.03105332,-0.039235376
BNBUSDT,2024-01-30,val,baseline,-0.016058022,-0.03751806
BNBUSDT,2024-01-31,val,baseline,0.022376714,-0.035534807
BNBUSDT,2024-02-01,val,baseline,0.061368946,-0.035931893
BNBUSDT,2024-02-02,val,baseline,0.07230523,-0.037068516
BNBUSDT,2024-02-03,val,baseline,0.07487035,-0.037669756
BNBUSDT,2024-02-04,val,baseline,0.05117842,-0.038103074
BNBUSDT,2024-02-05,val,baseline,0.08462917,-0.037903473
BNBUSDT,2024-02-06,val,baseline,0.070159465,-0.040704608
BNBUSDT,2024-02-07,val,baseline,0.08301708,-0.044040084
BNBUSDT,2024-02-08,val,baseline,0.104043856,-0.039167568
BNBUSDT,2024-02-09,val,baseline,0.10647101,-0.029605538
BNBUSDT,2024-02-10,val,baseline,0.08853241,-0.02445744
BNBUSDT,2024-02-11,val,baseline,0.086855456,-0.025110848
BNBUSDT,2024-02-12,val,baseline,0.0700905,-0.02844201
BNBUSDT,2024-02-13,val,baseline,0.08808871,-0.033991486
BNBUSDT,2024-02-14,val,baseline,0.12722223,-0.041038156
BNBUSDT,2024-02-15,val,baseline,0.07712833,-0.0431778
BNBUSDT,2024-02-16,val,baseline,0.041043945,-0.043837443
BNBUSDT,2024-02-17,val,baseline,0.07845023,-0.04429941
BNBUSDT,2024-02-18,val,baseline,0.10493161,-0.046853796
BNBUSDT,2024-02-19,val,baseline,0.1329624,-0.051453322
BNBUSDT,2024-02-20,val,baseline,0.1068822,-0.05677575
BNBUSDT,2024-02-21,val,baseline,0.08925043,-0.061435744
BNBUSDT,2024-02-22,val,baseline,0.042973366,-0.06337024
BNBUSDT,2024-02-23,val,baseline,0.08153703,-0.060881995
BNBUSDT,2024-02-24,val,baseline,0.07371492,-0.06298566
BNBUSDT,2024-02-25,val,baseline,0.0647798,-0.06837498
BNBUSDT,2024-02-26,val,baseline,0.040981345,-0.07368292
BNBUSDT,2024-02-27,val,baseline,-0.0012679094,-0.075759456
BNBUSDT,2024-02-28,val,baseline,0.035074685,-0.07791582
BNBUSDT,2024-02-29,val,baseline,0.17250893,-0.07199615
BNBUSDT,2024-03-01,val,baseline,0.17600152,-0.07029688
BNBUSDT,2024-03-02,val,baseline,0.1725801,-0.072506115
BNBUSDT,2024-03-03,val,baseline,0.2437264,-0.07585926
BNBUSDT,2024-03-04,val,baseline,0.22314355,-0.078801334
BNBUSDT,2024-03-05,val,baseline,0.31032407,-0.06585632
BNBUSDT,2024-03-06,val,baseline,0.38412428,-0.061844856
BNBUSDT,2024-03-07,val,baseline,0.23977648,-0.06308743
BNBUSDT,2024-03-08,val,baseline,0.26419935,-0.05927278
BNBUSDT,2024-03-09,val,baseline,0.16587189,-0.055758975
BNBUSDT,2024-03-10,val,baseline,0.077815,-0.067499846
BNBUSDT,2024-03-11,val,baseline,0.060107112,-0.069083944
BNBUSDT,2024-03-12,val,baseline,-0.05703804,-0.07689616
BNBUSDT,2024-03-13,val,baseline,-0.124307044,-0.103942275
BNBUSDT,2024-03-14,val,baseline,-0.0854452,-0.10410069
BNBUSDT,2024-03-15,val,baseline,-0.13319276,-0.11752534
BNBUSDT,2024-03-16,val,baseline,-0.043434992,-0.09836593
BNBUSDT,2024-03-17,val,baseline,-0.007021268,-0.09586349
BNBUSDT,2024-03-18,val,baseline,0.055336244,-0.08843811
BNBUSDT,2024-03-19,val,baseline,0.13382679,-0.063117966
BNBUSDT,2024-03-20,val,baseline,0.030945798,-0.080038294
BNBUSDT,2024-03-21,val,baseline,0.052069448,-0.079370335
BNBUSDT,2024-03-22,val,baseline,0.100745335,-0.07699187
BNBUSDT,2024-03-23,val,baseline,0.08472877,-0.074451044
BNBUSDT,2024-03-24,val,baseline,0.06644133,-0.07511921
BNBUSDT,2024-03-25,val,baseline,-0.019264441,-0.07639593
BNBUSDT,2024-03-26,val,baseline,-0.05125702,-0.066042006
BNBUSDT,2024-03-27,val,baseline,-0.022540133,-0.03754677
BNBUSDT,2024-03-28,val,baseline,0.0035931256,-0.017255105
BNBUSDT,2024-03-29,val,baseline,-0.058321156,-0.00060724467
