seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5651135005973716,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5603345280764636,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5603345280764636,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5531660692951016,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5507765830346476,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5507765830346476,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5495818399044206,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5483870967741935,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5471923536439666,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5459976105137395,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5459976105137395,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5400238948626045,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5400238948626045,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5388291517323776,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5304659498207885,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5244922341696535,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5197132616487455,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5185185185185185,da
