crypto,date,split,model_type,y_true,y_pred
BTCUSDT,2024-01-01,val,baseline,0.060843345,-0.018518176
BTCUSDT,2024-01-02,val,baseline,0.02554783,-0.0180271
BTCUSDT,2024-01-03,val,baseline,0.08516414,-0.021875564
BTCUSDT,2024-01-04,val,baseline,0.04836955,-0.0235244
BTCUSDT,2024-01-05,val,baseline,-0.031347647,-0.023540635
BTCUSDT,2024-01-06,val,baseline,-0.025810638,-0.02272245
BTCUSDT,2024-01-07,val,baseline,-0.051298544,-0.021548305
BTCUSDT,2024-01-08,val,baseline,-0.09934014,-0.020189468
BTCUSDT,2024-01-09,val,baseline,-0.06662673,-0.023346256
BTCUSDT,2024-01-10,val,baseline,-0.08677892,-0.026700888
BTCUSDT,2024-01-11,val,baseline,-0.114459254,-0.029399786
BTCUSDT,2024-01-12,val,baseline,-0.026616365,-0.031989638
BTCUSDT,2024-01-13,val,baseline,-0.027252575,-0.03170312
BTCUSDT,2024-01-14,val,baseline,-0.0036493884,-0.025004853
BTCUSDT,2024-01-15,val,baseline,-0.071744,-0.018469375
BTCUSDT,2024-01-16,val,baseline,-0.07808695,-0.014333542
BTCUSDT,2024-01-17,val,baseline,-0.06498033,-0.011758301
BTCUSDT,2024-01-18,val,baseline,-0.033621907,-0.008719835
BTCUSDT,2024-01-19,val,baseline,0.0039404696,-0.008406799
BTCUSDT,2024-01-20,val,baseline,0.010131484,-0.008732654
BTCUSDT,2024-01-21,val,baseline,0.0107816495,-0.0074517243
BTCUSDT,2024-01-22,val,baseline,0.09019377,-0.0033808649
BTCUSDT,2024-01-23,val,baseline,0.07351324,-0.0046510175
BTCUSDT,2024-01-24,val,baseline,0.060385454,-0.005045388
BTCUSDT,2024-01-25,val,baseline,0.07522087,-0.0038537942
BTCUSDT,2024-01-26,val,baseline,0.032381874,-0.0054555535
BTCUSDT,2024-01-27,val,baseline,0.020920346,-0.0065519996
BTCUSDT,2024-01-28,val,baseline,0.013043426,-0.0067534856
BTCUSDT,2024-01-29,val,baseline,-0.013812342,-0.0088802725
BTCUSDT,2024-01-30,val,baseline,0.0036692256,-0.010810364
BTCUSDT,2024-01-31,val,baseline,0.04071903,-0.012582269
BTCUSDT,2024-02-01,val,baseline,0.049929354,-0.0138067715
BTCUSDT,2024-02-02,val,baseline,0.08712802,-0.014023412
BTCUSDT,2024-02-03,val,baseline,0.1045439,-0.013954792
BTCUSDT,2024-02-04,val,baseline,0.12597907,-0.014184881
BTCUSDT,2024-02-05,val,baseline,0.15596439,-0.013451111
BTCUSDT,2024-02-06,val,baseline,0.14249805,-0.01322769
BTCUSDT,2024-02-07,val,baseline,0.15519321,-0.010705199
BTCUSDT,2024-02-08,val,baseline,0.13587691,-0.00962403
BTCUSDT,2024-02-09,val,baseline,0.100659095,-0.013425473
BTCUSDT,2024-02-10,val,baseline,0.07834579,-0.018145312
BTCUSDT,2024-02-11,val,baseline,0.07645637,-0.018815208
BTCUSDT,2024-02-12,val,baseline,0.03653516,-0.02100936
BTCUSDT,2024-02-13,val,baseline,0.050211996,-0.026076082
BTCUSDT,2024-02-14,val,baseline,0.0010462683,-0.024799604
BTCUSDT,2024-02-15,val,baseline,-0.011468364,-0.028639827
BTCUSDT,2024-02-16,val,baseline,-0.026831266,-0.029827219
BTCUSDT,2024-02-17,val,baseline,-0.0014420965,-0.030723576
BTCUSDT,2024-02-18,val,baseline,-0.007872067,-0.029509876
BTCUSDT,2024-02-19,val,baseline,0.050866675,-0.03044046
BTCUSDT,2024-02-20,val,baseline,0.08749746,-0.03021827
BTCUSDT,2024-02-21,val,baseline,0.1857364,-0.032440137
BTCUSDT,2024-02-22,val,baseline,0.17555378,-0.034493197
BTCUSDT,2024-02-23,val,baseline,0.206575,-0.036178056
BTCUSDT,2024-02-24,val,baseline,0.18402362,-0.03556596
BTCUSDT,2024-02-25,val,baseline,0.1989265,-0.03487986
BTCUSDT,2024-02-26,val,baseline,0.22534572,-0.03446911
BTCUSDT,2024-02-27,val,baseline,0.110855274,-0.038502816
BTCUSDT,2024-02-28,val,baseline,0.056696367,-0.041871887
BTCUSDT,2024-02-29,val,baseline,0.0890311,-0.05696686
BTCUSDT,2024-03-01,val,baseline,0.08796102,-0.05722599
BTCUSDT,2024-03-02,val,baseline,0.09717484,-0.05719572
BTCUSDT,2024-03-03,val,baseline,0.08852474,-0.053435016
BTCUSDT,2024-03-04,val,baseline,0.054635677,-0.043711472
BTCUSDT,2024-03-05,val,baseline,0.11446462,-0.058613095
BTCUSDT,2024-03-06,val,baseline,0.100674935,-0.054309446
BTCUSDT,2024-03-07,val,baseline,0.06609308,-0.053087104
BTCUSDT,2024-03-08,val,baseline,0.01999223,-0.04849576
BTCUSDT,2024-03-09,val,baseline,-0.045102354,-0.04841501
BTCUSDT,2024-03-10,val,baseline,-0.008189381,-0.04508147
BTCUSDT,2024-03-11,val,baseline,-0.0639945,-0.043155115
BTCUSDT,2024-03-12,val,baseline,-0.14290184,-0.053514842
BTCUSDT,2024-03-13,val,baseline,-0.074291356,-0.06046312
BTCUSDT,2024-03-14,val,baseline,-0.08607342,-0.06409961
BTCUSDT,2024-03-15,val,baseline,-0.08562407,-0.067429364
BTCUSDT,2024-03-16,val,baseline,-0.020274706,-0.06481023
BTCUSDT,2024-03-17,val,baseline,-0.017455602,-0.060953666
BTCUSDT,2024-03-18,val,baseline,0.033023875,-0.06313962
BTCUSDT,2024-03-19,val,baseline,0.1221996,-0.044691328
BTCUSDT,2024-03-20,val,baseline,0.023735352,-0.038761433
BTCUSDT,2024-03-21,val,baseline,0.07751542,-0.04008891
BTCUSDT,2024-03-22,val,baseline,0.090657294,-0.030531134
BTCUSDT,2024-03-23,val,baseline,0.083781525,-0.027164865
BTCUSDT,2024-03-24,val,baseline,0.058794025,-0.027776245
BTCUSDT,2024-03-25,val,baseline,-0.0032997997,-0.03599747
BTCUSDT,2024-03-26,val,baseline,-0.06682358,-0.042088035
BTCUSDT,2024-03-27,val,baseline,-0.051796637,-0.046592828
BTCUSDT,2024-03-28,val,baseline,-0.03292947,-0.052974176
BTCUSDT,2024-03-29,val,baseline,-0.029491538,-0.053418946
BTCUSDT,2024-03-30,val,baseline,-0.009910379,-0.053750854
BTCUSDT,2024-03-31,val,baseline,-0.027299969,-0.059821535
BTCUSDT,2024-04-01,val,baseline,0.027894536,-0.060075913
BTCUSDT,2024-04-02,val,baseline,0.054719992,-0.052487206
BTCUSDT,2024-04-03,val,baseline,0.06837205,-0.05302902
BTCUSDT,2024-04-04,val,baseline,0.021928757,-0.049648378
BTCUSDT,2024-04-05,val,baseline,-0.0104360655,-0.04805838
BTCUSDT,2024-04-06,val,baseline,-0.07489526,-0.04719943
BTCUSDT,2024-04-07,val,baseline,-0.054798022,-0.051219556
BTCUSDT,2024-04-08,val,baseline,-0.121595256,-0.058174703
BTCUSDT,2024-04-09,val,baseline,-0.08057063,-0.05784152
BTCUSDT,2024-04-10,val,baseline,-0.14205967,-0.059564803
BTCUSDT,2024-04-11,val,baseline,-0.09801562,-0.06334323
BTCUSDT,2024-04-12,val,baseline,-0.050394773,-0.053119127
BTCUSDT,2024-04-13,val,baseline,0.015769996,-0.040348236
BTCUSDT,2024-04-14,val,baseline,-0.011036459,-0.041200507
BTCUSDT,2024-04-15,val,baseline,0.052213147,-0.031309683
BTCUSDT,2024-04-16,val,baseline,0.040258296,-0.029295672
BTCUSDT,2024-04-17,val,baseline,0.047987115,-0.023421649
BTCUSDT,2024-04-18,val,baseline,0.016070873,-0.027148876
BTCUSDT,2024-04-19,val,baseline,-0.0007524218,-0.027543087
BTCUSDT,2024-04-20,val,baseline,-0.023031866,-0.035190266
BTCUSDT,2024-04-21,val,baseline,-0.028465662,-0.03854126
BTCUSDT,2024-04-22,val,baseline,-0.045205124,-0.046079602
BTCUSDT,2024-04-23,val,baseline,-0.09042557,-0.048713583
BTCUSDT,2024-04-24,val,baseline,-0.09668184,-0.046102393
BTCUSDT,2024-04-25,val,baseline,-0.08807528,-0.050069872
BTCUSDT,2024-04-26,val,baseline,-0.0140229035,-0.050264437
BTCUSDT,2024-04-27,val,baseline,0.0067537976,-0.048935708
BTCUSDT,2024-04-28,val,baseline,0.014054753,-0.049255762
BTCUSDT,2024-04-29,val,baseline,-0.01103378,-0.048988964
BTCUSDT,2024-04-30,val,baseline,0.026673,-0.040559467
BTCUSDT,2024-05-01,val,baseline,0.04731741,-0.03376733
BTCUSDT,2024-05-02,val,baseline,0.065744594,-0.032403078
BTCUSDT,2024-05-03,val,baseline,-0.03367049,-0.03544413
BTCUSDT,2024-05-04,val,baseline,-0.04917762,-0.041718353
BTCUSDT,2024-05-05,val,baseline,-0.04029375,-0.043485496
BTCUSDT,2024-05-06,val,baseline,-0.0035701955,-0.045549635
BTCUSDT,2024-05-07,val,baseline,-0.011858926,-0.04657701
BTCUSDT,2024-05-08,val,baseline,0.07874535,-0.04401632
BTCUSDT,2024-05-09,val,baseline,0.033690557,-0.048383016
BTCUSDT,2024-05-10,val,baseline,0.09746114,-0.04438254
BTCUSDT,2024-05-11,val,baseline,0.09540898,-0.044633258
BTCUSDT,2024-05-12,val,baseline,0.075021,-0.044899162
BTCUSDT,2024-05-13,val,baseline,0.12676744,-0.04795782
BTCUSDT,2024-05-14,val,baseline,0.13031577,-0.047026146
BTCUSDT,2024-05-15,val,baseline,0.043739732,-0.048837435
BTCUSDT,2024-05-16,val,baseline,0.041061927,-0.057989378
BTCUSDT,2024-05-17,val,baseline,0.022512496,-0.065282345
BTCUSDT,2024-05-18,val,baseline,0.034882676,-0.07018757
BTCUSDT,2024-05-19,val,baseline,0.033147894,-0.07031798
BTCUSDT,2024-05-20,val,baseline,-0.02853894,-0.06820613
BTCUSDT,2024-05-21,val,baseline,-0.025262857,-0.07337695
BTCUSDT,2024-05-22,val,baseline,-0.02213525,-0.07157183
BTCUSDT,2024-05-23,val,baseline,0.005612029,-0.0716321
BTCUSDT,2024-05-24,val,baseline,-0.014843097,-0.06875463
BTCUSDT,2024-05-25,val,baseline,-0.022235684,-0.067025945
BTCUSDT,2024-05-26,val,baseline,-0.010890575,-0.065238565
BTCUSDT,2024-05-27,val,baseline,-0.009064028,-0.064373806
BTCUSDT,2024-05-28,val,baseline,0.030800017,-0.06304853
BTCUSDT,2024-05-29,val,baseline,0.04981672,-0.06389396
BTCUSDT,2024-05-30,val,baseline,0.035172414,-0.06071691
BTCUSDT,2024-05-31,val,baseline,0.02652673,-0.05799154
BTCUSDT,2024-06-01,val,baseline,0.022522695,-0.055563685
BTCUSDT,2024-06-02,val,baseline,0.02740086,-0.051352333
BTCUSDT,2024-06-03,val,baseline,0.010554496,-0.058314268
BTCUSDT,2024-06-04,val,baseline,-0.046777498,-0.068177
BTCUSDT,2024-06-05,val,baseline,-0.040817454,-0.07598436
BTCUSDT,2024-06-06,val,baseline,-0.058546767,-0.078656584
BTCUSDT,2024-06-07,val,baseline,-0.048925858,-0.07884094
BTCUSDT,2024-06-08,val,baseline,-0.045488723,-0.08028215
BTCUSDT,2024-06-09,val,baseline,-0.043597877,-0.07803273
BTCUSDT,2024-06-10,val,baseline,-0.04463507,-0.07726443
