crypto,date,split,model_type,y_true,y_pred
ETHUSDT,2024-01-01,val,baseline,-0.009225946,-0.013737068
ETHUSDT,2024-01-02,val,baseline,-0.0047025066,-0.015534766
ETHUSDT,2024-01-03,val,baseline,0.15661982,-0.018972486
ETHUSDT,2024-01-04,val,baseline,0.14390859,-0.019541822
ETHUSDT,2024-01-05,val,baseline,0.10602409,-0.019481093
ETHUSDT,2024-01-06,val,baseline,0.14026359,-0.018838897
ETHUSDT,2024-01-07,val,baseline,0.10723279,-0.018913686
ETHUSDT,2024-01-08,val,baseline,0.07493457,-0.02064731
ETHUSDT,2024-01-09,val,baseline,0.09867093,-0.02369766
ETHUSDT,2024-01-10,val,baseline,-0.021191236,-0.019129544
ETHUSDT,2024-01-11,val,baseline,-0.057868455,-0.01336509
ETHUSDT,2024-01-12,val,baseline,-0.01218073,-0.008386493
ETHUSDT,2024-01-13,val,baseline,-0.042056017,-0.0029845461
ETHUSDT,2024-01-14,val,baseline,-0.006417976,-0.0016157031
ETHUSDT,2024-01-15,val,baseline,-0.08192761,0.00051579624
ETHUSDT,2024-01-16,val,baseline,-0.1430176,0.0016099215
ETHUSDT,2024-01-17,val,baseline,-0.124044225,-0.0011728555
ETHUSDT,2024-01-18,val,baseline,-0.107651636,-0.003785953
ETHUSDT,2024-01-19,val,baseline,-0.09432832,-0.0058672503
ETHUSDT,2024-01-20,val,baseline,-0.086159654,-0.009250745
ETHUSDT,2024-01-21,val,baseline,-0.08496925,-0.013673753
ETHUSDT,2024-01-22,val,baseline,0.001468112,-0.01629448
ETHUSDT,2024-01-23,val,baseline,0.04380052,-0.014790341
ETHUSDT,2024-01-24,val,baseline,0.021301512,-0.00852567
ETHUSDT,2024-01-25,val,baseline,0.037873868,-0.001390323
ETHUSDT,2024-01-26,val,baseline,0.018083233,0.000797227
ETHUSDT,2024-01-27,val,baseline,0.01250994,0.0007493198
ETHUSDT,2024-01-28,val,baseline,0.01446792,-0.0023511797
ETHUSDT,2024-01-29,val,baseline,-0.006827709,-0.007774569
ETHUSDT,2024-01-30,val,baseline,0.012566832,-0.013032392
ETHUSDT,2024-01-31,val,baseline,0.060321074,-0.016585931
ETHUSDT,2024-02-01,val,baseline,0.04881331,-0.019521743
ETHUSDT,2024-02-02,val,baseline,0.07405972,-0.021739818
ETHUSDT,2024-02-03,val,baseline,0.08500486,-0.023255005
ETHUSDT,2024-02-04,val,baseline,0.09071047,-0.024157941
ETHUSDT,2024-02-05,val,baseline,0.1446179,-0.025975212
ETHUSDT,2024-02-06,val,baseline,0.10677187,-0.027301356
ETHUSDT,2024-02-07,val,baseline,0.13470952,-0.026217833
ETHUSDT,2024-02-08,val,baseline,0.15407333,-0.02417846
ETHUSDT,2024-02-09,val,baseline,0.11936184,-0.018250182
ETHUSDT,2024-02-10,val,baseline,0.10819502,-0.013536081
ETHUSDT,2024-02-11,val,baseline,0.1390363,-0.009793587
ETHUSDT,2024-02-12,val,baseline,0.10171854,-0.0035104454
ETHUSDT,2024-02-13,val,baseline,0.13276169,-0.00044891238
ETHUSDT,2024-02-14,val,baseline,0.06727236,0.004005246
ETHUSDT,2024-02-15,val,baseline,0.05137832,0.0061644763
ETHUSDT,2024-02-16,val,baseline,0.04208838,0.0055980682
ETHUSDT,2024-02-17,val,baseline,0.071567506,0.0034092292
ETHUSDT,2024-02-18,val,baseline,0.077248305,0.002543509
ETHUSDT,2024-02-19,val,baseline,0.075562745,0.0012961924
ETHUSDT,2024-02-20,val,baseline,0.07276465,0.0010551512
ETHUSDT,2024-02-21,val,baseline,0.13093781,0.0005604848
ETHUSDT,2024-02-22,val,baseline,0.116964534,0.0018205717
ETHUSDT,2024-02-23,val,baseline,0.16120932,0.002237752
ETHUSDT,2024-02-24,val,baseline,0.13390057,0.0035130084
ETHUSDT,2024-02-25,val,baseline,0.113818854,0.0056925416
ETHUSDT,2024-02-26,val,baseline,0.13301173,0.008646987
ETHUSDT,2024-02-27,val,baseline,0.091673784,0.013459563
ETHUSDT,2024-02-28,val,baseline,0.121088795,0.021460861
ETHUSDT,2024-02-29,val,baseline,0.14693628,0.025590569
ETHUSDT,2024-03-01,val,baseline,0.123141,0.028401315
ETHUSDT,2024-03-02,val,baseline,0.13226174,0.026493564
ETHUSDT,2024-03-03,val,baseline,0.10616671,0.024606548
ETHUSDT,2024-03-04,val,baseline,0.11374916,0.024941325
ETHUSDT,2024-03-05,val,baseline,0.11329652,0.024988338
ETHUSDT,2024-03-06,val,baseline,0.0476099,0.029737264
ETHUSDT,2024-03-07,val,baseline,0.0033391598,0.029544488
ETHUSDT,2024-03-08,val,baseline,-0.037029758,0.026614629
ETHUSDT,2024-03-09,val,baseline,-0.10297311,0.021658897
ETHUSDT,2024-03-10,val,baseline,-0.062163945,0.016379714
ETHUSDT,2024-03-11,val,baseline,-0.14377289,0.014430456
ETHUSDT,2024-03-12,val,baseline,-0.23113021,0.010728776
ETHUSDT,2024-03-13,val,baseline,-0.13001643,0.010969095
ETHUSDT,2024-03-14,val,baseline,-0.10555518,0.008880131
ETHUSDT,2024-03-15,val,baseline,-0.114793606,0.0079898685
ETHUSDT,2024-03-16,val,baseline,-0.056507293,0.0049867555
ETHUSDT,2024-03-17,val,baseline,-0.053460132,0.003287539
ETHUSDT,2024-03-18,val,baseline,0.019677524,0.00055269897
ETHUSDT,2024-03-19,val,baseline,0.12726665,0.00033997
ETHUSDT,2024-03-20,val,baseline,-0.004371797,0.00221318
ETHUSDT,2024-03-21,val,baseline,0.019180154,0.0016097277
ETHUSDT,2024-03-22,val,baseline,0.050664566,0.0016800314
ETHUSDT,2024-03-23,val,baseline,0.051541947,0.0005262643
ETHUSDT,2024-03-24,val,baseline,0.053619254,-0.0043694824
ETHUSDT,2024-03-25,val,baseline,-0.024421094,-0.009238362
ETHUSDT,2024-03-26,val,baseline,-0.0898819,-0.014186427
ETHUSDT,2024-03-27,val,baseline,-0.055903997,-0.017280802
ETHUSDT,2024-03-28,val,baseline,-0.06770696,-0.019313589
ETHUSDT,2024-03-29,val,baseline,-0.05622498,-0.02292198
ETHUSDT,2024-03-30,val,baseline,-0.04493824,-0.027400315
ETHUSDT,2024-03-31,val,baseline,-0.05384504,-0.027828157
ETHUSDT,2024-04-01,val,baseline,0.053026907,-0.030349433
ETHUSDT,2024-04-02,val,baseline,0.06706072,-0.03744726
ETHUSDT,2024-04-03,val,baseline,0.06851976,-0.039551795
ETHUSDT,2024-04-04,val,baseline,0.05129149,-0.039522544
ETHUSDT,2024-04-05,val,baseline,-0.024537178,-0.04153447
