crypto,date,split,model_type,y_true,y_pred
LINKUSDT,2024-01-01,val,baseline,-0.094995074,-0.016893692
LINKUSDT,2024-01-02,val,baseline,-0.10049304,-0.014228351
LINKUSDT,2024-01-03,val,baseline,0.06326544,-0.011433415
LINKUSDT,2024-01-04,val,baseline,0.033575647,-0.0110113695
LINKUSDT,2024-01-05,val,baseline,0.004248997,-0.009607188
LINKUSDT,2024-01-06,val,baseline,0.06546378,-0.007831447
LINKUSDT,2024-01-07,val,baseline,0.11508421,-0.007225126
LINKUSDT,2024-01-08,val,baseline,0.07137116,-0.010976084
LINKUSDT,2024-01-09,val,baseline,0.10739257,-0.009836897
LINKUSDT,2024-01-10,val,baseline,0.044699818,-0.015012808
LINKUSDT,2024-01-11,val,baseline,-0.024529532,-0.015191525
LINKUSDT,2024-01-12,val,baseline,0.13015136,-0.012489498
LINKUSDT,2024-01-13,val,baseline,0.095405236,-0.01337
LINKUSDT,2024-01-14,val,baseline,0.042525727,-0.013444185
LINKUSDT,2024-01-15,val,baseline,-0.039423566,-0.013665773
LINKUSDT,2024-01-16,val,baseline,-0.06569607,-0.013055667
LINKUSDT,2024-01-17,val,baseline,-0.10127298,-0.012245618
LINKUSDT,2024-01-18,val,baseline,-0.064383894,-0.0065651685
LINKUSDT,2024-01-19,val,baseline,-0.12761061,-0.008596025
LINKUSDT,2024-01-20,val,baseline,-0.095405236,-0.0049709827
LINKUSDT,2024-01-21,val,baseline,-0.06133935,-0.0015180781
LINKUSDT,2024-01-22,val,baseline,0.027432298,0.0017557219
LINKUSDT,2024-01-23,val,baseline,0.07896628,0.0025108382
LINKUSDT,2024-01-24,val,baseline,0.079983294,0.001284726
LINKUSDT,2024-01-25,val,baseline,0.22372545,0.0006528273
LINKUSDT,2024-01-26,val,baseline,0.2284442,-0.0027896762
LINKUSDT,2024-01-27,val,baseline,0.20778748,-0.0048781037
LINKUSDT,2024-01-28,val,baseline,0.22606745,-0.0065813586
LINKUSDT,2024-01-29,val,baseline,0.24471669,-0.00786715
LINKUSDT,2024-01-30,val,baseline,0.1669646,-0.009544164
LINKUSDT,2024-01-31,val,baseline,0.19851185,-0.009850763
LINKUSDT,2024-02-01,val,baseline,0.0577529,-0.014416315
LINKUSDT,2024-02-02,val,baseline,0.03537754,-0.016231723
LINKUSDT,2024-02-03,val,baseline,0.07766135,-0.014204204
LINKUSDT,2024-02-04,val,baseline,0.10416992,-0.013798207
LINKUSDT,2024-02-05,val,baseline,0.06568259,-0.014961563
LINKUSDT,2024-02-06,val,baseline,0.083020635,-0.011287257
LINKUSDT,2024-02-07,val,baseline,0.07290013,-0.010157034
LINKUSDT,2024-02-08,val,baseline,0.09024576,-0.0068728626
LINKUSDT,2024-02-09,val,baseline,0.05687864,-0.0060681775
LINKUSDT,2024-02-10,val,baseline,0.04848071,-0.007043861
LINKUSDT,2024-02-11,val,baseline,-0.0013411153,-0.00960277
LINKUSDT,2024-02-12,val,baseline,-0.031419314,-0.011974834
LINKUSDT,2024-02-13,val,baseline,-0.030090902,-0.012234814
LINKUSDT,2024-02-14,val,baseline,-0.084821895,-0.012524113
LINKUSDT,2024-02-15,val,baseline,-0.095254995,-0.011186391
LINKUSDT,2024-02-16,val,baseline,-0.08627232,-0.010599002
LINKUSDT,2024-02-17,val,baseline,-0.07777807,-0.0111325905
LINKUSDT,2024-02-18,val,baseline,-0.07196534,-0.012089819
LINKUSDT,2024-02-19,val,baseline,-0.03849891,-0.011906393
LINKUSDT,2024-02-20,val,baseline,-0.013471382,-0.0115753785
LINKUSDT,2024-02-21,val,baseline,0.043979317,-0.011474408
LINKUSDT,2024-02-22,val,baseline,0.06168555,-0.0125440955
LINKUSDT,2024-02-23,val,baseline,0.11152492,-0.015312403
LINKUSDT,2024-02-24,val,baseline,0.14374453,-0.01949142
LINKUSDT,2024-02-25,val,baseline,0.09106699,-0.02290719
LINKUSDT,2024-02-26,val,baseline,0.06752102,-0.025721498
LINKUSDT,2024-02-27,val,baseline,-0.0026318575,-0.026211865
LINKUSDT,2024-02-28,val,baseline,0.033155005,-0.026684709
LINKUSDT,2024-02-29,val,baseline,0.041514914,-0.025910042
LINKUSDT,2024-03-01,val,baseline,-0.017711155,-0.027269699
LINKUSDT,2024-03-02,val,baseline,-0.068966165,-0.029446341
LINKUSDT,2024-03-03,val,baseline,0.055623885,-0.02672296
LINKUSDT,2024-03-04,val,baseline,0.04130777,-0.02422028
LINKUSDT,2024-03-05,val,baseline,0.08731,-0.019664302
LINKUSDT,2024-03-06,val,baseline,0.03262117,-0.020824827
LINKUSDT,2024-03-07,val,baseline,0.03851981,-0.020308696
LINKUSDT,2024-03-08,val,baseline,-0.0035088647,-0.019590028
LINKUSDT,2024-03-09,val,baseline,-0.09759097,-0.019332975
LINKUSDT,2024-03-10,val,baseline,-0.14968649,-0.022553995
LINKUSDT,2024-03-11,val,baseline,-0.15067098,-0.02169665
LINKUSDT,2024-03-12,val,baseline,-0.20865045,-0.020165123
LINKUSDT,2024-03-13,val,baseline,-0.11959181,-0.020624049
LINKUSDT,2024-03-14,val,baseline,-0.123293884,-0.021079503
LINKUSDT,2024-03-15,val,baseline,-0.066503435,-0.018924497
LINKUSDT,2024-03-16,val,baseline,-0.0028746773,-0.015349112
LINKUSDT,2024-03-17,val,baseline,-0.0079604555,-0.018668674
LINKUSDT,2024-03-18,val,baseline,0.057027873,-0.019440062
LINKUSDT,2024-03-19,val,baseline,0.17440575,-0.015686415
LINKUSDT,2024-03-20,val,baseline,0.04653236,-0.019445337
LINKUSDT,2024-03-21,val,baseline,0.03670039,-0.020942003
LINKUSDT,2024-03-22,val,baseline,0.03214505,-0.022114731
LINKUSDT,2024-03-23,val,baseline,0.047040783,-0.02234476
LINKUSDT,2024-03-24,val,baseline,0.03465549,-0.02436141
LINKUSDT,2024-03-25,val,baseline,-0.053918127,-0.027502753
LINKUSDT,2024-03-26,val,baseline,-0.10838068,-0.028359346
LINKUSDT,2024-03-27,val,baseline,-0.08670508,-0.023391537
LINKUSDT,2024-03-28,val,baseline,-0.07350556,-0.020041928
LINKUSDT,2024-03-29,val,baseline,-0.09055008,-0.017629154
LINKUSDT,2024-03-30,val,baseline,-0.075339794,-0.013508052
LINKUSDT,2024-03-31,val,baseline,-0.06787202,-0.012076944
LINKUSDT,2024-04-01,val,baseline,-0.0140982615,-0.008936964
LINKUSDT,2024-04-02,val,baseline,-0.03341762,-0.007177733
LINKUSDT,2024-04-03,val,baseline,-0.015383165,-0.0073102117
LINKUSDT,2024-04-04,val,baseline,-0.013353902,-0.009513795
LINKUSDT,2024-04-05,val,baseline,-0.13375404,-0.011787973
LINKUSDT,2024-04-06,val,baseline,-0.27870527,-0.015418053
LINKUSDT,2024-04-07,val,baseline,-0.23949376,-0.018359922
LINKUSDT,2024-04-08,val,baseline,-0.28736907,-0.020103097
LINKUSDT,2024-04-09,val,baseline,-0.25456157,-0.020495154
LINKUSDT,2024-04-10,val,baseline,-0.2823186,-0.022757106
LINKUSDT,2024-04-11,val,baseline,-0.23438565,-0.025430508
