seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
20,0.0005,64,1,0.1,64,50,0.0001,5,0.6164874551971327,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.6164874551971326,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5806451612903226,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5806451612903225,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5794504181600956,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5782556750298685,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5758661887694146,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5746714456391876,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5722819593787336,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5722819593787336,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5686977299880526,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5675029868578255,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5651135005973715,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5543608124253286,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5519713261648745,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5471923536439666,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5304659498207885,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5041816009557945,da
