crypto,date,split,model_type,y_true,y_pred
LTCUSDT,2024-01-01,val,baseline,-0.09821858,0.037401073
LTCUSDT,2024-01-02,val,baseline,-0.085505046,0.0385838
LTCUSDT,2024-01-03,val,baseline,0.07185002,0.044034597
LTCUSDT,2024-01-04,val,baseline,0.079150416,0.0412232
LTCUSDT,2024-01-05,val,baseline,0.10039365,0.051087413
LTCUSDT,2024-01-06,val,baseline,0.092203036,0.06255848
LTCUSDT,2024-01-07,val,baseline,0.08225448,0.077373385
LTCUSDT,2024-01-08,val,baseline,0.020459577,0.06570752
LTCUSDT,2024-01-09,val,baseline,0.035919715,0.06954485
LTCUSDT,2024-01-10,val,baseline,-0.009171747,0.057216868
LTCUSDT,2024-01-11,val,baseline,-0.053874016,0.05320884
LTCUSDT,2024-01-12,val,baseline,-0.023292333,0.05660838
LTCUSDT,2024-01-13,val,baseline,-0.008650814,0.06477814
LTCUSDT,2024-01-14,val,baseline,0.027840419,0.0738489
LTCUSDT,2024-01-15,val,baseline,-0.02593742,0.0731266
LTCUSDT,2024-01-16,val,baseline,-0.058412928,0.06356078
LTCUSDT,2024-01-17,val,baseline,-0.049128547,0.053174205
LTCUSDT,2024-01-18,val,baseline,-0.039073903,0.048487537
LTCUSDT,2024-01-19,val,baseline,-0.061317455,0.030350186
LTCUSDT,2024-01-20,val,baseline,-0.047347818,0.025405876
LTCUSDT,2024-01-21,val,baseline,-0.048546292,0.025771923
LTCUSDT,2024-01-22,val,baseline,0.015759954,0.033694256
LTCUSDT,2024-01-23,val,baseline,0.029632911,0.021579577
LTCUSDT,2024-01-24,val,baseline,0.009481597,0.008514784
LTCUSDT,2024-01-25,val,baseline,0.030669872,0.005962224
LTCUSDT,2024-01-26,val,baseline,0.014804119,-0.0006498606
LTCUSDT,2024-01-27,val,baseline,0.010959414,-0.006719166
LTCUSDT,2024-01-28,val,baseline,-0.020844867,-0.008028535
LTCUSDT,2024-01-29,val,baseline,-0.010725145,-0.008560641
LTCUSDT,2024-01-30,val,baseline,0.0120802885,-0.004573357
LTCUSDT,2024-01-31,val,baseline,0.02747994,0.0012041568
LTCUSDT,2024-02-01,val,baseline,0.043318138,-0.00076815905
LTCUSDT,2024-02-02,val,baseline,0.03735383,0.004026702
LTCUSDT,2024-02-03,val,baseline,0.028509917,0.010740142
LTCUSDT,2024-02-04,val,baseline,0.06659981,0.017660104
LTCUSDT,2024-02-05,val,baseline,0.07290446,0.019519415
LTCUSDT,2024-02-06,val,baseline,0.009908284,0.02228121
LTCUSDT,2024-02-07,val,baseline,0.017193228,0.025546022
LTCUSDT,2024-02-08,val,baseline,-0.010977372,0.03012643
LTCUSDT,2024-02-09,val,baseline,-0.0007080649,0.032825552
LTCUSDT,2024-02-10,val,baseline,-0.011792422,0.03716881
LTCUSDT,2024-02-11,val,baseline,-0.010537505,0.035758726
LTCUSDT,2024-02-12,val,baseline,-0.021094315,0.03249456
LTCUSDT,2024-02-13,val,baseline,0.009811073,0.034830183
LTCUSDT,2024-02-14,val,baseline,-0.013121088,0.029778779
LTCUSDT,2024-02-15,val,baseline,-0.013857035,0.029330112
LTCUSDT,2024-02-16,val,baseline,-0.025684746,0.029652085
LTCUSDT,2024-02-17,val,baseline,0.0062687197,0.032533072
LTCUSDT,2024-02-18,val,baseline,-0.009080653,0.03655965
LTCUSDT,2024-02-19,val,baseline,0.008797096,0.039028645
LTCUSDT,2024-02-20,val,baseline,0.060176905,0.036304027
LTCUSDT,2024-02-21,val,baseline,0.07787445,0.034815833
LTCUSDT,2024-02-22,val,baseline,0.14982238,0.04004587
LTCUSDT,2024-02-23,val,baseline,0.20991693,0.046567705
LTCUSDT,2024-02-24,val,baseline,0.2941587,0.054257102
LTCUSDT,2024-02-25,val,baseline,0.25677902,0.06214329
LTCUSDT,2024-02-26,val,baseline,0.21238099,0.064217515
LTCUSDT,2024-02-27,val,baseline,0.10220562,0.05487003
LTCUSDT,2024-02-28,val,baseline,0.1423039,0.0441168
LTCUSDT,2024-02-29,val,baseline,0.09631068,0.016201446
LTCUSDT,2024-03-01,val,baseline,0.03984591,0.0010934551
LTCUSDT,2024-03-02,val,baseline,-0.041267466,-0.039247718
LTCUSDT,2024-03-03,val,baseline,-0.036718883,-0.022230128
LTCUSDT,2024-03-04,val,baseline,0.15496942,-0.0061369133
LTCUSDT,2024-03-05,val,baseline,0.17419226,0.019532507
LTCUSDT,2024-03-06,val,baseline,0.12434763,0.0051005376
LTCUSDT,2024-03-07,val,baseline,0.06680867,-0.0051608477
LTCUSDT,2024-03-08,val,baseline,0.016061446,-0.0044021737
LTCUSDT,2024-03-09,val,baseline,-0.07498219,-0.007291201
LTCUSDT,2024-03-10,val,baseline,-0.017305462,0.013444629
LTCUSDT,2024-03-11,val,baseline,-0.1797829,-0.057334445
LTCUSDT,2024-03-12,val,baseline,-0.21759601,-0.04489897
LTCUSDT,2024-03-13,val,baseline,-0.13865703,-0.03229508
LTCUSDT,2024-03-14,val,baseline,-0.0927094,-0.009119029
LTCUSDT,2024-03-15,val,baseline,-0.07337972,0.021160582
LTCUSDT,2024-03-16,val,baseline,0.013461061,0.06127215
LTCUSDT,2024-03-17,val,baseline,0.042380188,0.04782292
LTCUSDT,2024-03-18,val,baseline,0.042972498,0.03269302
LTCUSDT,2024-03-19,val,baseline,0.199488,0.10181447
LTCUSDT,2024-03-20,val,baseline,0.099970944,0.058972485
LTCUSDT,2024-03-21,val,baseline,0.093028225,0.049659483
LTCUSDT,2024-03-22,val,baseline,0.26824987,0.07099273
LTCUSDT,2024-03-23,val,baseline,0.18746898,0.053685438
LTCUSDT,2024-03-24,val,baseline,0.15814239,0.017071694
LTCUSDT,2024-03-25,val,baseline,0.09090458,0.0021407264
LTCUSDT,2024-03-26,val,baseline,0.10854017,-0.010766886
LTCUSDT,2024-03-27,val,baseline,0.049833115,0.03571846
LTCUSDT,2024-03-28,val,baseline,0.04437322,0.058572225
LTCUSDT,2024-03-29,val,baseline,-0.10876913,0.021289926
LTCUSDT,2024-03-30,val,baseline,-0.012130847,0.08439488
LTCUSDT,2024-03-31,val,baseline,-0.03685802,0.11060474
LTCUSDT,2024-04-01,val,baseline,0.040208902,0.17976224
LTCUSDT,2024-04-02,val,baseline,-0.09032963,0.17298809
LTCUSDT,2024-04-03,val,baseline,-0.016612358,0.25650123
LTCUSDT,2024-04-04,val,baseline,0.004057624,0.280993
LTCUSDT,2024-04-05,val,baseline,-0.12785196,0.29067394
LTCUSDT,2024-04-06,val,baseline,-0.27296156,0.2593623
LTCUSDT,2024-04-07,val,baseline,-0.23867707,0.25267357
LTCUSDT,2024-04-08,val,baseline,-0.27935687,0.20939735
LTCUSDT,2024-04-09,val,baseline,-0.19888367,0.23122138
LTCUSDT,2024-04-10,val,baseline,-0.187318,0.22429214
LTCUSDT,2024-04-11,val,baseline,-0.20153719,0.17850076
LTCUSDT,2024-04-12,val,baseline,-0.06243417,0.26648864
LTCUSDT,2024-04-13,val,baseline,0.095039755,0.33408025
LTCUSDT,2024-04-14,val,baseline,0.054199252,0.28128
LTCUSDT,2024-04-15,val,baseline,0.08923894,0.2704251
LTCUSDT,2024-04-16,val,baseline,0.06161017,0.21966518
LTCUSDT,2024-04-17,val,baseline,0.03744931,0.197269
LTCUSDT,2024-04-18,val,baseline,0.036836352,0.18271929
LTCUSDT,2024-04-19,val,baseline,0.085629605,0.17659628
LTCUSDT,2024-04-20,val,baseline,-0.013734528,0.12340697
