seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
25,0.001,32,2,0.2,64,35,1e-05,5,0.6009557945041816,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5866188769414576,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5818399044205496,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5794504181600956,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5686977299880526,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5591397849462366,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5555555555555556,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5543608124253286,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5543608124253284,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5507765830346476,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5483870967741935,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5459976105137396,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5448028673835125,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5436081242532855,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5424133811230586,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5424133811230586,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5364396654719236,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5197132616487455,da
