seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5890083632019115,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5866188769414576,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5746714456391876,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5734767025089605,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5734767025089605,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5734767025089605,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5663082437275986,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5663082437275986,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5663082437275985,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5627240143369175,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5615292712066906,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5543608124253286,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5388291517323776,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5292712066905615,da
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5292712066905615,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5280764635603346,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5268817204301076,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5232974910394265,da
