asset,model_type,val_mse,val_mae,val_da,test_mse,test_mae,test_da,hp_seq_len,hp_learning_rate,hp_hidden_size,hp_num_layers,hp_dropout,hp_batch_size,hp_epochs,hp_weight_decay,hp_patience
ADAUSDT,baseline,0.016168324276804924,0.09298893064260483,0.5069637883008357,0.01530271116644144,0.09597600251436234,0.48324022346368717,15,0.0001,64,1,0.1,32,20,0.0001,5
ADAUSDT,regime,0.015976952388882637,0.09266986697912216,0.5125348189415042,0.01631230302155018,0.09794668108224869,0.5139664804469274,10,0.0001,64,2,0.2,32,35,0.0,5
BCHUSDT,baseline,0.017836039885878563,0.098975270986557,0.48746518105849584,0.007965550757944584,0.07039722055196762,0.41899441340782123,20,0.0001,64,2,0.2,32,35,1e-05,5
BCHUSDT,regime,0.017204171046614647,0.0961018055677414,0.5125348189415042,0.007178258616477251,0.0656004324555397,0.49441340782122906,10,0.0001,64,2,0.2,32,35,0.0,5
BNBUSDT,baseline,0.007867850363254547,0.0698910653591156,0.49303621169916434,0.02308284491300583,0.0977054163813591,0.5670391061452514,25,0.001,128,1,0.3,64,20,1e-05,5
BNBUSDT,regime,0.03547414019703865,0.1524670124053955,0.467966573816156,0.008372851647436619,0.07050881534814835,0.505586592178771,25,0.001,64,2,0.3,32,50,0.0,5
BTCUSDT,baseline,0.010431395843625069,0.08214942365884781,0.4401114206128134,0.003317211288958788,0.04454876482486725,0.4581005586592179,15,0.0001,64,1,0.1,32,20,0.0001,5
BTCUSDT,regime,0.013786492869257927,0.09258287400007248,0.4986072423398329,0.00432460056617856,0.049225956201553345,0.48324022346368717,10,0.001,64,1,0.1,32,50,1e-05,5
ETHUSDT,baseline,0.009701859205961227,0.07481861859560013,0.532033426183844,0.010095063596963882,0.07552443444728851,0.5167597765363129,20,0.0001,64,2,0.2,32,35,1e-05,5
ETHUSDT,regime,0.010720997117459774,0.07819695770740509,0.49303621169916434,0.010172700509428978,0.07580571621656418,0.5083798882681564,20,0.0001,64,2,0.2,32,35,1e-05,5
LINKUSDT,baseline,0.0143224336206913,0.09372550994157791,0.5431754874651811,0.013370396569371223,0.09134837985038757,0.505586592178771,10,0.0001,32,2,0.2,32,50,0.0001,5
LINKUSDT,regime,0.014221210032701492,0.09384439885616302,0.5041782729805014,0.013343848288059235,0.09080284088850021,0.5279329608938548,15,0.0001,64,1,0.1,32,20,0.0001,5
LTCUSDT,baseline,0.013718643225729465,0.08098983019590378,0.5487465181058496,0.02057657577097416,0.11371754109859467,0.4860335195530726,20,0.001,32,2,0.1,32,20,0.0,5
LTCUSDT,regime,0.014933479949831963,0.08401767909526825,0.5571030640668524,0.023621071130037308,0.11844050884246826,0.48324022346368717,30,0.0005,64,2,0.1,64,50,1e-05,5
XRPUSDT,baseline,0.04278866574168205,0.12844128906726837,0.5348189415041783,0.06667687743902206,0.23659877479076385,0.553072625698324,20,0.001,32,2,0.1,32,20,0.0,5
XRPUSDT,regime,0.06473274528980255,0.16387689113616943,0.5153203342618384,0.14848916232585907,0.36466801166534424,0.553072625698324,20,0.0005,64,1,0.1,64,50,0.0001,5
