config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
3,0.008585001817952258,20,0.0001,64,1,0.2,32,50,0.0,5
12,0.008632458367005541,10,5e-05,64,2,0.1,32,35,0.0001,5
17,0.008661326972446143,15,5e-05,64,2,0.0,64,50,0.0001,5
18,0.008692935351148836,25,5e-05,128,2,0.1,64,50,0.0,5
4,0.008709672983655686,20,0.0005,32,2,0.2,64,50,1e-05,5
16,0.008714156468585801,10,0.0005,32,1,0.0,32,20,0.0001,5
6,0.008811291079804648,15,0.0005,32,2,0.3,32,20,0.0,5
10,0.008818753834078345,10,0.0005,32,2,0.0,64,50,1e-05,5
11,0.008829442433831521,10,0.0005,32,1,0.3,32,20,0.0001,5
8,0.008845413268377988,10,5e-05,32,2,0.3,32,20,0.0001,5
13,0.008928027600127862,20,0.001,32,2,0.3,32,20,0.0,5
7,0.008941983480035385,10,5e-05,128,2,0.1,32,35,0.0001,5
2,0.008947358841939942,10,0.001,128,2,0.2,64,35,1e-05,5
9,0.008973651302459883,30,0.001,32,1,0.0,32,20,0.0,5
14,0.009125142436410025,20,0.001,128,1,0.3,64,35,1e-05,5
5,0.009140644613469829,20,0.001,64,1,0.3,32,35,0.0,5
1,0.009141672364232467,15,0.001,32,2,0.1,32,50,0.0,5
15,0.010713387645526234,30,5e-05,32,1,0.3,64,50,0.0001,5
