config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
6,0.008556316169273673,15,0.0005,32,2,0.3,32,20,0.0,5
18,0.008670494096685232,25,5e-05,128,2,0.1,64,50,0.0,5
8,0.00868712961556904,10,5e-05,32,2,0.3,32,20,0.0001,5
7,0.008700048815227573,10,5e-05,128,2,0.1,32,35,0.0001,5
12,0.008759739565893368,10,5e-05,64,2,0.1,32,35,0.0001,5
9,0.008890234483456019,30,0.001,32,1,0.0,32,20,0.0,5
17,0.00899457630340851,15,5e-05,64,2,0.0,64,50,0.0001,5
1,0.00907698026307488,15,0.001,32,2,0.1,32,50,0.0,5
15,0.00914908792009063,30,5e-05,32,1,0.3,64,50,0.0001,5
16,0.009186841506597763,10,0.0005,32,1,0.0,32,20,0.0001,5
4,0.009213928178591452,20,0.0005,32,2,0.2,64,50,1e-05,5
2,0.009240806864250758,10,0.001,128,2,0.2,64,35,1e-05,5
10,0.009306644301765832,10,0.0005,32,2,0.0,64,50,1e-05,5
5,0.009416967213961654,20,0.001,64,1,0.3,32,35,0.0,5
14,0.009556200804679544,20,0.001,128,1,0.3,64,35,1e-05,5
13,0.009571643351502672,20,0.001,32,2,0.3,32,20,0.0,5
3,0.009655526143486479,20,0.0001,64,1,0.2,32,50,0.0,5
11,0.009692778993896438,10,0.0005,32,1,0.3,32,20,0.0001,5
