config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
6,0.014136376452166031,15,0.0005,32,2,0.3,32,20,0.0,5
7,0.014178461197145026,10,5e-05,128,2,0.1,32,35,0.0001,5
1,0.014282112517210531,15,0.001,32,2,0.1,32,50,0.0,5
12,0.014342098244551564,10,5e-05,64,2,0.1,32,35,0.0001,5
9,0.014357559997121065,30,0.001,32,1,0.0,32,20,0.0,5
17,0.014366865590083433,15,5e-05,64,2,0.0,64,50,0.0001,5
5,0.014380348496374937,20,0.001,64,1,0.3,32,35,0.0,5
18,0.014391877053677149,25,5e-05,128,2,0.1,64,50,0.0,5
14,0.014409615623173855,20,0.001,128,1,0.3,64,35,1e-05,5
4,0.014412580479688611,20,0.0005,32,2,0.2,64,50,1e-05,5
8,0.014413694663333795,10,5e-05,32,2,0.3,32,20,0.0001,5
2,0.014416491588034633,10,0.001,128,2,0.2,64,35,1e-05,5
13,0.014456792400477805,20,0.001,32,2,0.3,32,20,0.0,5
11,0.01452123921886398,10,0.0005,32,1,0.3,32,20,0.0001,5
16,0.014525058025298384,10,0.0005,32,1,0.0,32,20,0.0001,5
15,0.014558261153015575,30,5e-05,32,1,0.3,64,50,0.0001,5
10,0.014621482572040946,10,0.0005,32,2,0.0,64,50,1e-05,5
3,0.014630106669709335,20,0.0001,64,1,0.2,32,50,0.0,5
