crypto,date,split,model_type,y_true,y_pred
BCHUSDT,2024-01-01,val,baseline,-0.053299945,-0.020711496
BCHUSDT,2024-01-02,val,baseline,-0.049023565,-0.022546887
BCHUSDT,2024-01-03,val,baseline,0.08476527,-0.0036453307
BCHUSDT,2024-01-04,val,baseline,0.14220971,-0.030663937
BCHUSDT,2024-01-05,val,baseline,0.0802677,-0.030035906
BCHUSDT,2024-01-06,val,baseline,0.07347245,-0.028975815
BCHUSDT,2024-01-07,val,baseline,0.055221055,-0.026219487
BCHUSDT,2024-01-08,val,baseline,-0.014679891,-0.024721317
BCHUSDT,2024-01-09,val,baseline,0.025807884,-0.020781144
BCHUSDT,2024-01-10,val,baseline,-0.04209882,-0.023083255
BCHUSDT,2024-01-11,val,baseline,-0.14975375,-0.010895304
BCHUSDT,2024-01-12,val,baseline,-0.09076979,0.009444445
BCHUSDT,2024-01-13,val,baseline,-0.060846016,-0.008716822
BCHUSDT,2024-01-14,val,baseline,-0.03647317,-0.021273322
BCHUSDT,2024-01-15,val,baseline,-0.059700787,-0.02767139
BCHUSDT,2024-01-16,val,baseline,-0.08991077,-0.030843407
BCHUSDT,2024-01-17,val,baseline,-0.032885376,-0.025666855
BCHUSDT,2024-01-18,val,baseline,-0.0046384227,-0.026692227
BCHUSDT,2024-01-19,val,baseline,0.020895036,-0.024432555
BCHUSDT,2024-01-20,val,baseline,0.019056085,-0.028045774
BCHUSDT,2024-01-21,val,baseline,0.0,-0.026175156
BCHUSDT,2024-01-22,val,baseline,0.023481162,-0.015122727
BCHUSDT,2024-01-23,val,baseline,0.03340782,-0.012780257
BCHUSDT,2024-01-24,val,baseline,-0.008499838,-0.020306334
BCHUSDT,2024-01-25,val,baseline,0.0,-0.02034133
BCHUSDT,2024-01-26,val,baseline,-0.023008754,-0.02970405
BCHUSDT,2024-01-27,val,baseline,-0.011141027,-0.035201333
BCHUSDT,2024-01-28,val,baseline,-0.007201895,-0.033975154
BCHUSDT,2024-01-29,val,baseline,-0.023056984,-0.03830798
BCHUSDT,2024-01-30,val,baseline,-0.009310266,-0.03923308
BCHUSDT,2024-01-31,val,baseline,0.026533458,-0.034208164
BCHUSDT,2024-02-01,val,baseline,0.03325327,-0.036748588
BCHUSDT,2024-02-02,val,baseline,0.057558015,-0.03763093
BCHUSDT,2024-02-03,val,baseline,0.027825035,-0.038563445
BCHUSDT,2024-02-04,val,baseline,0.16574502,-0.030965477
BCHUSDT,2024-02-05,val,baseline,0.17358974,-0.033663437
BCHUSDT,2024-02-06,val,baseline,0.13946612,-0.029268548
BCHUSDT,2024-02-07,val,baseline,0.15415068,-0.031937018
BCHUSDT,2024-02-08,val,baseline,0.100278124,-0.0326645
BCHUSDT,2024-02-09,val,baseline,0.091197565,-0.027725562
BCHUSDT,2024-02-10,val,baseline,0.07574965,-0.03960964
BCHUSDT,2024-02-11,val,baseline,-0.025539514,0.02175374
BCHUSDT,2024-02-12,val,baseline,-0.026735697,0.051787924
BCHUSDT,2024-02-13,val,baseline,-0.019418085,0.03283328
BCHUSDT,2024-02-14,val,baseline,-0.064752296,0.03599123
