config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
16,0.014081751042587534,10,0.0005,32,1,0.0,32,20,0.0001,5
3,0.014125162674939726,20,0.0001,64,1,0.2,32,50,0.0,5
10,0.014135374899857911,10,0.0005,32,2,0.0,64,50,1e-05,5
13,0.014165197934158671,20,0.001,32,2,0.3,32,20,0.0,5
8,0.014171253153475685,10,5e-05,32,2,0.3,32,20,0.0001,5
7,0.014297844815649885,10,5e-05,128,2,0.1,32,35,0.0001,5
1,0.014300150282290433,15,0.001,32,2,0.1,32,50,0.0,5
4,0.01430979714030122,20,0.0005,32,2,0.2,64,50,1e-05,5
18,0.014377199330900125,25,5e-05,128,2,0.1,64,50,0.0,5
11,0.01438168760081987,10,0.0005,32,1,0.3,32,20,0.0001,5
12,0.014414514082827769,10,5e-05,64,2,0.1,32,35,0.0001,5
2,0.014444645777402563,10,0.001,128,2,0.2,64,35,1e-05,5
9,0.01450098309529057,30,0.001,32,1,0.0,32,20,0.0,5
14,0.014515467660430386,20,0.001,128,1,0.3,64,35,1e-05,5
6,0.014520565948027364,15,0.0005,32,2,0.3,32,20,0.0,5
17,0.014696316757676691,15,5e-05,64,2,0.0,64,50,0.0001,5
15,0.014909828744891012,30,5e-05,32,1,0.3,64,50,0.0001,5
5,0.014947795831534919,20,0.001,64,1,0.3,32,35,0.0,5
