config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
18,0.004656382627876168,25,5e-05,128,2,0.1,64,50,0.0,5
12,0.0048304885788431244,10,5e-05,64,2,0.1,32,35,0.0001,5
7,0.004846260258068388,10,5e-05,128,2,0.1,32,35,0.0001,5
13,0.004869163089546986,20,0.001,32,2,0.3,32,20,0.0,5
17,0.00493806278676055,15,5e-05,64,2,0.0,64,50,0.0001,5
6,0.004988764983233567,15,0.0005,32,2,0.3,32,20,0.0,5
10,0.005007578884535152,10,0.0005,32,2,0.0,64,50,1e-05,5
3,0.005039045083480625,20,0.0001,64,1,0.2,32,50,0.0,5
4,0.005070673220172266,20,0.0005,32,2,0.2,64,50,1e-05,5
8,0.005096758226502415,10,5e-05,32,2,0.3,32,20,0.0001,5
9,0.005127578404037451,30,0.001,32,1,0.0,32,20,0.0,5
2,0.0051338310780314105,10,0.001,128,2,0.2,64,35,1e-05,5
1,0.00531598625984488,15,0.001,32,2,0.1,32,50,0.0,5
11,0.005317159259445373,10,0.0005,32,1,0.3,32,20,0.0001,5
5,0.005353449987847883,20,0.001,64,1,0.3,32,35,0.0,5
14,0.005520640811220862,20,0.001,128,1,0.3,64,35,1e-05,5
16,0.005674786202894944,10,0.0005,32,1,0.0,32,20,0.0001,5
15,0.0073266107797775116,30,5e-05,32,1,0.3,64,50,0.0001,5
