crypto,date,split,model_type,y_true,y_pred
BNBUSDT,2024-01-01,val,baseline,-0.031758986,0.037291802
BNBUSDT,2024-01-02,val,baseline,-0.036201574,0.030320698
BNBUSDT,2024-01-03,val,baseline,-0.03217781,0.029051242
BNBUSDT,2024-01-04,val,baseline,-0.04906824,0.028983854
BNBUSDT,2024-01-05,val,baseline,-0.06809339,0.028233666
BNBUSDT,2024-01-06,val,baseline,-0.017386038,0.026887942
BNBUSDT,2024-01-07,val,baseline,-0.009636227,0.020746294
BNBUSDT,2024-01-08,val,baseline,0.044437446,0.013857819
BNBUSDT,2024-01-09,val,baseline,0.045764923,0.0111107975
BNBUSDT,2024-01-10,val,baseline,0.011703645,0.011654135
BNBUSDT,2024-01-11,val,baseline,0.015454268,0.014162451
BNBUSDT,2024-01-12,val,baseline,0.059235375,0.015555777
BNBUSDT,2024-01-13,val,baseline,0.04844344,0.011005584
BNBUSDT,2024-01-14,val,baseline,0.06182198,0.00768115
BNBUSDT,2024-01-15,val,baseline,-0.037219565,0.008082591
BNBUSDT,2024-01-16,val,baseline,-0.053432904,0.013303351
BNBUSDT,2024-01-17,val,baseline,-0.054121092,0.018263401
BNBUSDT,2024-01-18,val,baseline,-0.06910698,0.020924691
BNBUSDT,2024-01-19,val,baseline,-0.040530752,0.022722997
BNBUSDT,2024-01-20,val,baseline,-0.037255432,0.022546288
BNBUSDT,2024-01-21,val,baseline,-0.0426415,0.02077642
BNBUSDT,2024-01-22,val,baseline,0.015569565,0.019111551
BNBUSDT,2024-01-23,val,baseline,0.029025784,0.014443617
BNBUSDT,2024-01-24,val,baseline,0.024933906,0.009790836
BNBUSDT,2024-01-25,val,baseline,0.02735271,0.0041160714
BNBUSDT,2024-01-26,val,baseline,-0.0026507636,0.0017464161
BNBUSDT,2024-01-27,val,baseline,-0.019495083,0.0012948215
BNBUSDT,2024-01-28,val,baseline,-0.0019672138,0.00085422955
BNBUSDT,2024-01-29,val,baseline,-0.03105332,0.0012485795
BNBUSDT,2024-01-30,val,baseline,-0.016058022,0.0028119572
BNBUSDT,2024-01-31,val,baseline,0.022376714,0.002544187
BNBUSDT,2024-02-01,val,baseline,0.061368946,0.00077341497
BNBUSDT,2024-02-02,val,baseline,0.07230523,-0.0011444278
BNBUSDT,2024-02-03,val,baseline,0.07487035,-0.0023987945
BNBUSDT,2024-02-04,val,baseline,0.05117842,-0.0027880073
BNBUSDT,2024-02-05,val,baseline,0.08462917,-0.0025805943
BNBUSDT,2024-02-06,val,baseline,0.070159465,-0.003035793
BNBUSDT,2024-02-07,val,baseline,0.08301708,-0.0031534098
BNBUSDT,2024-02-08,val,baseline,0.104043856,0.001939889
BNBUSDT,2024-02-09,val,baseline,0.10647101,0.011504713
BNBUSDT,2024-02-10,val,baseline,0.08853241,0.018672746
BNBUSDT,2024-02-11,val,baseline,0.086855456,0.021530963
BNBUSDT,2024-02-12,val,baseline,0.0700905,0.022074144
BNBUSDT,2024-02-13,val,baseline,0.08808871,0.022002466
BNBUSDT,2024-02-14,val,baseline,0.12722223,0.019408781
BNBUSDT,2024-02-15,val,baseline,0.07712833,0.021193266
BNBUSDT,2024-02-16,val,baseline,0.041043945,0.02645457
BNBUSDT,2024-02-17,val,baseline,0.07845023,0.02984891
BNBUSDT,2024-02-18,val,baseline,0.10493161,0.027399557
BNBUSDT,2024-02-19,val,baseline,0.1329624,0.023824293
BNBUSDT,2024-02-20,val,baseline,0.1068822,0.021662656
BNBUSDT,2024-02-21,val,baseline,0.08925043,0.02168059
BNBUSDT,2024-02-22,val,baseline,0.042973366,0.025571007
BNBUSDT,2024-02-23,val,baseline,0.08153703,0.030594448
BNBUSDT,2024-02-24,val,baseline,0.07371492,0.030081272
BNBUSDT,2024-02-25,val,baseline,0.0647798,0.02466076
BNBUSDT,2024-02-26,val,baseline,0.040981345,0.021602783
BNBUSDT,2024-02-27,val,baseline,-0.0012679094,0.021211222
BNBUSDT,2024-02-28,val,baseline,0.035074685,0.02090507
BNBUSDT,2024-02-29,val,baseline,0.17250893,0.022684697
BNBUSDT,2024-03-01,val,baseline,0.17600152,0.02081129
BNBUSDT,2024-03-02,val,baseline,0.1725801,0.014343783
BNBUSDT,2024-03-03,val,baseline,0.2437264,0.009123052
BNBUSDT,2024-03-04,val,baseline,0.22314355,0.0061866827
BNBUSDT,2024-03-05,val,baseline,0.31032407,0.0064715147
BNBUSDT,2024-03-06,val,baseline,0.38412428,0.006656736
BNBUSDT,2024-03-07,val,baseline,0.23977648,0.009828348
BNBUSDT,2024-03-08,val,baseline,0.26419935,0.01722652
BNBUSDT,2024-03-09,val,baseline,0.16587189,0.017917246
BNBUSDT,2024-03-10,val,baseline,0.077815,0.014737617
BNBUSDT,2024-03-11,val,baseline,0.060107112,0.010779571
BNBUSDT,2024-03-12,val,baseline,-0.05703804,0.0033268295
BNBUSDT,2024-03-13,val,baseline,-0.124307044,-0.011402458
BNBUSDT,2024-03-14,val,baseline,-0.0854452,-0.023909539
BNBUSDT,2024-03-15,val,baseline,-0.13319276,-0.038220886
BNBUSDT,2024-03-16,val,baseline,-0.043434992,-0.052658036
BNBUSDT,2024-03-17,val,baseline,-0.007021268,-0.06725757
BNBUSDT,2024-03-18,val,baseline,0.055336244,-0.0777271
BNBUSDT,2024-03-19,val,baseline,0.13382679,-0.08327358
BNBUSDT,2024-03-20,val,baseline,0.030945798,-0.094106704
BNBUSDT,2024-03-21,val,baseline,0.052069448,-0.09745538
BNBUSDT,2024-03-22,val,baseline,0.100745335,-0.100708775
BNBUSDT,2024-03-23,val,baseline,0.08472877,-0.10775897
BNBUSDT,2024-03-24,val,baseline,0.06644133,-0.1107904
BNBUSDT,2024-03-25,val,baseline,-0.019264441,-0.117983684
BNBUSDT,2024-03-26,val,baseline,-0.05125702,-0.119770795
BNBUSDT,2024-03-27,val,baseline,-0.022540133,-0.11734329
BNBUSDT,2024-03-28,val,baseline,0.0035931256,-0.11744028
BNBUSDT,2024-03-29,val,baseline,-0.058321156,-0.11653629
BNBUSDT,2024-03-30,val,baseline,-0.025800267,-0.11829735
BNBUSDT,2024-03-31,val,baseline,-0.0383047,-0.12194203
BNBUSDT,2024-04-01,val,baseline,0.018241772,-0.12643018
BNBUSDT,2024-04-02,val,baseline,0.0514293,-0.1337968
BNBUSDT,2024-04-03,val,baseline,0.08235526,-0.14027627
BNBUSDT,2024-04-04,val,baseline,0.0321009,-0.14511137
BNBUSDT,2024-04-05,val,baseline,0.030341513,-0.14490454
BNBUSDT,2024-04-06,val,baseline,-0.056756556,-0.14433664
BNBUSDT,2024-04-07,val,baseline,-0.030429194,-0.1434033
BNBUSDT,2024-04-08,val,baseline,-0.05918679,-0.14193594
BNBUSDT,2024-04-09,val,baseline,-0.076775014,-0.13927895
BNBUSDT,2024-04-10,val,baseline,-0.13238394,-0.13889033
BNBUSDT,2024-04-11,val,baseline,-0.090837896,-0.13551609
BNBUSDT,2024-04-12,val,baseline,-0.072404616,-0.12720568
BNBUSDT,2024-04-13,val,baseline,0.031675246,-0.11879562
BNBUSDT,2024-04-14,val,baseline,0.023037668,-0.1149995
BNBUSDT,2024-04-15,val,baseline,0.08958631,-0.110307634
BNBUSDT,2024-04-16,val,baseline,0.12009518,-0.10849507
BNBUSDT,2024-04-17,val,baseline,0.13090672,-0.10686308
BNBUSDT,2024-04-18,val,baseline,0.104961954,-0.10455106
BNBUSDT,2024-04-19,val,baseline,0.07642607,-0.100003496
BNBUSDT,2024-04-20,val,baseline,0.04336212,-0.09827532
BNBUSDT,2024-04-21,val,baseline,0.034924723,-0.09637457
BNBUSDT,2024-04-22,val,baseline,-0.019544596,-0.09750439
BNBUSDT,2024-04-23,val,baseline,-0.046944294,-0.09789128
BNBUSDT,2024-04-24,val,baseline,-0.080343895,-0.0968398
BNBUSDT,2024-04-25,val,baseline,-0.08986191,-0.09609268
BNBUSDT,2024-04-26,val,baseline,-0.018565934,-0.09598148
BNBUSDT,2024-04-27,val,baseline,-0.017768469,-0.10107219
BNBUSDT,2024-04-28,val,baseline,-0.013756298,-0.10678085
BNBUSDT,2024-04-29,val,baseline,-0.0077900477,-0.111318305
BNBUSDT,2024-04-30,val,baseline,-0.0032903312,-0.11448715
BNBUSDT,2024-05-01,val,baseline,0.046600923,-0.116303094
BNBUSDT,2024-05-02,val,baseline,0.062752806,-0.1177737
BNBUSDT,2024-05-03,val,baseline,-0.002387857,-0.12001017
BNBUSDT,2024-05-04,val,baseline,0.011036702,-0.11869362
BNBUSDT,2024-05-05,val,baseline,0.00471858,-0.117065825
BNBUSDT,2024-05-06,val,baseline,0.0059327236,-0.11283277
BNBUSDT,2024-05-07,val,baseline,-0.016439686,-0.108768634
BNBUSDT,2024-05-08,val,baseline,-0.012996079,-0.10751233
BNBUSDT,2024-05-09,val,baseline,-0.047350183,-0.104959644
BNBUSDT,2024-05-10,val,baseline,-0.0080583375,-0.10308875
BNBUSDT,2024-05-11,val,baseline,-0.020299204,-0.1035395
BNBUSDT,2024-05-12,val,baseline,-0.03472512,-0.103147574
BNBUSDT,2024-05-13,val,baseline,0.013263017,-0.10254929
BNBUSDT,2024-05-14,val,baseline,0.086761534,-0.10235563
BNBUSDT,2024-05-15,val,baseline,0.056546256,-0.10701575
BNBUSDT,2024-05-16,val,baseline,0.05153044,-0.11052586
BNBUSDT,2024-05-17,val,baseline,0.032850906,-0.11234351
BNBUSDT,2024-05-18,val,baseline,0.037376467,-0.11222237
BNBUSDT,2024-05-19,val,baseline,0.043762837,-0.110980585
BNBUSDT,2024-05-20,val,baseline,0.007145855,-0.10912794
BNBUSDT,2024-05-21,val,baseline,-0.02753821,-0.103525735
BNBUSDT,2024-05-22,val,baseline,-0.03155983,-0.096153826
BNBUSDT,2024-05-23,val,baseline,-0.007032849,-0.09165487
BNBUSDT,2024-05-24,val,baseline,-0.011055389,-0.092019215
BNBUSDT,2024-05-25,val,baseline,-0.00083035795,-0.09486263
BNBUSDT,2024-05-26,val,baseline,0.0044884123,-0.097504206
BNBUSDT,2024-05-27,val,baseline,0.03658052,-0.100485444
BNBUSDT,2024-05-28,val,baseline,0.13068123,-0.104423895
BNBUSDT,2024-05-29,val,baseline,0.1596274,-0.10728651
BNBUSDT,2024-05-30,val,baseline,0.17822422,-0.111989476
BNBUSDT,2024-05-31,val,baseline,0.14158377,-0.11603999
BNBUSDT,2024-06-01,val,baseline,0.12596421,-0.11756319
BNBUSDT,2024-06-02,val,baseline,0.10999399,-0.118311256
BNBUSDT,2024-06-03,val,baseline,-0.0020775078,-0.11395441
BNBUSDT,2024-06-04,val,baseline,-0.12935255,-0.107708134
BNBUSDT,2024-06-05,val,baseline,-0.120613314,-0.102931306
BNBUSDT,2024-06-06,val,baseline,-0.17035742,-0.105638534
BNBUSDT,2024-06-07,val,baseline,-0.12554333,-0.11123186
BNBUSDT,2024-06-08,val,baseline,-0.11555175,-0.11997778
BNBUSDT,2024-06-09,val,baseline,-0.09697576,-0.12934284
BNBUSDT,2024-06-10,val,baseline,-0.033840872,-0.13405341
BNBUSDT,2024-06-11,val,baseline,-0.023340829,-0.13707738
BNBUSDT,2024-06-12,val,baseline,-0.03298896,-0.14158252
BNBUSDT,2024-06-13,val,baseline,-0.020379653,-0.14351173
BNBUSDT,2024-06-14,val,baseline,-0.028924162,-0.14588082
BNBUSDT,2024-06-15,val,baseline,-0.028518567,-0.1462684
BNBUSDT,2024-06-16,val,baseline,-0.05606113,-0.14613836
BNBUSDT,2024-06-17,val,baseline,-0.061773304,-0.14295882
BNBUSDT,2024-06-18,val,baseline,-0.017827006,-0.13325298
BNBUSDT,2024-06-19,val,baseline,-0.04487659,-0.12413411
BNBUSDT,2024-06-20,val,baseline,-0.010261763,-0.113588005
BNBUSDT,2024-06-21,val,baseline,-0.032425903,-0.10795286
BNBUSDT,2024-06-22,val,baseline,-0.036348846,-0.10633455
BNBUSDT,2024-06-23,val,baseline,0.008105589,-0.104413785
BNBUSDT,2024-06-24,val,baseline,0.015371482,-0.10662645
BNBUSDT,2024-06-25,val,baseline,0.003280673,-0.11183434
BNBUSDT,2024-06-26,val,baseline,-0.028859222,-0.113541126
BNBUSDT,2024-06-27,val,baseline,-0.1245101,-0.11604119
BNBUSDT,2024-06-28,val,baseline,-0.13106704,-0.11564073
BNBUSDT,2024-06-29,val,baseline,-0.08033515,-0.11581738
BNBUSDT,2024-06-30,val,baseline,-0.1709811,-0.115378425
