config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
4,0.004698513241500339,20,0.0005,32,2,0.2,64,50,1e-05,5
7,0.004714819255126128,10,5e-05,128,2,0.1,32,35,0.0001,5
18,0.0048433555057272315,25,5e-05,128,2,0.1,64,50,0.0,5
12,0.004844119508050853,10,5e-05,64,2,0.1,32,35,0.0001,5
10,0.004856462689982271,10,0.0005,32,2,0.0,64,50,1e-05,5
6,0.004952064196255365,15,0.0005,32,2,0.3,32,20,0.0,5
2,0.005001476816187658,10,0.001,128,2,0.2,64,35,1e-05,5
17,0.005104576381454144,15,5e-05,64,2,0.0,64,50,0.0001,5
13,0.005133095059892677,20,0.001,32,2,0.3,32,20,0.0,5
8,0.005205930957752597,10,5e-05,32,2,0.3,32,20,0.0001,5
1,0.005223729879483514,15,0.001,32,2,0.1,32,50,0.0,5
3,0.005280105808522805,20,0.0001,64,1,0.2,32,50,0.0,5
14,0.005310981339422303,20,0.001,128,1,0.3,64,35,1e-05,5
5,0.005496873887363719,20,0.001,64,1,0.3,32,35,0.0,5
9,0.00554438577319541,30,0.001,32,1,0.0,32,20,0.0,5
11,0.00559287873899849,10,0.0005,32,1,0.3,32,20,0.0001,5
16,0.005618276420714759,10,0.0005,32,1,0.0,32,20,0.0001,5
15,0.006238141757510647,30,5e-05,32,1,0.3,64,50,0.0001,5
