config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
7,0.004871518492275568,10,5e-05,128,2,0.1,32,35,0.0001,5
12,0.004928938719708798,10,5e-05,64,2,0.1,32,35,0.0001,5
10,0.004956471324243762,10,0.0005,32,2,0.0,64,50,1e-05,5
17,0.0049565162017070515,15,5e-05,64,2,0.0,64,50,0.0001,5
18,0.004972347252833375,25,5e-05,128,2,0.1,64,50,0.0,5
13,0.00502524280597527,20,0.001,32,2,0.3,32,20,0.0,5
4,0.005069185421162863,20,0.0005,32,2,0.2,64,50,1e-05,5
9,0.005120646884901896,30,0.001,32,1,0.0,32,20,0.0,5
6,0.005133901040023582,15,0.0005,32,2,0.3,32,20,0.0,5
11,0.005300475875331031,10,0.0005,32,1,0.3,32,20,0.0001,5
14,0.00534588384797119,20,0.001,128,1,0.3,64,35,1e-05,5
8,0.00544831859047459,10,5e-05,32,2,0.3,32,20,0.0001,5
2,0.005457321152511345,10,0.001,128,2,0.2,64,35,1e-05,5
5,0.005482484004947078,20,0.001,64,1,0.3,32,35,0.0,5
16,0.005533100218203902,10,0.0005,32,1,0.0,32,20,0.0001,5
1,0.005609530317980969,15,0.001,32,2,0.1,32,50,0.0,5
3,0.0063295183008775366,20,0.0001,64,1,0.2,32,50,0.0,5
15,0.012150772282544395,30,5e-05,32,1,0.3,64,50,0.0001,5
