crypto,date,split,model_type,y_true,y_pred
BTCUSDT,2024-01-01,val,baseline,0.060843345,-0.0132263
BTCUSDT,2024-01-02,val,baseline,0.02554783,-0.013714757
BTCUSDT,2024-01-03,val,baseline,0.08516414,-0.015811998
BTCUSDT,2024-01-04,val,baseline,0.04836955,-0.01630225
BTCUSDT,2024-01-05,val,baseline,-0.031347647,-0.016535435
BTCUSDT,2024-01-06,val,baseline,-0.025810638,-0.017112646
BTCUSDT,2024-01-07,val,baseline,-0.051298544,-0.0171905
BTCUSDT,2024-01-08,val,baseline,-0.09934014,-0.01513395
BTCUSDT,2024-01-09,val,baseline,-0.06662673,-0.016526682
BTCUSDT,2024-01-10,val,baseline,-0.08677892,-0.018437702
BTCUSDT,2024-01-11,val,baseline,-0.114459254,-0.021608163
BTCUSDT,2024-01-12,val,baseline,-0.026616365,-0.02390029
BTCUSDT,2024-01-13,val,baseline,-0.027252575,-0.021317728
BTCUSDT,2024-01-14,val,baseline,-0.0036493884,-0.017463528
BTCUSDT,2024-01-15,val,baseline,-0.071744,-0.012364295
BTCUSDT,2024-01-16,val,baseline,-0.07808695,-0.008094353
BTCUSDT,2024-01-17,val,baseline,-0.06498033,-0.0049759047
BTCUSDT,2024-01-18,val,baseline,-0.033621907,-0.0036732135
BTCUSDT,2024-01-19,val,baseline,0.0039404696,-0.0017367564
BTCUSDT,2024-01-20,val,baseline,0.010131484,-0.0005381922
BTCUSDT,2024-01-21,val,baseline,0.0107816495,0.00013091229
BTCUSDT,2024-01-22,val,baseline,0.09019377,-0.0012555467
BTCUSDT,2024-01-23,val,baseline,0.07351324,-0.0018894305
BTCUSDT,2024-01-24,val,baseline,0.060385454,-0.0021103784
BTCUSDT,2024-01-25,val,baseline,0.07522087,-0.0024896837
BTCUSDT,2024-01-26,val,baseline,0.032381874,-0.00072755944
BTCUSDT,2024-01-27,val,baseline,0.020920346,-0.00025772862
BTCUSDT,2024-01-28,val,baseline,0.013043426,-0.00076172175
BTCUSDT,2024-01-29,val,baseline,-0.013812342,-0.0012734407
BTCUSDT,2024-01-30,val,baseline,0.0036692256,-0.003743451
BTCUSDT,2024-01-31,val,baseline,0.04071903,-0.00674962
BTCUSDT,2024-02-01,val,baseline,0.049929354,-0.0075749205
BTCUSDT,2024-02-02,val,baseline,0.08712802,-0.008531297
BTCUSDT,2024-02-03,val,baseline,0.1045439,-0.009246318
BTCUSDT,2024-02-04,val,baseline,0.12597907,-0.0096384715
BTCUSDT,2024-02-05,val,baseline,0.15596439,-0.009147113
BTCUSDT,2024-02-06,val,baseline,0.14249805,-0.007851479
BTCUSDT,2024-02-07,val,baseline,0.15519321,-0.0066662924
BTCUSDT,2024-02-08,val,baseline,0.13587691,-0.007663519
BTCUSDT,2024-02-09,val,baseline,0.100659095,-0.009201631
BTCUSDT,2024-02-10,val,baseline,0.07834579,-0.011154526
BTCUSDT,2024-02-11,val,baseline,0.07645637,-0.013457524
BTCUSDT,2024-02-12,val,baseline,0.03653516,-0.01495907
BTCUSDT,2024-02-13,val,baseline,0.050211996,-0.017743856
BTCUSDT,2024-02-14,val,baseline,0.0010462683,-0.018211722
BTCUSDT,2024-02-15,val,baseline,-0.011468364,-0.020270985
BTCUSDT,2024-02-16,val,baseline,-0.026831266,-0.02223263
BTCUSDT,2024-02-17,val,baseline,-0.0014420965,-0.024221763
BTCUSDT,2024-02-18,val,baseline,-0.007872067,-0.024711234
BTCUSDT,2024-02-19,val,baseline,0.050866675,-0.025534833
BTCUSDT,2024-02-20,val,baseline,0.08749746,-0.026017766
BTCUSDT,2024-02-21,val,baseline,0.1857364,-0.027379483
BTCUSDT,2024-02-22,val,baseline,0.17555378,-0.028995164
BTCUSDT,2024-02-23,val,baseline,0.206575,-0.029924497
BTCUSDT,2024-02-24,val,baseline,0.18402362,-0.02967929
BTCUSDT,2024-02-25,val,baseline,0.1989265,-0.029699262
BTCUSDT,2024-02-26,val,baseline,0.22534572,-0.031170271
BTCUSDT,2024-02-27,val,baseline,0.110855274,-0.035296045
BTCUSDT,2024-02-28,val,baseline,0.056696367,-0.037936542
BTCUSDT,2024-02-29,val,baseline,0.0890311,-0.044869144
BTCUSDT,2024-03-01,val,baseline,0.08796102,-0.04875311
BTCUSDT,2024-03-02,val,baseline,0.09717484,-0.051093332
BTCUSDT,2024-03-03,val,baseline,0.08852474,-0.051118985
BTCUSDT,2024-03-04,val,baseline,0.054635677,-0.048114482
BTCUSDT,2024-03-05,val,baseline,0.11446462,-0.05164824
BTCUSDT,2024-03-06,val,baseline,0.100674935,-0.05164989
BTCUSDT,2024-03-07,val,baseline,0.06609308,-0.051586565
BTCUSDT,2024-03-08,val,baseline,0.01999223,-0.05156097
BTCUSDT,2024-03-09,val,baseline,-0.045102354,-0.05217279
BTCUSDT,2024-03-10,val,baseline,-0.008189381,-0.05250983
BTCUSDT,2024-03-11,val,baseline,-0.0639945,-0.053328864
BTCUSDT,2024-03-12,val,baseline,-0.14290184,-0.05693399
BTCUSDT,2024-03-13,val,baseline,-0.074291356,-0.060876288
BTCUSDT,2024-03-14,val,baseline,-0.08607342,-0.06546463
BTCUSDT,2024-03-15,val,baseline,-0.08562407,-0.067703605
BTCUSDT,2024-03-16,val,baseline,-0.020274706,-0.0670603
BTCUSDT,2024-03-17,val,baseline,-0.017455602,-0.06067502
BTCUSDT,2024-03-18,val,baseline,0.033023875,-0.05556506
BTCUSDT,2024-03-19,val,baseline,0.1221996,-0.047741756
BTCUSDT,2024-03-20,val,baseline,0.023735352,-0.03668148
BTCUSDT,2024-03-21,val,baseline,0.07751542,-0.029555837
BTCUSDT,2024-03-22,val,baseline,0.090657294,-0.023250408
BTCUSDT,2024-03-23,val,baseline,0.083781525,-0.018448632
BTCUSDT,2024-03-24,val,baseline,0.058794025,-0.015187336
BTCUSDT,2024-03-25,val,baseline,-0.0032997997,-0.016635392
BTCUSDT,2024-03-26,val,baseline,-0.06682358,-0.022649977
BTCUSDT,2024-03-27,val,baseline,-0.051796637,-0.03129761
BTCUSDT,2024-03-28,val,baseline,-0.03292947,-0.038786188
BTCUSDT,2024-03-29,val,baseline,-0.029491538,-0.045931663
BTCUSDT,2024-03-30,val,baseline,-0.009910379,-0.051169846
BTCUSDT,2024-03-31,val,baseline,-0.027299969,-0.053512227
BTCUSDT,2024-04-01,val,baseline,0.027894536,-0.055616572
BTCUSDT,2024-04-02,val,baseline,0.054719992,-0.054753646
BTCUSDT,2024-04-03,val,baseline,0.06837205,-0.050244216
BTCUSDT,2024-04-04,val,baseline,0.021928757,-0.04480834
BTCUSDT,2024-04-05,val,baseline,-0.0104360655,-0.04063925
BTCUSDT,2024-04-06,val,baseline,-0.07489526,-0.037778504
BTCUSDT,2024-04-07,val,baseline,-0.054798022,-0.037762426
BTCUSDT,2024-04-08,val,baseline,-0.121595256,-0.040742148
BTCUSDT,2024-04-09,val,baseline,-0.08057063,-0.045014165
BTCUSDT,2024-04-10,val,baseline,-0.14205967,-0.04749587
BTCUSDT,2024-04-11,val,baseline,-0.09801562,-0.05081494
BTCUSDT,2024-04-12,val,baseline,-0.050394773,-0.051272415
BTCUSDT,2024-04-13,val,baseline,0.015769996,-0.04617771
BTCUSDT,2024-04-14,val,baseline,-0.011036459,-0.038726266
BTCUSDT,2024-04-15,val,baseline,0.052213147,-0.03278794
BTCUSDT,2024-04-16,val,baseline,0.040258296,-0.027262982
BTCUSDT,2024-04-17,val,baseline,0.047987115,-0.022795673
BTCUSDT,2024-04-18,val,baseline,0.016070873,-0.019897982
BTCUSDT,2024-04-19,val,baseline,-0.0007524218,-0.020064788
BTCUSDT,2024-04-20,val,baseline,-0.023031866,-0.02279983
BTCUSDT,2024-04-21,val,baseline,-0.028465662,-0.026919683
BTCUSDT,2024-04-22,val,baseline,-0.045205124,-0.03200579
BTCUSDT,2024-04-23,val,baseline,-0.09042557,-0.03869169
BTCUSDT,2024-04-24,val,baseline,-0.09668184,-0.045509722
BTCUSDT,2024-04-25,val,baseline,-0.08807528,-0.049054183
BTCUSDT,2024-04-26,val,baseline,-0.0140229035,-0.05111707
BTCUSDT,2024-04-27,val,baseline,0.0067537976,-0.049880676
BTCUSDT,2024-04-28,val,baseline,0.014054753,-0.04837594
BTCUSDT,2024-04-29,val,baseline,-0.01103378,-0.045473106
BTCUSDT,2024-04-30,val,baseline,0.026673,-0.041859828
BTCUSDT,2024-05-01,val,baseline,0.04731741,-0.03417365
BTCUSDT,2024-05-02,val,baseline,0.065744594,-0.02673487
BTCUSDT,2024-05-03,val,baseline,-0.03367049,-0.021554966
BTCUSDT,2024-05-04,val,baseline,-0.04917762,-0.02197647
BTCUSDT,2024-05-05,val,baseline,-0.04029375,-0.025974419
BTCUSDT,2024-05-06,val,baseline,-0.0035701955,-0.032268837
BTCUSDT,2024-05-07,val,baseline,-0.011858926,-0.0382674
BTCUSDT,2024-05-08,val,baseline,0.07874535,-0.04161946
BTCUSDT,2024-05-09,val,baseline,0.033690557,-0.04271977
BTCUSDT,2024-05-10,val,baseline,0.09746114,-0.043798357
BTCUSDT,2024-05-11,val,baseline,0.09540898,-0.043069843
BTCUSDT,2024-05-12,val,baseline,0.075021,-0.04173229
BTCUSDT,2024-05-13,val,baseline,0.12676744,-0.04184377
BTCUSDT,2024-05-14,val,baseline,0.13031577,-0.042806134
BTCUSDT,2024-05-15,val,baseline,0.043739732,-0.0428816
BTCUSDT,2024-05-16,val,baseline,0.041061927,-0.047588177
BTCUSDT,2024-05-17,val,baseline,0.022512496,-0.05270903
BTCUSDT,2024-05-18,val,baseline,0.034882676,-0.058489114
BTCUSDT,2024-05-19,val,baseline,0.033147894,-0.06327428
BTCUSDT,2024-05-20,val,baseline,-0.02853894,-0.06340041
BTCUSDT,2024-05-21,val,baseline,-0.025262857,-0.06684485
BTCUSDT,2024-05-22,val,baseline,-0.02213525,-0.06917264
BTCUSDT,2024-05-23,val,baseline,0.005612029,-0.07001069
BTCUSDT,2024-05-24,val,baseline,-0.014843097,-0.0681459
BTCUSDT,2024-05-25,val,baseline,-0.022235684,-0.06613527
BTCUSDT,2024-05-26,val,baseline,-0.010890575,-0.06397493
BTCUSDT,2024-05-27,val,baseline,-0.009064028,-0.06233817
BTCUSDT,2024-05-28,val,baseline,0.030800017,-0.06059182
BTCUSDT,2024-05-29,val,baseline,0.04981672,-0.058052056
BTCUSDT,2024-05-30,val,baseline,0.035172414,-0.05558191
BTCUSDT,2024-05-31,val,baseline,0.02652673,-0.05208619
BTCUSDT,2024-06-01,val,baseline,0.022522695,-0.048012912
BTCUSDT,2024-06-02,val,baseline,0.02740086,-0.044506557
BTCUSDT,2024-06-03,val,baseline,0.010554496,-0.045696888
BTCUSDT,2024-06-04,val,baseline,-0.046777498,-0.05174979
BTCUSDT,2024-06-05,val,baseline,-0.040817454,-0.061369468
BTCUSDT,2024-06-06,val,baseline,-0.058546767,-0.07001379
BTCUSDT,2024-06-07,val,baseline,-0.048925858,-0.075679965
BTCUSDT,2024-06-08,val,baseline,-0.045488723,-0.076827705
