config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
18,0.004880919416694877,25,5e-05,128,2,0.1,64,50,0.0,5
6,0.004908359859430392,15,0.0005,32,2,0.3,32,20,0.0,5
12,0.004925796047969651,10,5e-05,64,2,0.1,32,35,0.0001,5
8,0.004992822881616522,10,5e-05,32,2,0.3,32,20,0.0001,5
17,0.0049959698283676005,15,5e-05,64,2,0.0,64,50,0.0001,5
10,0.004997816050993757,10,0.0005,32,2,0.0,64,50,1e-05,5
7,0.005022367552330878,10,5e-05,128,2,0.1,32,35,0.0001,5
14,0.005095217302675262,20,0.001,128,1,0.3,64,35,1e-05,5
13,0.0051883958848810835,20,0.001,32,2,0.3,32,20,0.0,5
5,0.005197298665391337,20,0.001,64,1,0.3,32,35,0.0,5
2,0.005203393784112696,10,0.001,128,2,0.2,64,35,1e-05,5
1,0.005263595007758603,15,0.001,32,2,0.1,32,50,0.0,5
16,0.005314667610420425,10,0.0005,32,1,0.0,32,20,0.0001,5
3,0.00536475185885705,20,0.0001,64,1,0.2,32,50,0.0,5
11,0.005381945203835358,10,0.0005,32,1,0.3,32,20,0.0001,5
4,0.005409994437453852,20,0.0005,32,2,0.2,64,50,1e-05,5
9,0.005640303561121243,30,0.001,32,1,0.0,32,20,0.0,5
15,0.006192638562978863,30,5e-05,32,1,0.3,64,50,0.0001,5
