config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
18,0.006209207923223044,25,5e-05,128,2,0.1,64,50,0.0,5
17,0.006276322027695898,15,5e-05,64,2,0.0,64,50,0.0001,5
7,0.006277348719385099,10,5e-05,128,2,0.1,32,35,0.0001,5
12,0.00637432829575088,10,5e-05,64,2,0.1,32,35,0.0001,5
6,0.0063988494879695205,15,0.0005,32,2,0.3,32,20,0.0,5
10,0.006404065752967751,10,0.0005,32,2,0.0,64,50,1e-05,5
16,0.006438896703716588,10,0.0005,32,1,0.0,32,20,0.0001,5
4,0.006456464981763727,20,0.0005,32,2,0.2,64,50,1e-05,5
8,0.006592315362486542,10,5e-05,32,2,0.3,32,20,0.0001,5
1,0.006641962163973979,15,0.001,32,2,0.1,32,50,0.0,5
2,0.0067004181015632895,10,0.001,128,2,0.2,64,35,1e-05,5
3,0.006710683162242904,20,0.0001,64,1,0.2,32,50,0.0,5
15,0.0069029106798487476,30,5e-05,32,1,0.3,64,50,0.0001,5
14,0.006915378948287503,20,0.001,128,1,0.3,64,35,1e-05,5
13,0.00698170202059322,20,0.001,32,2,0.3,32,20,0.0,5
5,0.007083321367407144,20,0.001,64,1,0.3,32,35,0.0,5
11,0.007314157389881024,10,0.0005,32,1,0.3,32,20,0.0001,5
9,0.0073997121488702175,30,0.001,32,1,0.0,32,20,0.0,5
