crypto,date,split,model_type,y_true,y_pred
ETHUSDT,2024-01-01,val,baseline,-0.009225946,-0.0010037683
ETHUSDT,2024-01-02,val,baseline,-0.0047025066,-0.004159257
ETHUSDT,2024-01-03,val,baseline,0.15661982,-0.0066905506
ETHUSDT,2024-01-04,val,baseline,0.14390859,-0.0063431114
ETHUSDT,2024-01-05,val,baseline,0.10602409,-0.004554279
ETHUSDT,2024-01-06,val,baseline,0.14026359,-0.0025389567
ETHUSDT,2024-01-07,val,baseline,0.10723279,-0.0017873719
ETHUSDT,2024-01-08,val,baseline,0.07493457,-0.0033831112
ETHUSDT,2024-01-09,val,baseline,0.09867093,-0.0061607957
ETHUSDT,2024-01-10,val,baseline,-0.021191236,-0.008631077
ETHUSDT,2024-01-11,val,baseline,-0.057868455,-0.0095518865
ETHUSDT,2024-01-12,val,baseline,-0.01218073,-0.009291649
ETHUSDT,2024-01-13,val,baseline,-0.042056017,-0.0065604523
ETHUSDT,2024-01-14,val,baseline,-0.006417976,-0.0039471276
ETHUSDT,2024-01-15,val,baseline,-0.08192761,-0.0011610202
ETHUSDT,2024-01-16,val,baseline,-0.1430176,0.0007961951
ETHUSDT,2024-01-17,val,baseline,-0.124044225,0.00058305636
ETHUSDT,2024-01-18,val,baseline,-0.107651636,-9.353086e-05
ETHUSDT,2024-01-19,val,baseline,-0.09432832,-0.0003533624
ETHUSDT,2024-01-20,val,baseline,-0.086159654,-0.0007549301
ETHUSDT,2024-01-21,val,baseline,-0.08496925,-0.0019876026
ETHUSDT,2024-01-22,val,baseline,0.001468112,-0.0033258088
ETHUSDT,2024-01-23,val,baseline,0.04380052,-0.0022530146
ETHUSDT,2024-01-24,val,baseline,0.021301512,0.0028350167
ETHUSDT,2024-01-25,val,baseline,0.037873868,0.0082702525
ETHUSDT,2024-01-26,val,baseline,0.018083233,0.0100967325
ETHUSDT,2024-01-27,val,baseline,0.01250994,0.009204198
ETHUSDT,2024-01-28,val,baseline,0.01446792,0.005361054
ETHUSDT,2024-01-29,val,baseline,-0.006827709,-0.0002926439
ETHUSDT,2024-01-30,val,baseline,0.012566832,-0.0057584457
ETHUSDT,2024-01-31,val,baseline,0.060321074,-0.009884205
ETHUSDT,2024-02-01,val,baseline,0.04881331,-0.013163663
ETHUSDT,2024-02-02,val,baseline,0.07405972,-0.014958888
ETHUSDT,2024-02-03,val,baseline,0.08500486,-0.016162872
ETHUSDT,2024-02-04,val,baseline,0.09071047,-0.017294332
ETHUSDT,2024-02-05,val,baseline,0.1446179,-0.018885382
ETHUSDT,2024-02-06,val,baseline,0.10677187,-0.02076377
ETHUSDT,2024-02-07,val,baseline,0.13470952,-0.021781188
ETHUSDT,2024-02-08,val,baseline,0.15407333,-0.021973755
ETHUSDT,2024-02-09,val,baseline,0.11936184,-0.019275218
ETHUSDT,2024-02-10,val,baseline,0.10819502,-0.015514359
ETHUSDT,2024-02-11,val,baseline,0.1390363,-0.011979673
ETHUSDT,2024-02-12,val,baseline,0.10171854,-0.008408263
ETHUSDT,2024-02-13,val,baseline,0.13276169,-0.0062116235
ETHUSDT,2024-02-14,val,baseline,0.06727236,-0.0037170686
ETHUSDT,2024-02-15,val,baseline,0.05137832,-0.0023564845
ETHUSDT,2024-02-16,val,baseline,0.04208838,-0.0021011382
ETHUSDT,2024-02-17,val,baseline,0.071567506,-0.0021750368
ETHUSDT,2024-02-18,val,baseline,0.077248305,-0.0019751415
ETHUSDT,2024-02-19,val,baseline,0.075562745,-0.002427753
ETHUSDT,2024-02-20,val,baseline,0.07276465,-0.0030365959
ETHUSDT,2024-02-21,val,baseline,0.13093781,-0.0030975118
ETHUSDT,2024-02-22,val,baseline,0.116964534,-0.001433827
ETHUSDT,2024-02-23,val,baseline,0.16120932,0.0007487573
ETHUSDT,2024-02-24,val,baseline,0.13390057,0.003886748
ETHUSDT,2024-02-25,val,baseline,0.113818854,0.006418813
ETHUSDT,2024-02-26,val,baseline,0.13301173,0.008114427
ETHUSDT,2024-02-27,val,baseline,0.091673784,0.010048348
ETHUSDT,2024-02-28,val,baseline,0.121088795,0.012783214
ETHUSDT,2024-02-29,val,baseline,0.14693628,0.014513038
ETHUSDT,2024-03-01,val,baseline,0.123141,0.017182369
ETHUSDT,2024-03-02,val,baseline,0.13226174,0.017620482
ETHUSDT,2024-03-03,val,baseline,0.10616671,0.01725027
ETHUSDT,2024-03-04,val,baseline,0.11374916,0.016645182
ETHUSDT,2024-03-05,val,baseline,0.11329652,0.013901368
ETHUSDT,2024-03-06,val,baseline,0.0476099,0.014497515
ETHUSDT,2024-03-07,val,baseline,0.0033391598,0.0144922845
ETHUSDT,2024-03-08,val,baseline,-0.037029758,0.012321267
ETHUSDT,2024-03-09,val,baseline,-0.10297311,0.010203004
ETHUSDT,2024-03-10,val,baseline,-0.062163945,0.007660087
ETHUSDT,2024-03-11,val,baseline,-0.14377289,0.0063006654
ETHUSDT,2024-03-12,val,baseline,-0.23113021,0.004234057
ETHUSDT,2024-03-13,val,baseline,-0.13001643,0.0056796297
ETHUSDT,2024-03-14,val,baseline,-0.10555518,0.0064105056
ETHUSDT,2024-03-15,val,baseline,-0.114793606,0.008172184
ETHUSDT,2024-03-16,val,baseline,-0.056507293,0.010796372
ETHUSDT,2024-03-17,val,baseline,-0.053460132,0.01403534
ETHUSDT,2024-03-18,val,baseline,0.019677524,0.016889863
ETHUSDT,2024-03-19,val,baseline,0.12726665,0.020772807
ETHUSDT,2024-03-20,val,baseline,-0.004371797,0.021314405
ETHUSDT,2024-03-21,val,baseline,0.019180154,0.021743562
ETHUSDT,2024-03-22,val,baseline,0.050664566,0.02057467
ETHUSDT,2024-03-23,val,baseline,0.051541947,0.016155176
ETHUSDT,2024-03-24,val,baseline,0.053619254,0.008009359
ETHUSDT,2024-03-25,val,baseline,-0.024421094,-0.0007877648
ETHUSDT,2024-03-26,val,baseline,-0.0898819,-0.010078184
ETHUSDT,2024-03-27,val,baseline,-0.055903997,-0.017953094
