config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
7,0.006308252326231739,10,5e-05,128,2,0.1,32,35,0.0001,5
12,0.006334906573164785,10,5e-05,64,2,0.1,32,35,0.0001,5
6,0.0063899749477370005,15,0.0005,32,2,0.3,32,20,0.0,5
18,0.006419394309857798,25,5e-05,128,2,0.1,64,50,0.0,5
13,0.006498038822107948,20,0.001,32,2,0.3,32,20,0.0,5
10,0.00654503802717146,10,0.0005,32,2,0.0,64,50,1e-05,5
11,0.006566392080804802,10,0.0005,32,1,0.3,32,20,0.0001,5
3,0.00659917567842284,20,0.0001,64,1,0.2,32,50,0.0,5
4,0.0066545838741527185,20,0.0005,32,2,0.2,64,50,1e-05,5
1,0.0067057298988244625,15,0.001,32,2,0.1,32,50,0.0,5
17,0.006751886030420963,15,5e-05,64,2,0.0,64,50,0.0001,5
8,0.006778538350520484,10,5e-05,32,2,0.3,32,20,0.0001,5
16,0.006809839739098704,10,0.0005,32,1,0.0,32,20,0.0001,5
2,0.0069140820515596856,10,0.001,128,2,0.2,64,35,1e-05,5
5,0.00698131352458305,20,0.001,64,1,0.3,32,35,0.0,5
14,0.006994976327457468,20,0.001,128,1,0.3,64,35,1e-05,5
9,0.007729933630528201,30,0.001,32,1,0.0,32,20,0.0,5
15,0.008359974877755276,30,5e-05,32,1,0.3,64,50,0.0001,5
