config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
17,0.009731715241849884,15,5e-05,64,2,0.0,64,50,0.0001,5
18,0.009872138605362948,25,5e-05,128,2,0.1,64,50,0.0,5
10,0.00987301326858652,10,0.0005,32,2,0.0,64,50,1e-05,5
7,0.009915107364900935,10,5e-05,128,2,0.1,32,35,0.0001,5
8,0.009927300426423586,10,5e-05,32,2,0.3,32,20,0.0001,5
1,0.009933735419224989,15,0.001,32,2,0.1,32,50,0.0,5
9,0.010002912112857741,30,0.001,32,1,0.0,32,20,0.0,5
11,0.010011643653105735,10,0.0005,32,1,0.3,32,20,0.0001,5
2,0.010020907396359397,10,0.001,128,2,0.2,64,35,1e-05,5
16,0.010050133675149906,10,0.0005,32,1,0.0,32,20,0.0001,5
4,0.01005881149243906,20,0.0005,32,2,0.2,64,50,1e-05,5
3,0.01006775271434564,20,0.0001,64,1,0.2,32,50,0.0,5
12,0.010069472314133403,10,5e-05,64,2,0.1,32,35,0.0001,5
13,0.01007038210223795,20,0.001,32,2,0.3,32,20,0.0,5
5,0.010139104111282557,20,0.001,64,1,0.3,32,35,0.0,5
6,0.010159866602283546,15,0.0005,32,2,0.3,32,20,0.0,5
14,0.01029081665382252,20,0.001,128,1,0.3,64,35,1e-05,5
15,0.010613635324805156,30,5e-05,32,1,0.3,64,50,0.0001,5
