crypto,date,split,model_type,y_true,y_pred
LINKUSDT,2024-01-01,val,baseline,-0.094995074,0.014234755
LINKUSDT,2024-01-02,val,baseline,-0.10049304,0.0124462545
LINKUSDT,2024-01-03,val,baseline,0.06326544,0.010338806
LINKUSDT,2024-01-04,val,baseline,0.033575647,0.008837204
LINKUSDT,2024-01-05,val,baseline,0.004248997,0.0099927895
LINKUSDT,2024-01-06,val,baseline,0.06546378,0.011442311
LINKUSDT,2024-01-07,val,baseline,0.11508421,0.01205828
LINKUSDT,2024-01-08,val,baseline,0.07137116,0.012153234
LINKUSDT,2024-01-09,val,baseline,0.10739257,0.013576057
LINKUSDT,2024-01-10,val,baseline,0.044699818,0.014458459
LINKUSDT,2024-01-11,val,baseline,-0.024529532,0.016117953
LINKUSDT,2024-01-12,val,baseline,0.13015136,0.016911782
LINKUSDT,2024-01-13,val,baseline,0.095405236,0.015461899
LINKUSDT,2024-01-14,val,baseline,0.042525727,0.014906645
LINKUSDT,2024-01-15,val,baseline,-0.039423566,0.015195221
LINKUSDT,2024-01-16,val,baseline,-0.06569607,0.014990486
LINKUSDT,2024-01-17,val,baseline,-0.10127298,0.014380712
LINKUSDT,2024-01-18,val,baseline,-0.064383894,0.013793223
LINKUSDT,2024-01-19,val,baseline,-0.12761061,0.012139484
LINKUSDT,2024-01-20,val,baseline,-0.095405236,0.011804622
LINKUSDT,2024-01-21,val,baseline,-0.06133935,0.011336975
LINKUSDT,2024-01-22,val,baseline,0.027432298,0.011696242
LINKUSDT,2024-01-23,val,baseline,0.07896628,0.010484584
LINKUSDT,2024-01-24,val,baseline,0.079983294,0.010252744
LINKUSDT,2024-01-25,val,baseline,0.22372545,0.011156056
LINKUSDT,2024-01-26,val,baseline,0.2284442,0.011560157
LINKUSDT,2024-01-27,val,baseline,0.20778748,0.012779806
LINKUSDT,2024-01-28,val,baseline,0.22606745,0.014522269
LINKUSDT,2024-01-29,val,baseline,0.24471669,0.016164098
LINKUSDT,2024-01-30,val,baseline,0.1669646,0.017790057
LINKUSDT,2024-01-31,val,baseline,0.19851185,0.01898225
LINKUSDT,2024-02-01,val,baseline,0.0577529,0.018066354
LINKUSDT,2024-02-02,val,baseline,0.03537754,0.016954586
LINKUSDT,2024-02-03,val,baseline,0.07766135,0.015040483
LINKUSDT,2024-02-04,val,baseline,0.10416992,0.012489557
LINKUSDT,2024-02-05,val,baseline,0.06568259,0.0093401745
LINKUSDT,2024-02-06,val,baseline,0.083020635,0.007706739
LINKUSDT,2024-02-07,val,baseline,0.07290013,0.0059213564
LINKUSDT,2024-02-08,val,baseline,0.09024576,0.0055604875
LINKUSDT,2024-02-09,val,baseline,0.05687864,0.0055684224
LINKUSDT,2024-02-10,val,baseline,0.04848071,0.006060891
LINKUSDT,2024-02-11,val,baseline,-0.0013411153,0.006628126
LINKUSDT,2024-02-12,val,baseline,-0.031419314,0.0069292113
LINKUSDT,2024-02-13,val,baseline,-0.030090902,0.0073281154
LINKUSDT,2024-02-14,val,baseline,-0.084821895,0.0068288557
LINKUSDT,2024-02-15,val,baseline,-0.095254995,0.007520631
LINKUSDT,2024-02-16,val,baseline,-0.08627232,0.008756537
LINKUSDT,2024-02-17,val,baseline,-0.07777807,0.009597532
LINKUSDT,2024-02-18,val,baseline,-0.07196534,0.010894924
LINKUSDT,2024-02-19,val,baseline,-0.03849891,0.012539811
LINKUSDT,2024-02-20,val,baseline,-0.013471382,0.01290343
LINKUSDT,2024-02-21,val,baseline,0.043979317,0.013206005
LINKUSDT,2024-02-22,val,baseline,0.06168555,0.013167251
LINKUSDT,2024-02-23,val,baseline,0.11152492,0.013053387
LINKUSDT,2024-02-24,val,baseline,0.14374453,0.013459634
LINKUSDT,2024-02-25,val,baseline,0.09106699,0.015401207
LINKUSDT,2024-02-26,val,baseline,0.06752102,0.017243098
LINKUSDT,2024-02-27,val,baseline,-0.0026318575,0.018364351
LINKUSDT,2024-02-28,val,baseline,0.033155005,0.019091472
LINKUSDT,2024-02-29,val,baseline,0.041514914,0.018624991
LINKUSDT,2024-03-01,val,baseline,-0.017711155,0.016684942
LINKUSDT,2024-03-02,val,baseline,-0.068966165,0.015449006
LINKUSDT,2024-03-03,val,baseline,0.055623885,0.014353968
LINKUSDT,2024-03-04,val,baseline,0.04130777,0.012167841
LINKUSDT,2024-03-05,val,baseline,0.08731,0.010985684
LINKUSDT,2024-03-06,val,baseline,0.03262117,0.007583067
LINKUSDT,2024-03-07,val,baseline,0.03851981,0.006465018
LINKUSDT,2024-03-08,val,baseline,-0.0035088647,0.0063476935
LINKUSDT,2024-03-09,val,baseline,-0.09759097,0.0068132803
LINKUSDT,2024-03-10,val,baseline,-0.14968649,0.007653132
LINKUSDT,2024-03-11,val,baseline,-0.15067098,0.008819617
LINKUSDT,2024-03-12,val,baseline,-0.20865045,0.007946879
LINKUSDT,2024-03-13,val,baseline,-0.11959181,0.0070192292
LINKUSDT,2024-03-14,val,baseline,-0.123293884,0.006783575
LINKUSDT,2024-03-15,val,baseline,-0.066503435,0.0077437684
LINKUSDT,2024-03-16,val,baseline,-0.0028746773,0.009969417
LINKUSDT,2024-03-17,val,baseline,-0.0079604555,0.009111591
LINKUSDT,2024-03-18,val,baseline,0.057027873,0.010548189
LINKUSDT,2024-03-19,val,baseline,0.17440575,0.0132467
LINKUSDT,2024-03-20,val,baseline,0.04653236,0.01133221
LINKUSDT,2024-03-21,val,baseline,0.03670039,0.011774916
LINKUSDT,2024-03-22,val,baseline,0.03214505,0.012496021
LINKUSDT,2024-03-23,val,baseline,0.047040783,0.013298467
LINKUSDT,2024-03-24,val,baseline,0.03465549,0.01370275
LINKUSDT,2024-03-25,val,baseline,-0.053918127,0.014005329
LINKUSDT,2024-03-26,val,baseline,-0.10838068,0.014756352
LINKUSDT,2024-03-27,val,baseline,-0.08670508,0.015435394
LINKUSDT,2024-03-28,val,baseline,-0.07350556,0.014971726
LINKUSDT,2024-03-29,val,baseline,-0.09055008,0.013433378
LINKUSDT,2024-03-30,val,baseline,-0.075339794,0.01145127
LINKUSDT,2024-03-31,val,baseline,-0.06787202,0.010423638
LINKUSDT,2024-04-01,val,baseline,-0.0140982615,0.010214813
LINKUSDT,2024-04-02,val,baseline,-0.03341762,0.00914754
LINKUSDT,2024-04-03,val,baseline,-0.015383165,0.009228677
LINKUSDT,2024-04-04,val,baseline,-0.013353902,0.010120563
LINKUSDT,2024-04-05,val,baseline,-0.13375404,0.011520576
LINKUSDT,2024-04-06,val,baseline,-0.27870527,0.0124908015
LINKUSDT,2024-04-07,val,baseline,-0.23949376,0.013928607
LINKUSDT,2024-04-08,val,baseline,-0.28736907,0.015933722
LINKUSDT,2024-04-09,val,baseline,-0.25456157,0.017613266
LINKUSDT,2024-04-10,val,baseline,-0.2823186,0.017009191
LINKUSDT,2024-04-11,val,baseline,-0.23438565,0.016042117
LINKUSDT,2024-04-12,val,baseline,-0.08320376,0.018257186
LINKUSDT,2024-04-13,val,baseline,0.11845175,0.020513572
LINKUSDT,2024-04-14,val,baseline,0.06899287,0.014675543
LINKUSDT,2024-04-15,val,baseline,0.1286872,0.011889234
