config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
8,0.009495543963592966,10,5e-05,32,2,0.3,32,20,0.0001,5
3,0.009646771125174978,20,0.0001,64,1,0.2,32,50,0.0,5
6,0.009811313610897803,15,0.0005,32,2,0.3,32,20,0.0,5
13,0.009861136694842662,20,0.001,32,2,0.3,32,20,0.0,5
12,0.009893690053431436,10,5e-05,64,2,0.1,32,35,0.0001,5
7,0.009915007781815963,10,5e-05,128,2,0.1,32,35,0.0001,5
15,0.009981567722721874,30,5e-05,32,1,0.3,64,50,0.0001,5
10,0.01005871092517868,10,0.0005,32,2,0.0,64,50,1e-05,5
17,0.010065152405526405,15,5e-05,64,2,0.0,64,50,0.0001,5
18,0.010067442686295886,25,5e-05,128,2,0.1,64,50,0.0,5
1,0.01009109136598405,15,0.001,32,2,0.1,32,50,0.0,5
4,0.010136278913653452,20,0.0005,32,2,0.2,64,50,1e-05,5
2,0.01016508924175085,10,0.001,128,2,0.2,64,35,1e-05,5
9,0.01017452118942779,30,0.001,32,1,0.0,32,20,0.0,5
11,0.010335067112951261,10,0.0005,32,1,0.3,32,20,0.0001,5
16,0.01040321127695155,10,0.0005,32,1,0.0,32,20,0.0001,5
5,0.010436343578254556,20,0.001,64,1,0.3,32,35,0.0,5
14,0.010473310685379425,20,0.001,128,1,0.3,64,35,1e-05,5
