config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
6,0.007880039735649364,15,0.0005,32,2,0.3,32,20,0.0,5
2,0.00790217630743197,10,0.001,128,2,0.2,64,35,1e-05,5
8,0.007921527231083194,10,5e-05,32,2,0.3,32,20,0.0001,5
13,0.00792635526266639,20,0.001,32,2,0.3,32,20,0.0,5
17,0.007956979530635363,15,5e-05,64,2,0.0,64,50,0.0001,5
7,0.007958809972274493,10,5e-05,128,2,0.1,32,35,0.0001,5
18,0.007959184421253087,25,5e-05,128,2,0.1,64,50,0.0,5
5,0.007984611668636224,20,0.001,64,1,0.3,32,35,0.0,5
4,0.00799518828658585,20,0.0005,32,2,0.2,64,50,1e-05,5
1,0.007995893495555705,15,0.001,32,2,0.1,32,50,0.0,5
12,0.00802366793174586,10,5e-05,64,2,0.1,32,35,0.0001,5
14,0.008098138262892726,20,0.001,128,1,0.3,64,35,1e-05,5
16,0.00810779879657438,10,0.0005,32,1,0.0,32,20,0.0001,5
3,0.008127355481316574,20,0.0001,64,1,0.2,32,50,0.0,5
11,0.008144317590103015,10,0.0005,32,1,0.3,32,20,0.0001,5
9,0.008194587893034093,30,0.001,32,1,0.0,32,20,0.0,5
10,0.008194976262058373,10,0.0005,32,2,0.0,64,50,1e-05,5
15,0.008970499931352842,30,5e-05,32,1,0.3,64,50,0.0001,5
