crypto,date,split,model_type,y_true,y_pred
LTCUSDT,2024-01-01,val,baseline,-0.09821858,0.021566715
LTCUSDT,2024-01-02,val,baseline,-0.085505046,0.023996597
LTCUSDT,2024-01-03,val,baseline,0.07185002,0.041688193
LTCUSDT,2024-01-04,val,baseline,0.079150416,0.03855912
LTCUSDT,2024-01-05,val,baseline,0.10039365,0.035627864
LTCUSDT,2024-01-06,val,baseline,0.092203036,0.031540144
LTCUSDT,2024-01-07,val,baseline,0.08225448,0.030295867
LTCUSDT,2024-01-08,val,baseline,0.020459577,0.01999888
LTCUSDT,2024-01-09,val,baseline,0.035919715,0.01986133
LTCUSDT,2024-01-10,val,baseline,-0.009171747,0.013904173
LTCUSDT,2024-01-11,val,baseline,-0.053874016,0.012350649
LTCUSDT,2024-01-12,val,baseline,-0.023292333,0.015423301
LTCUSDT,2024-01-13,val,baseline,-0.008650814,0.021429822
LTCUSDT,2024-01-14,val,baseline,0.027840419,0.027764149
LTCUSDT,2024-01-15,val,baseline,-0.02593742,0.027144276
LTCUSDT,2024-01-16,val,baseline,-0.058412928,0.021886472
LTCUSDT,2024-01-17,val,baseline,-0.049128547,0.016379831
LTCUSDT,2024-01-18,val,baseline,-0.039073903,0.017043816
LTCUSDT,2024-01-19,val,baseline,-0.061317455,0.008129558
LTCUSDT,2024-01-20,val,baseline,-0.047347818,0.0062835505
LTCUSDT,2024-01-21,val,baseline,-0.048546292,0.0041330606
LTCUSDT,2024-01-22,val,baseline,0.015759954,0.015515256
LTCUSDT,2024-01-23,val,baseline,0.029632911,0.021627476
LTCUSDT,2024-01-24,val,baseline,0.009481597,0.01735372
LTCUSDT,2024-01-25,val,baseline,0.030669872,0.013281813
LTCUSDT,2024-01-26,val,baseline,0.014804119,0.004604931
LTCUSDT,2024-01-27,val,baseline,0.010959414,-0.0035229363
LTCUSDT,2024-01-28,val,baseline,-0.020844867,-0.0074202716
LTCUSDT,2024-01-29,val,baseline,-0.010725145,-0.008123439
LTCUSDT,2024-01-30,val,baseline,0.0120802885,-0.0061661853
LTCUSDT,2024-01-31,val,baseline,0.02747994,-0.0018524267
LTCUSDT,2024-02-01,val,baseline,0.043318138,-0.0038322695
LTCUSDT,2024-02-02,val,baseline,0.03735383,-0.004268639
LTCUSDT,2024-02-03,val,baseline,0.028509917,-0.0037351595
LTCUSDT,2024-02-04,val,baseline,0.06659981,0.00224446
LTCUSDT,2024-02-05,val,baseline,0.07290446,0.0037629218
LTCUSDT,2024-02-06,val,baseline,0.009908284,0.005359303
LTCUSDT,2024-02-07,val,baseline,0.017193228,0.007883459
LTCUSDT,2024-02-08,val,baseline,-0.010977372,0.00765494
LTCUSDT,2024-02-09,val,baseline,-0.0007080649,0.009550959
LTCUSDT,2024-02-10,val,baseline,-0.011792422,0.011643275
LTCUSDT,2024-02-11,val,baseline,-0.010537505,0.0131814275
LTCUSDT,2024-02-12,val,baseline,-0.021094315,0.013385174
LTCUSDT,2024-02-13,val,baseline,0.009811073,0.024816606
LTCUSDT,2024-02-14,val,baseline,-0.013121088,0.028525718
LTCUSDT,2024-02-15,val,baseline,-0.013857035,0.03255445
LTCUSDT,2024-02-16,val,baseline,-0.025684746,0.033661306
LTCUSDT,2024-02-17,val,baseline,0.0062687197,0.036419507
LTCUSDT,2024-02-18,val,baseline,-0.009080653,0.036205992
LTCUSDT,2024-02-19,val,baseline,0.008797096,0.035791725
LTCUSDT,2024-02-20,val,baseline,0.060176905,0.03981751
LTCUSDT,2024-02-21,val,baseline,0.07787445,0.042875204
LTCUSDT,2024-02-22,val,baseline,0.14982238,0.04487122
LTCUSDT,2024-02-23,val,baseline,0.20991693,0.04590584
LTCUSDT,2024-02-24,val,baseline,0.2941587,0.04464614
LTCUSDT,2024-02-25,val,baseline,0.25677902,0.046909094
LTCUSDT,2024-02-26,val,baseline,0.21238099,0.04593878
LTCUSDT,2024-02-27,val,baseline,0.10220562,0.039114453
LTCUSDT,2024-02-28,val,baseline,0.1423039,0.033550978
LTCUSDT,2024-02-29,val,baseline,0.09631068,0.016265659
LTCUSDT,2024-03-01,val,baseline,0.03984591,0.0068327524
LTCUSDT,2024-03-02,val,baseline,-0.041267466,-0.0109596215
LTCUSDT,2024-03-03,val,baseline,-0.036718883,0.000572979
LTCUSDT,2024-03-04,val,baseline,0.15496942,0.012914285
LTCUSDT,2024-03-05,val,baseline,0.17419226,0.03325574
LTCUSDT,2024-03-06,val,baseline,0.12434763,0.033058017
LTCUSDT,2024-03-07,val,baseline,0.06680867,0.031007105
LTCUSDT,2024-03-08,val,baseline,0.016061446,0.031678393
LTCUSDT,2024-03-09,val,baseline,-0.07498219,0.026726088
LTCUSDT,2024-03-10,val,baseline,-0.017305462,0.0312606
LTCUSDT,2024-03-11,val,baseline,-0.1797829,-0.0011775219
LTCUSDT,2024-03-12,val,baseline,-0.21759601,0.009597905
LTCUSDT,2024-03-13,val,baseline,-0.13865703,0.01682616
LTCUSDT,2024-03-14,val,baseline,-0.0927094,0.029939037
LTCUSDT,2024-03-15,val,baseline,-0.07337972,0.047045562
LTCUSDT,2024-03-16,val,baseline,0.013461061,0.064180836
LTCUSDT,2024-03-17,val,baseline,0.042380188,0.05501149
LTCUSDT,2024-03-18,val,baseline,0.042972498,0.043404642
LTCUSDT,2024-03-19,val,baseline,0.199488,0.06551686
LTCUSDT,2024-03-20,val,baseline,0.099970944,0.051321037
LTCUSDT,2024-03-21,val,baseline,0.093028225,0.041707627
LTCUSDT,2024-03-22,val,baseline,0.26824987,0.039072234
LTCUSDT,2024-03-23,val,baseline,0.18746898,0.027790159
LTCUSDT,2024-03-24,val,baseline,0.15814239,0.01327234
LTCUSDT,2024-03-25,val,baseline,0.09090458,0.009500278
LTCUSDT,2024-03-26,val,baseline,0.10854017,0.008811053
LTCUSDT,2024-03-27,val,baseline,0.049833115,0.025294583
LTCUSDT,2024-03-28,val,baseline,0.04437322,0.0326609
LTCUSDT,2024-03-29,val,baseline,-0.10876913,0.016314905
