config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
8,0.007992912532278785,10,5e-05,32,2,0.3,32,20,0.0001,5
18,0.008001952912222278,25,5e-05,128,2,0.1,64,50,0.0,5
7,0.008028037189600573,10,5e-05,128,2,0.1,32,35,0.0001,5
16,0.008102862099563901,10,0.0005,32,1,0.0,32,20,0.0001,5
12,0.008104253181155098,10,5e-05,64,2,0.1,32,35,0.0001,5
17,0.008202672733790647,15,5e-05,64,2,0.0,64,50,0.0001,5
3,0.008238157988197683,20,0.0001,64,1,0.2,32,50,0.0,5
1,0.008248920413624303,15,0.001,32,2,0.1,32,50,0.0,5
10,0.008261297883414702,10,0.0005,32,2,0.0,64,50,1e-05,5
11,0.008274613296014468,10,0.0005,32,1,0.3,32,20,0.0001,5
9,0.00830373660913861,30,0.001,32,1,0.0,32,20,0.0,5
6,0.008310185827419447,15,0.0005,32,2,0.3,32,20,0.0,5
4,0.008349489793125785,20,0.0005,32,2,0.2,64,50,1e-05,5
15,0.008407963075137642,30,5e-05,32,1,0.3,64,50,0.0001,5
13,0.008522147246555223,20,0.001,32,2,0.3,32,20,0.0,5
2,0.008599110500688978,10,0.001,128,2,0.2,64,35,1e-05,5
14,0.008670156105869898,20,0.001,128,1,0.3,64,35,1e-05,5
5,0.008777833786284552,20,0.001,64,1,0.3,32,35,0.0,5
