config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
12,0.009814051558233556,10,5e-05,64,2,0.1,32,35,0.0001,5
3,0.009824120039854693,20,0.0001,64,1,0.2,32,50,0.0,5
7,0.009894651075682671,10,5e-05,128,2,0.1,32,35,0.0001,5
17,0.009935048239955427,15,5e-05,64,2,0.0,64,50,0.0001,5
18,0.009989052680193079,25,5e-05,128,2,0.1,64,50,0.0,5
8,0.009989504237006125,10,5e-05,32,2,0.3,32,20,0.0001,5
10,0.010030061083878062,10,0.0005,32,2,0.0,64,50,1e-05,5
4,0.010042474515571423,20,0.0005,32,2,0.2,64,50,1e-05,5
13,0.01005878137411236,20,0.001,32,2,0.3,32,20,0.0,5
15,0.010170241263711752,30,5e-05,32,1,0.3,64,50,0.0001,5
1,0.010188799321967463,15,0.001,32,2,0.1,32,50,0.0,5
6,0.010241853193688154,15,0.0005,32,2,0.3,32,20,0.0,5
11,0.010256925387210085,10,0.0005,32,1,0.3,32,20,0.0001,5
2,0.010378854254954979,10,0.001,128,2,0.2,64,35,1e-05,5
14,0.010605450245588482,20,0.001,128,1,0.3,64,35,1e-05,5
5,0.010683889525832347,20,0.001,64,1,0.3,32,35,0.0,5
16,0.010697689120465247,10,0.0005,32,1,0.0,32,20,0.0001,5
9,0.010734877179142004,30,0.001,32,1,0.0,32,20,0.0,5
