crypto,date,split,model_type,y_true,y_pred
XRPUSDT,2024-01-01,val,baseline,-0.0858854,0.01557938
XRPUSDT,2024-01-02,val,baseline,-0.09692852,0.017746642
XRPUSDT,2024-01-03,val,baseline,0.031276323,0.021422267
XRPUSDT,2024-01-04,val,baseline,0.025407271,0.019486107
XRPUSDT,2024-01-05,val,baseline,-0.010125785,0.016868323
XRPUSDT,2024-01-06,val,baseline,0.011902818,0.011768512
XRPUSDT,2024-01-07,val,baseline,0.043986518,0.007515833
XRPUSDT,2024-01-08,val,baseline,-0.0032948959,0.0061404333
XRPUSDT,2024-01-09,val,baseline,0.01540377,0.0072404817
XRPUSDT,2024-01-10,val,baseline,-0.05526079,0.010335624
XRPUSDT,2024-01-11,val,baseline,-0.08654327,0.015390769
XRPUSDT,2024-01-12,val,baseline,-0.04596034,0.018838078
XRPUSDT,2024-01-13,val,baseline,-0.037767097,0.017871939
XRPUSDT,2024-01-14,val,baseline,-0.05327705,0.016510263
XRPUSDT,2024-01-15,val,baseline,-0.08743782,0.015729532
XRPUSDT,2024-01-16,val,baseline,-0.10503247,0.015365168
XRPUSDT,2024-01-17,val,baseline,-0.09283304,0.013532661
XRPUSDT,2024-01-18,val,baseline,-0.07171396,0.009812571
XRPUSDT,2024-01-19,val,baseline,-0.022293326,0.0068880096
XRPUSDT,2024-01-20,val,baseline,-0.042638183,0.00214722
XRPUSDT,2024-01-21,val,baseline,-0.041668802,-0.0025351197
XRPUSDT,2024-01-22,val,baseline,0.014491644,-0.003878802
XRPUSDT,2024-01-23,val,baseline,-0.014771892,-0.002792716
XRPUSDT,2024-01-24,val,baseline,-0.02898186,-0.0022358522
XRPUSDT,2024-01-25,val,baseline,-0.01569275,-0.0019549802
XRPUSDT,2024-01-26,val,baseline,-0.041816603,-0.0011846796
XRPUSDT,2024-01-27,val,baseline,-0.022310011,-0.0011398271
XRPUSDT,2024-01-28,val,baseline,-0.0406948,-0.0009069964
XRPUSDT,2024-01-29,val,baseline,-0.05432676,0.00087881833
XRPUSDT,2024-01-30,val,baseline,-0.011223905,0.005183257
XRPUSDT,2024-01-31,val,baseline,0.020647671,0.008538015
XRPUSDT,2024-02-01,val,baseline,0.017442873,0.009329617
XRPUSDT,2024-02-02,val,baseline,0.03029073,0.009999447
XRPUSDT,2024-02-03,val,baseline,0.010167954,0.011415593
XRPUSDT,2024-02-04,val,baseline,0.044503603,0.010895625
XRPUSDT,2024-02-05,val,baseline,0.04738945,0.010126345
XRPUSDT,2024-02-06,val,baseline,0.038268242,0.0102376565
XRPUSDT,2024-02-07,val,baseline,0.045652658,0.011818998
XRPUSDT,2024-02-08,val,baseline,0.08827345,0.014076494
XRPUSDT,2024-02-09,val,baseline,0.069904655,0.019423865
XRPUSDT,2024-02-10,val,baseline,0.047889914,0.02394072
XRPUSDT,2024-02-11,val,baseline,0.057253446,0.029570848
XRPUSDT,2024-02-12,val,baseline,0.0568657,0.036786243
XRPUSDT,2024-02-13,val,baseline,0.069030985,0.0428765
XRPUSDT,2024-02-14,val,baseline,0.020793831,0.050044127
XRPUSDT,2024-02-15,val,baseline,-0.03843838,0.061370686
XRPUSDT,2024-02-16,val,baseline,-0.054815724,0.07136869
XRPUSDT,2024-02-17,val,baseline,-0.008404946,0.073591925
XRPUSDT,2024-02-18,val,baseline,-0.026556673,0.07187096
XRPUSDT,2024-02-19,val,baseline,-0.021560304,0.06949564
XRPUSDT,2024-02-20,val,baseline,0.041632764,0.069497064
XRPUSDT,2024-02-21,val,baseline,0.046089467,0.067192554
XRPUSDT,2024-02-22,val,baseline,0.08109434,0.06251804
XRPUSDT,2024-02-23,val,baseline,0.11832368,0.057183474
XRPUSDT,2024-02-24,val,baseline,0.16722344,0.049778283
XRPUSDT,2024-02-25,val,baseline,0.14491794,0.04170207
XRPUSDT,2024-02-26,val,baseline,0.16241904,0.0375225
XRPUSDT,2024-02-27,val,baseline,0.008663946,0.044608075
XRPUSDT,2024-02-28,val,baseline,0.06252563,0.056306064
XRPUSDT,2024-02-29,val,baseline,0.06643292,0.07573599
XRPUSDT,2024-03-01,val,baseline,0.0306255,0.08740442
XRPUSDT,2024-03-02,val,baseline,-0.038773745,0.09951429
XRPUSDT,2024-03-03,val,baseline,-0.030931136,0.10351441
XRPUSDT,2024-03-04,val,baseline,0.1099816,0.10947177
XRPUSDT,2024-03-05,val,baseline,0.15163447,0.116235085
XRPUSDT,2024-03-06,val,baseline,0.11849073,0.11700057
XRPUSDT,2024-03-07,val,baseline,0.06483752,0.113420784
XRPUSDT,2024-03-08,val,baseline,0.022644885,0.10410461
XRPUSDT,2024-03-09,val,baseline,-0.02715247,0.09194816
XRPUSDT,2024-03-10,val,baseline,0.018091928,0.077859975
XRPUSDT,2024-03-11,val,baseline,-0.1136939,0.086046
XRPUSDT,2024-03-12,val,baseline,-0.16303205,0.09130688
XRPUSDT,2024-03-13,val,baseline,-0.12078056,0.09079257
XRPUSDT,2024-03-14,val,baseline,-0.04369108,0.08659065
XRPUSDT,2024-03-15,val,baseline,-0.036449406,0.081759825
XRPUSDT,2024-03-16,val,baseline,0.022299662,0.073999554
XRPUSDT,2024-03-17,val,baseline,0.02141341,0.061688133
XRPUSDT,2024-03-18,val,baseline,-0.007310088,0.053150956
XRPUSDT,2024-03-19,val,baseline,0.07765782,0.048124414
XRPUSDT,2024-03-20,val,baseline,0.0017995915,0.041719228
XRPUSDT,2024-03-21,val,baseline,-0.025301792,0.030982237
XRPUSDT,2024-03-22,val,baseline,0.02996358,0.023992531
XRPUSDT,2024-03-23,val,baseline,0.0072704093,0.0154341385
XRPUSDT,2024-03-24,val,baseline,-0.0052310494,0.0053757355
XRPUSDT,2024-03-25,val,baseline,-0.047308277,0.0014813319
XRPUSDT,2024-03-26,val,baseline,-0.07611922,0.00058436394
XRPUSDT,2024-03-27,val,baseline,-0.063427664,0.0008481592
XRPUSDT,2024-03-28,val,baseline,-0.050753973,-0.0012093559
XRPUSDT,2024-03-29,val,baseline,-0.070683375,-0.0021710023
XRPUSDT,2024-03-30,val,baseline,-0.04645869,-0.0046021566
XRPUSDT,2024-03-31,val,baseline,-0.05689668,-0.008825786
XRPUSDT,2024-04-01,val,baseline,0.0060373847,-0.008595198
XRPUSDT,2024-04-02,val,baseline,0.047862407,-0.007713802
XRPUSDT,2024-04-03,val,baseline,0.072215356,-0.008969076
XRPUSDT,2024-04-04,val,baseline,0.025124023,-0.009982593
XRPUSDT,2024-04-05,val,baseline,-0.07111206,-0.0113049075
XRPUSDT,2024-04-06,val,baseline,-0.21391143,-0.015151426
XRPUSDT,2024-04-07,val,baseline,-0.16636609,-0.018697985
XRPUSDT,2024-04-08,val,baseline,-0.21113686,-0.019235462
XRPUSDT,2024-04-09,val,baseline,-0.2125743,-0.014286295
XRPUSDT,2024-04-10,val,baseline,-0.22043335,-0.006611459
XRPUSDT,2024-04-11,val,baseline,-0.1915656,4.865229e-05
XRPUSDT,2024-04-12,val,baseline,-0.083492935,0.008163758
XRPUSDT,2024-04-13,val,baseline,0.09932732,0.016826019
XRPUSDT,2024-04-14,val,baseline,0.041449655,0.01891005
XRPUSDT,2024-04-15,val,baseline,0.11077081,0.019857906
XRPUSDT,2024-04-16,val,baseline,0.092284456,0.018897288
XRPUSDT,2024-04-17,val,baseline,0.0633891,0.01680655
XRPUSDT,2024-04-18,val,baseline,0.044564236,0.0137703195
XRPUSDT,2024-04-19,val,baseline,0.04490114,0.013431482
XRPUSDT,2024-04-20,val,baseline,-0.020828115,0.012001194
XRPUSDT,2024-04-21,val,baseline,-0.027637279,0.009865537
XRPUSDT,2024-04-22,val,baseline,-0.07640724,0.009515606
XRPUSDT,2024-04-23,val,baseline,-0.084060565,0.010338716
XRPUSDT,2024-04-24,val,baseline,-0.01913934,0.012371711
XRPUSDT,2024-04-25,val,baseline,-0.014184635,0.014185801
XRPUSDT,2024-04-26,val,baseline,0.010588111,0.015216
XRPUSDT,2024-04-27,val,baseline,0.023472121,0.0131541565
XRPUSDT,2024-04-28,val,baseline,0.03712322,0.0099576935
XRPUSDT,2024-04-29,val,baseline,0.047578383,0.007240884
XRPUSDT,2024-04-30,val,baseline,0.04663805,0.0059401914
XRPUSDT,2024-05-01,val,baseline,-0.00077324576,0.005548924
XRPUSDT,2024-05-02,val,baseline,0.0055828425,0.0045407712
XRPUSDT,2024-05-03,val,baseline,-0.057080973,0.0051144436
XRPUSDT,2024-05-04,val,baseline,-0.046915274,0.005551301
XRPUSDT,2024-05-05,val,baseline,-0.05891489,0.0049490035
XRPUSDT,2024-05-06,val,baseline,-0.06678713,0.010302044
XRPUSDT,2024-05-07,val,baseline,-0.04743741,0.014675856
XRPUSDT,2024-05-08,val,baseline,0.003282173,0.016824491
XRPUSDT,2024-05-09,val,baseline,-0.010032884,0.016001105
XRPUSDT,2024-05-10,val,baseline,0.041347545,0.013615079
XRPUSDT,2024-05-11,val,baseline,0.02998667,0.0074844807
XRPUSDT,2024-05-12,val,baseline,0.020418987,0.0014781654
XRPUSDT,2024-05-13,val,baseline,0.06214847,-0.0004985556
XRPUSDT,2024-05-14,val,baseline,0.07099008,0.00067938864
XRPUSDT,2024-05-15,val,baseline,0.015302517,0.003746979
XRPUSDT,2024-05-16,val,baseline,0.025274176,0.006742306
XRPUSDT,2024-05-17,val,baseline,0.02378817,0.011620767
XRPUSDT,2024-05-18,val,baseline,0.03820203,0.014638506
XRPUSDT,2024-05-19,val,baseline,0.0360382,0.015487067
XRPUSDT,2024-05-20,val,baseline,-0.006904945,0.021019109
XRPUSDT,2024-05-21,val,baseline,-0.015576932,0.031439126
XRPUSDT,2024-05-22,val,baseline,-0.0057110377,0.03895308
XRPUSDT,2024-05-23,val,baseline,-0.019666504,0.046338804
XRPUSDT,2024-05-24,val,baseline,-0.034931418,0.05077165
XRPUSDT,2024-05-25,val,baseline,-0.04320204,0.05187571
XRPUSDT,2024-05-26,val,baseline,-0.028414275,0.049335934
XRPUSDT,2024-05-27,val,baseline,-0.026759354,0.047180932
XRPUSDT,2024-05-28,val,baseline,-0.0056904554,0.044904593
XRPUSDT,2024-05-29,val,baseline,0.0038109801,0.04232812
XRPUSDT,2024-05-30,val,baseline,0.0055764015,0.037124716
XRPUSDT,2024-05-31,val,baseline,-0.036396265,0.031210944
XRPUSDT,2024-06-01,val,baseline,-0.051628195,0.024769314
XRPUSDT,2024-06-02,val,baseline,-0.029445859,0.017038427
XRPUSDT,2024-06-03,val,baseline,-0.045247685,0.0126264915
XRPUSDT,2024-06-04,val,baseline,-0.090528026,0.011693127
XRPUSDT,2024-06-05,val,baseline,-0.067255534,0.013547368
XRPUSDT,2024-06-06,val,baseline,-0.08940245,0.0155119
XRPUSDT,2024-06-07,val,baseline,-0.050334133,0.0159702
XRPUSDT,2024-06-08,val,baseline,-0.003660773,0.013035715
XRPUSDT,2024-06-09,val,baseline,-0.019237204,0.008821122
XRPUSDT,2024-06-10,val,baseline,0.015575395,0.0068733543
XRPUSDT,2024-06-11,val,baseline,0.022241443,0.0075398237
XRPUSDT,2024-06-12,val,baseline,0.0034521306,0.00882069
XRPUSDT,2024-06-13,val,baseline,0.024646582,0.009331562
XRPUSDT,2024-06-14,val,baseline,0.029685626,0.010422796
XRPUSDT,2024-06-15,val,baseline,-0.008594283,0.010700457
XRPUSDT,2024-06-16,val,baseline,-0.01940606,0.011060163
XRPUSDT,2024-06-17,val,baseline,-0.06275687,0.017025612
XRPUSDT,2024-06-18,val,baseline,-0.031656723,0.024147771
XRPUSDT,2024-06-19,val,baseline,-0.048810437,0.029060237
XRPUSDT,2024-06-20,val,baseline,-0.028007224,0.032927718
XRPUSDT,2024-06-21,val,baseline,-0.036026802,0.034780987
XRPUSDT,2024-06-22,val,baseline,-0.028981492,0.0326704
XRPUSDT,2024-06-23,val,baseline,-0.0075329924,0.028373543
XRPUSDT,2024-06-24,val,baseline,0.0063091693,0.0247304
XRPUSDT,2024-06-25,val,baseline,0.019979853,0.021312699
XRPUSDT,2024-06-26,val,baseline,-0.005549641,0.018420659
XRPUSDT,2024-06-27,val,baseline,-0.09343943,0.015198372
XRPUSDT,2024-06-28,val,baseline,-0.103806734,0.013726912
XRPUSDT,2024-06-29,val,baseline,-0.051883582,0.011976056
XRPUSDT,2024-06-30,val,baseline,-0.12656438,0.010235302
XRPUSDT,2024-07-01,val,baseline,-0.10001726,0.0110967085
XRPUSDT,2024-07-02,val,baseline,-0.108042866,0.014638975
XRPUSDT,2024-07-03,val,baseline,-0.062713705,0.017030485
XRPUSDT,2024-07-04,val,baseline,0.036738824,0.014694311
XRPUSDT,2024-07-05,val,baseline,0.10993718,0.014214568
XRPUSDT,2024-07-06,val,baseline,0.15815336,0.0109711215
XRPUSDT,2024-07-07,val,baseline,0.21572636,0.007234089
XRPUSDT,2024-07-08,val,baseline,0.21887124,0.007033676
XRPUSDT,2024-07-09,val,baseline,0.28509608,0.007617645
XRPUSDT,2024-07-10,val,baseline,0.35530666,0.008649565
XRPUSDT,2024-07-11,val,baseline,0.23786433,0.010874815
XRPUSDT,2024-07-12,val,baseline,0.18914752,0.015832983
XRPUSDT,2024-07-13,val,baseline,0.12164343,0.027088732
XRPUSDT,2024-07-14,val,baseline,0.13946953,0.03550793
XRPUSDT,2024-07-15,val,baseline,0.12380442,0.042465214
XRPUSDT,2024-07-16,val,baseline,0.030933805,0.052926313
XRPUSDT,2024-07-17,val,baseline,-0.013023739,0.06248098
XRPUSDT,2024-07-18,val,baseline,0.05115286,0.06418597
XRPUSDT,2024-07-19,val,baseline,0.051171187,0.06314262
XRPUSDT,2024-07-20,val,baseline,0.0031951596,0.0579229
XRPUSDT,2024-07-21,val,baseline,0.004668231,0.049983963
XRPUSDT,2024-07-22,val,baseline,-0.010083564,0.04252497
XRPUSDT,2024-07-23,val,baseline,0.04930806,0.0348286
