config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
17,0.009769176364416788,15,5e-05,64,2,0.0,64,50,0.0001,5
18,0.009802211702188195,25,5e-05,128,2,0.1,64,50,0.0,5
12,0.009825690542909639,10,5e-05,64,2,0.1,32,35,0.0001,5
11,0.009829505160061494,10,0.0005,32,1,0.3,32,20,0.0001,5
4,0.00990002069554404,20,0.0005,32,2,0.2,64,50,1e-05,5
7,0.009991966271405793,10,5e-05,128,2,0.1,32,35,0.0001,5
10,0.010086740391315577,10,0.0005,32,2,0.0,64,50,1e-05,5
6,0.010156738545952572,15,0.0005,32,2,0.3,32,20,0.0,5
8,0.01022023788242731,10,5e-05,32,2,0.3,32,20,0.0001,5
3,0.010296869077502773,20,0.0001,64,1,0.2,32,50,0.0,5
2,0.010325597003580761,10,0.001,128,2,0.2,64,35,1e-05,5
1,0.01038807137561083,15,0.001,32,2,0.1,32,50,0.0,5
13,0.010471951699923621,20,0.001,32,2,0.3,32,20,0.0,5
16,0.010690117753895273,10,0.0005,32,1,0.0,32,20,0.0001,5
14,0.010931418593605732,20,0.001,128,1,0.3,64,35,1e-05,5
5,0.0110400555162438,20,0.001,64,1,0.3,32,35,0.0,5
9,0.011340348260018757,30,0.001,32,1,0.0,32,20,0.0,5
15,0.011439913386988632,30,5e-05,32,1,0.3,64,50,0.0001,5
