crypto,date,split,model_type,y_true,y_pred
ADAUSDT,2024-01-01,val,baseline,-0.14107859,-0.056225516
ADAUSDT,2024-01-02,val,baseline,-0.16612288,-0.050169908
ADAUSDT,2024-01-03,val,baseline,0.016208388,-0.03684771
ADAUSDT,2024-01-04,val,baseline,0.02100954,-0.05289443
ADAUSDT,2024-01-05,val,baseline,0.011386716,-0.042031333
ADAUSDT,2024-01-06,val,baseline,0.049272887,-0.0413151
ADAUSDT,2024-01-07,val,baseline,0.06004157,-0.033439316
ADAUSDT,2024-01-08,val,baseline,-0.025450476,-0.059018128
ADAUSDT,2024-01-09,val,baseline,0.044282045,-0.0412196
ADAUSDT,2024-01-10,val,baseline,-0.06911908,-0.061878808
ADAUSDT,2024-01-11,val,baseline,-0.14667583,-0.051083542
ADAUSDT,2024-01-12,val,baseline,-0.082175486,-0.03534875
ADAUSDT,2024-01-13,val,baseline,-0.06217381,-0.035247378
ADAUSDT,2024-01-14,val,baseline,-0.042601015,-0.029162377
ADAUSDT,2024-01-15,val,baseline,-0.09747325,-0.030419223
ADAUSDT,2024-01-16,val,baseline,-0.11524239,-0.029233612
ADAUSDT,2024-01-17,val,baseline,-0.10300728,-0.027892977
ADAUSDT,2024-01-18,val,baseline,-0.07432227,-0.027626134
ADAUSDT,2024-01-19,val,baseline,-0.03942692,-0.03203062
ADAUSDT,2024-01-20,val,baseline,-0.059486702,-0.033433996
ADAUSDT,2024-01-21,val,baseline,-0.025970256,-0.032264747
ADAUSDT,2024-01-22,val,baseline,0.094436035,-0.030415587
ADAUSDT,2024-01-23,val,baseline,0.07329953,-0.032591842
ADAUSDT,2024-01-24,val,baseline,0.043328818,-0.03573399
ADAUSDT,2024-01-25,val,baseline,0.08461531,-0.034878835
ADAUSDT,2024-01-26,val,baseline,0.059447214,-0.0380937
ADAUSDT,2024-01-27,val,baseline,0.052485507,-0.035930008
ADAUSDT,2024-01-28,val,baseline,0.0063027553,-0.032138877
ADAUSDT,2024-01-29,val,baseline,-0.061956305,-0.030260302
ADAUSDT,2024-01-30,val,baseline,-0.030242447,-0.02163653
ADAUSDT,2024-01-31,val,baseline,0.009201906,-0.019247703
ADAUSDT,2024-02-01,val,baseline,0.04354377,-0.019891374
ADAUSDT,2024-02-02,val,baseline,0.049474698,-0.013820291
ADAUSDT,2024-02-03,val,baseline,0.07353627,-0.011288956
ADAUSDT,2024-02-04,val,baseline,0.092838176,-0.0144590065
ADAUSDT,2024-02-05,val,baseline,0.123162284,-0.013779953
ADAUSDT,2024-02-06,val,baseline,0.089399986,-0.013813496
ADAUSDT,2024-02-07,val,baseline,0.13849714,-0.010958925
ADAUSDT,2024-02-08,val,baseline,0.13769409,0.0075533316
ADAUSDT,2024-02-09,val,baseline,0.101729,0.023060769
ADAUSDT,2024-02-10,val,baseline,0.100161165,0.030438025
ADAUSDT,2024-02-11,val,baseline,0.13443144,0.033529047
ADAUSDT,2024-02-12,val,baseline,0.12048166,0.03770732
ADAUSDT,2024-02-13,val,baseline,0.13169451,0.032565746
ADAUSDT,2024-02-14,val,baseline,0.037432067,0.040635675
ADAUSDT,2024-02-15,val,baseline,-0.038347103,0.046800654
ADAUSDT,2024-02-16,val,baseline,-0.027436098,0.038887743
ADAUSDT,2024-02-17,val,baseline,-0.02105341,0.036820307
ADAUSDT,2024-02-18,val,baseline,-0.0460972,0.042342253
ADAUSDT,2024-02-19,val,baseline,-0.018722044,0.041246504
ADAUSDT,2024-02-20,val,baseline,0.0036933,0.037909597
ADAUSDT,2024-02-21,val,baseline,0.048726544,0.029017966
ADAUSDT,2024-02-22,val,baseline,0.11119868,0.024798945
ADAUSDT,2024-02-23,val,baseline,0.21139903,0.019802637
ADAUSDT,2024-02-24,val,baseline,0.21706042,0.018617734
ADAUSDT,2024-02-25,val,baseline,0.20767108,0.017304856
ADAUSDT,2024-02-26,val,baseline,0.21825357,0.024636906
ADAUSDT,2024-02-27,val,baseline,0.10402929,0.034729257
ADAUSDT,2024-02-28,val,baseline,0.15608025,0.04864972
ADAUSDT,2024-02-29,val,baseline,0.12611508,0.07065802
ADAUSDT,2024-03-01,val,baseline,0.0045760325,0.07661787
ADAUSDT,2024-03-02,val,baseline,0.0,0.08114669
ADAUSDT,2024-03-03,val,baseline,-0.015645871,0.06504363
ADAUSDT,2024-03-04,val,baseline,0.0068586487,0.06813209
ADAUSDT,2024-03-05,val,baseline,0.07751727,0.058257706
ADAUSDT,2024-03-06,val,baseline,0.03857154,0.042455997
ADAUSDT,2024-03-07,val,baseline,0.010980292,0.038411807
ADAUSDT,2024-03-08,val,baseline,0.006343974,0.033875138
ADAUSDT,2024-03-09,val,baseline,-0.11793475,0.027243711
ADAUSDT,2024-03-10,val,baseline,-0.050368298,0.018985033
ADAUSDT,2024-03-11,val,baseline,-0.16068475,0.018845107
ADAUSDT,2024-03-12,val,baseline,-0.2435345,0.015904207
ADAUSDT,2024-03-13,val,baseline,-0.177463,0.016156718
ADAUSDT,2024-03-14,val,baseline,-0.1726996,0.024553485
ADAUSDT,2024-03-15,val,baseline,-0.16834219,0.010923769
