config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
5,0.008375411682674304,15,0.0001,32,2,0.1,32,35,0.0,5
15,0.008731778109949104,25,0.0001,32,2,0.0,64,35,1e-05,5
18,0.008791347990355485,10,0.001,64,2,0.1,64,20,1e-05,5
3,0.008798259632409359,10,0.001,64,1,0.3,32,50,0.0,5
14,0.008810595654589852,10,0.0005,64,2,0.3,64,20,1e-05,5
12,0.008850788625831779,30,0.0001,32,1,0.1,32,20,1e-05,5
10,0.008862984814573182,10,0.0005,128,2,0.2,64,20,0.0001,5
7,0.008904415074281902,15,0.0005,32,2,0.1,64,20,1e-05,5
1,0.00897805630357373,30,0.001,32,1,0.3,32,20,0.0,5
11,0.008988035454864313,30,0.001,128,1,0.3,64,50,0.0001,5
6,0.00899895732616505,15,0.0005,64,2,0.3,32,50,0.0001,5
8,0.009008505140746116,10,0.0001,64,2,0.3,64,20,0.0,5
16,0.009107886610793009,20,0.0001,32,1,0.0,32,20,0.0,5
9,0.009162242280646464,30,0.0005,128,2,0.3,32,35,0.0,5
13,0.00926667680711293,25,0.0005,64,1,0.0,32,35,0.0,5
17,0.009280484544559467,10,0.001,64,2,0.2,32,50,0.0001,5
4,0.009344892981217389,30,0.0001,32,1,0.1,32,50,0.0001,5
2,0.00936937619116393,10,0.0001,32,1,0.2,64,35,0.0,5
