config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
15,0.00860566975509363,25,0.0001,32,2,0.0,64,35,1e-05,5
12,0.008621265657614416,30,0.0001,32,1,0.1,32,20,1e-05,5
5,0.008678641352883742,15,0.0001,32,2,0.1,32,35,0.0,5
7,0.00874682845772559,15,0.0005,32,2,0.1,64,20,1e-05,5
14,0.008771557259215365,10,0.0005,64,2,0.3,64,20,1e-05,5
10,0.008848794089494497,10,0.0005,128,2,0.2,64,20,0.0001,5
9,0.008854876487407936,30,0.0005,128,2,0.3,32,35,0.0,5
6,0.008875262320320943,15,0.0005,64,2,0.3,32,50,0.0001,5
17,0.008882195467497652,10,0.001,64,2,0.2,32,50,0.0001,5
8,0.008901978441093477,10,0.0001,64,2,0.3,64,20,0.0,5
18,0.008949647788175358,10,0.001,64,2,0.1,64,20,1e-05,5
13,0.009004773001276677,25,0.0005,64,1,0.0,32,35,0.0,5
4,0.009015894657820952,30,0.0001,32,1,0.1,32,50,0.0001,5
16,0.009030679022874395,20,0.0001,32,1,0.0,32,20,0.0,5
1,0.00904538669345818,30,0.001,32,1,0.3,32,20,0.0,5
11,0.009146871829400976,30,0.001,128,1,0.3,64,50,0.0001,5
3,0.009194630086772465,10,0.001,64,1,0.3,32,50,0.0,5
2,0.009709364132206829,10,0.0001,32,1,0.2,64,35,0.0,5
