config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
3,0.014107792871072888,10,0.001,64,1,0.3,32,50,0.0,5
18,0.01418338221786577,10,0.001,64,2,0.1,64,20,1e-05,5
9,0.014213742511102143,30,0.0005,128,2,0.3,32,35,0.0,5
17,0.014220155384714226,10,0.001,64,2,0.2,32,50,0.0001,5
14,0.01423630534822573,10,0.0005,64,2,0.3,64,20,1e-05,5
6,0.014253531153432872,15,0.0005,64,2,0.3,32,50,0.0001,5
13,0.014257405926011671,25,0.0005,64,1,0.0,32,35,0.0,5
2,0.014354906880809717,10,0.0001,32,1,0.2,64,35,0.0,5
7,0.014370038952142125,15,0.0005,32,2,0.1,64,20,1e-05,5
8,0.01437333471886146,10,0.0001,64,2,0.3,64,20,0.0,5
10,0.014383353465687365,10,0.0005,128,2,0.2,64,20,0.0001,5
5,0.014456236987289046,15,0.0001,32,2,0.1,32,35,0.0,5
11,0.014482407125487496,30,0.001,128,1,0.3,64,50,0.0001,5
15,0.014518791129545553,25,0.0001,32,2,0.0,64,35,1e-05,5
16,0.014593804846801478,20,0.0001,32,1,0.0,32,20,0.0,5
12,0.014604034840286204,30,0.0001,32,1,0.1,32,20,1e-05,5
1,0.014838497309913256,30,0.001,32,1,0.3,32,20,0.0,5
4,0.015474771465878076,30,0.0001,32,1,0.1,32,50,0.0001,5
