crypto,date,split,model_type,y_true,y_pred
BCHUSDT,2024-01-01,val,baseline,-0.053299945,0.033039134
BCHUSDT,2024-01-02,val,baseline,-0.049023565,0.026938539
BCHUSDT,2024-01-03,val,baseline,0.08476527,0.048548914
BCHUSDT,2024-01-04,val,baseline,0.14220971,0.016617484
BCHUSDT,2024-01-05,val,baseline,0.0802677,0.0027066069
BCHUSDT,2024-01-06,val,baseline,0.07347245,0.00037176628
BCHUSDT,2024-01-07,val,baseline,0.055221055,0.0029240688
BCHUSDT,2024-01-08,val,baseline,-0.014679891,-0.02482092
BCHUSDT,2024-01-09,val,baseline,0.025807884,-0.007523807
BCHUSDT,2024-01-10,val,baseline,-0.04209882,-0.015035841
BCHUSDT,2024-01-11,val,baseline,-0.14975375,-0.042071693
BCHUSDT,2024-01-12,val,baseline,-0.09076979,-0.010977056
BCHUSDT,2024-01-13,val,baseline,-0.060846016,-0.0017720377
BCHUSDT,2024-01-14,val,baseline,-0.03647317,0.006538965
BCHUSDT,2024-01-15,val,baseline,-0.059700787,-0.0056640697
BCHUSDT,2024-01-16,val,baseline,-0.08991077,-0.0092556495
BCHUSDT,2024-01-17,val,baseline,-0.032885376,0.0030071521
BCHUSDT,2024-01-18,val,baseline,-0.0046384227,0.014460214
BCHUSDT,2024-01-19,val,baseline,0.020895036,0.01553188
BCHUSDT,2024-01-20,val,baseline,0.019056085,0.008996501
BCHUSDT,2024-01-21,val,baseline,0.0,0.0073325085
BCHUSDT,2024-01-22,val,baseline,0.023481162,0.006332866
BCHUSDT,2024-01-23,val,baseline,0.03340782,0.0075277938
BCHUSDT,2024-01-24,val,baseline,-0.008499838,-0.014195289
BCHUSDT,2024-01-25,val,baseline,0.0,-0.026102409
BCHUSDT,2024-01-26,val,baseline,-0.023008754,-0.040967338
BCHUSDT,2024-01-27,val,baseline,-0.011141027,-0.043768886
BCHUSDT,2024-01-28,val,baseline,-0.007201895,-0.029546041
BCHUSDT,2024-01-29,val,baseline,-0.023056984,-0.02511504
BCHUSDT,2024-01-30,val,baseline,-0.009310266,-0.009793472
BCHUSDT,2024-01-31,val,baseline,0.026533458,0.0024796398
BCHUSDT,2024-02-01,val,baseline,0.03325327,0.004365245
BCHUSDT,2024-02-02,val,baseline,0.057558015,0.006959914
BCHUSDT,2024-02-03,val,baseline,0.027825035,0.0029508444
BCHUSDT,2024-02-04,val,baseline,0.16574502,0.008260787
BCHUSDT,2024-02-05,val,baseline,0.17358974,0.0026100501
BCHUSDT,2024-02-06,val,baseline,0.13946612,-0.002471272
BCHUSDT,2024-02-07,val,baseline,0.15415068,-0.014429586
BCHUSDT,2024-02-08,val,baseline,0.100278124,-0.022101628
BCHUSDT,2024-02-09,val,baseline,0.091197565,-0.03132191
BCHUSDT,2024-02-10,val,baseline,0.07574965,-0.036263593
BCHUSDT,2024-02-11,val,baseline,-0.025539514,-0.05404878
BCHUSDT,2024-02-12,val,baseline,-0.026735697,-0.043292057
BCHUSDT,2024-02-13,val,baseline,-0.019418085,-0.02768511
BCHUSDT,2024-02-14,val,baseline,-0.064752296,-0.037602074
BCHUSDT,2024-02-15,val,baseline,-0.037683435,-0.025633886
BCHUSDT,2024-02-16,val,baseline,-0.03526066,-0.033800967
BCHUSDT,2024-02-17,val,baseline,0.0014953273,-0.032483976
BCHUSDT,2024-02-18,val,baseline,-0.010027939,-0.04406696
BCHUSDT,2024-02-19,val,baseline,0.005841565,-0.051401686
BCHUSDT,2024-02-20,val,baseline,0.09900552,-0.0411893
BCHUSDT,2024-02-21,val,baseline,0.1191757,-0.036340445
BCHUSDT,2024-02-22,val,baseline,0.13353139,-0.03089898
BCHUSDT,2024-02-23,val,baseline,0.17809401,-0.02966974
BCHUSDT,2024-02-24,val,baseline,0.62693876,-0.024880733
BCHUSDT,2024-02-25,val,baseline,0.5631822,-0.014645345
BCHUSDT,2024-02-26,val,baseline,0.54447234,-0.012400913
BCHUSDT,2024-02-27,val,baseline,0.31447163,-0.030646592
BCHUSDT,2024-02-28,val,baseline,0.33849448,-0.029920474
BCHUSDT,2024-02-29,val,baseline,0.37290674,-0.024554651
BCHUSDT,2024-03-01,val,baseline,0.32209724,-0.042957965
BCHUSDT,2024-03-02,val,baseline,-0.14791724,-0.13808507
BCHUSDT,2024-03-03,val,baseline,-0.1054786,-0.070131205
BCHUSDT,2024-03-04,val,baseline,-0.05446622,-0.03138284
BCHUSDT,2024-03-05,val,baseline,0.08138461,0.13682686
BCHUSDT,2024-03-06,val,baseline,0.06223609,0.09790925
BCHUSDT,2024-03-07,val,baseline,0.019253403,0.05348332
BCHUSDT,2024-03-08,val,baseline,-0.046421837,0.02587194
BCHUSDT,2024-03-09,val,baseline,-0.106337905,-0.0002915347
