config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
16,0.014052749035063254,20,0.0001,32,1,0.0,32,20,0.0,5
7,0.014111560172281198,15,0.0005,32,2,0.1,64,20,1e-05,5
14,0.01422811698100642,10,0.0005,64,2,0.3,64,20,1e-05,5
13,0.014229719496049486,25,0.0005,64,1,0.0,32,35,0.0,5
18,0.014246853295459971,10,0.001,64,2,0.1,64,20,1e-05,5
3,0.014327389531376078,10,0.001,64,1,0.3,32,50,0.0,5
8,0.014365202459932851,10,0.0001,64,2,0.3,64,20,0.0,5
17,0.014386044260784272,10,0.001,64,2,0.2,32,50,0.0001,5
5,0.014423768251929587,15,0.0001,32,2,0.1,32,35,0.0,5
10,0.014457234599557453,10,0.0005,128,2,0.2,64,20,0.0001,5
11,0.014468310551613286,30,0.001,128,1,0.3,64,50,0.0001,5
9,0.014479736494998646,30,0.0005,128,2,0.3,32,35,0.0,5
2,0.014508968050310137,10,0.0001,32,1,0.2,64,35,0.0,5
1,0.01455607576092111,30,0.001,32,1,0.3,32,20,0.0,5
6,0.014580929386757735,15,0.0005,64,2,0.3,32,50,0.0001,5
15,0.014638612204839965,25,0.0001,32,2,0.0,64,35,1e-05,5
4,0.014966919464632212,30,0.0001,32,1,0.1,32,50,0.0001,5
12,0.015599474981271413,30,0.0001,32,1,0.1,32,20,1e-05,5
