config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
5,0.004626894879368776,15,0.0001,32,2,0.1,32,35,0.0,5
6,0.004711981902492601,15,0.0005,64,2,0.3,32,50,0.0001,5
14,0.004781540684390027,10,0.0005,64,2,0.3,64,20,1e-05,5
7,0.004893406683032756,15,0.0005,32,2,0.1,64,20,1e-05,5
10,0.004929300960447648,10,0.0005,128,2,0.2,64,20,0.0001,5
15,0.004984344822640299,25,0.0001,32,2,0.0,64,35,1e-05,5
17,0.005154666265741484,10,0.001,64,2,0.2,32,50,0.0001,5
4,0.005166687602216206,30,0.0001,32,1,0.1,32,50,0.0001,5
8,0.005194477910112496,10,0.0001,64,2,0.3,64,20,0.0,5
18,0.005214631292018194,10,0.001,64,2,0.1,64,20,1e-05,5
9,0.005216624136369346,30,0.0005,128,2,0.3,32,35,0.0,5
3,0.00540068374641836,10,0.001,64,1,0.3,32,50,0.0,5
13,0.005511379975359887,25,0.0005,64,1,0.0,32,35,0.0,5
2,0.005523315128055819,10,0.0001,32,1,0.2,64,35,0.0,5
11,0.005623699494889574,30,0.001,128,1,0.3,64,50,0.0001,5
1,0.0057854232559255425,30,0.001,32,1,0.3,32,20,0.0,5
12,0.0061079079575676425,30,0.0001,32,1,0.1,32,20,1e-05,5
16,0.00611870965014658,20,0.0001,32,1,0.0,32,20,0.0,5
