crypto,date,split,model_type,y_true,y_pred
BNBUSDT,2024-01-01,val,baseline,-0.031758986,0.042966843
BNBUSDT,2024-01-02,val,baseline,-0.036201574,0.033589914
BNBUSDT,2024-01-03,val,baseline,-0.03217781,0.030216224
BNBUSDT,2024-01-04,val,baseline,-0.04906824,0.030503847
BNBUSDT,2024-01-05,val,baseline,-0.06809339,0.028857812
BNBUSDT,2024-01-06,val,baseline,-0.017386038,0.024624087
BNBUSDT,2024-01-07,val,baseline,-0.009636227,0.018826716
BNBUSDT,2024-01-08,val,baseline,0.044437446,0.01373072
BNBUSDT,2024-01-09,val,baseline,0.045764923,0.010588609
BNBUSDT,2024-01-10,val,baseline,0.011703645,0.010036871
BNBUSDT,2024-01-11,val,baseline,0.015454268,0.011678338
BNBUSDT,2024-01-12,val,baseline,0.059235375,0.012130387
BNBUSDT,2024-01-13,val,baseline,0.04844344,0.012026228
BNBUSDT,2024-01-14,val,baseline,0.06182198,0.010479525
BNBUSDT,2024-01-15,val,baseline,-0.037219565,0.013815261
BNBUSDT,2024-01-16,val,baseline,-0.053432904,0.018326484
BNBUSDT,2024-01-17,val,baseline,-0.054121092,0.02110871
BNBUSDT,2024-01-18,val,baseline,-0.06910698,0.023657136
BNBUSDT,2024-01-19,val,baseline,-0.040530752,0.02575136
BNBUSDT,2024-01-20,val,baseline,-0.037255432,0.026673205
BNBUSDT,2024-01-21,val,baseline,-0.0426415,0.026364014
BNBUSDT,2024-01-22,val,baseline,0.015569565,0.02056732
BNBUSDT,2024-01-23,val,baseline,0.029025784,0.013990223
BNBUSDT,2024-01-24,val,baseline,0.024933906,0.008836649
BNBUSDT,2024-01-25,val,baseline,0.02735271,0.0059854537
BNBUSDT,2024-01-26,val,baseline,-0.0026507636,0.004419163
BNBUSDT,2024-01-27,val,baseline,-0.019495083,0.0031599626
BNBUSDT,2024-01-28,val,baseline,-0.0019672138,0.0017732792
BNBUSDT,2024-01-29,val,baseline,-0.03105332,0.0018143058
BNBUSDT,2024-01-30,val,baseline,-0.016058022,0.0010302663
BNBUSDT,2024-01-31,val,baseline,0.022376714,-0.0009648688
BNBUSDT,2024-02-01,val,baseline,0.061368946,-0.002632212
BNBUSDT,2024-02-02,val,baseline,0.07230523,-0.0038402453
BNBUSDT,2024-02-03,val,baseline,0.07487035,-0.005322121
BNBUSDT,2024-02-04,val,baseline,0.05117842,-0.004497964
BNBUSDT,2024-02-05,val,baseline,0.08462917,-0.004076805
BNBUSDT,2024-02-06,val,baseline,0.070159465,-0.003661856
BNBUSDT,2024-02-07,val,baseline,0.08301708,-0.0020139068
BNBUSDT,2024-02-08,val,baseline,0.104043856,0.008358218
BNBUSDT,2024-02-09,val,baseline,0.10647101,0.020184405
BNBUSDT,2024-02-10,val,baseline,0.08853241,0.02497968
BNBUSDT,2024-02-11,val,baseline,0.086855456,0.023753487
BNBUSDT,2024-02-12,val,baseline,0.0700905,0.022557676
BNBUSDT,2024-02-13,val,baseline,0.08808871,0.017970525
BNBUSDT,2024-02-14,val,baseline,0.12722223,0.01623533
BNBUSDT,2024-02-15,val,baseline,0.07712833,0.023162775
BNBUSDT,2024-02-16,val,baseline,0.041043945,0.029620528
BNBUSDT,2024-02-17,val,baseline,0.07845023,0.028826773
BNBUSDT,2024-02-18,val,baseline,0.10493161,0.02405198
BNBUSDT,2024-02-19,val,baseline,0.1329624,0.019338273
BNBUSDT,2024-02-20,val,baseline,0.1068822,0.015686817
BNBUSDT,2024-02-21,val,baseline,0.08925043,0.020521387
BNBUSDT,2024-02-22,val,baseline,0.042973366,0.02445104
BNBUSDT,2024-02-23,val,baseline,0.08153703,0.023721226
BNBUSDT,2024-02-24,val,baseline,0.07371492,0.023088254
BNBUSDT,2024-02-25,val,baseline,0.0647798,0.021545254
BNBUSDT,2024-02-26,val,baseline,0.040981345,0.02207207
BNBUSDT,2024-02-27,val,baseline,-0.0012679094,0.018424213
BNBUSDT,2024-02-28,val,baseline,0.035074685,0.021503896
BNBUSDT,2024-02-29,val,baseline,0.17250893,0.016275883
BNBUSDT,2024-03-01,val,baseline,0.17600152,0.013691321
BNBUSDT,2024-03-02,val,baseline,0.1725801,0.0102795735
BNBUSDT,2024-03-03,val,baseline,0.2437264,0.007116087
BNBUSDT,2024-03-04,val,baseline,0.22314355,0.00523749
BNBUSDT,2024-03-05,val,baseline,0.31032407,-0.0030533783
BNBUSDT,2024-03-06,val,baseline,0.38412428,0.0031245872
BNBUSDT,2024-03-07,val,baseline,0.23977648,0.018901385
BNBUSDT,2024-03-08,val,baseline,0.26419935,0.031066842
BNBUSDT,2024-03-09,val,baseline,0.16587189,0.03458614
BNBUSDT,2024-03-10,val,baseline,0.077815,0.03744965
BNBUSDT,2024-03-11,val,baseline,0.060107112,0.030550532
BNBUSDT,2024-03-12,val,baseline,-0.05703804,0.02502326
BNBUSDT,2024-03-13,val,baseline,-0.124307044,0.026825309
BNBUSDT,2024-03-14,val,baseline,-0.0854452,0.015762605
BNBUSDT,2024-03-15,val,baseline,-0.13319276,0.010619767
BNBUSDT,2024-03-16,val,baseline,-0.043434992,-0.002495233
BNBUSDT,2024-03-17,val,baseline,-0.007021268,-0.006731745
BNBUSDT,2024-03-18,val,baseline,0.055336244,-0.012461159
BNBUSDT,2024-03-19,val,baseline,0.13382679,-0.020173408
BNBUSDT,2024-03-20,val,baseline,0.030945798,-0.015954368
BNBUSDT,2024-03-21,val,baseline,0.052069448,-0.020124845
BNBUSDT,2024-03-22,val,baseline,0.100745335,-0.027263228
BNBUSDT,2024-03-23,val,baseline,0.08472877,-0.035549246
BNBUSDT,2024-03-24,val,baseline,0.06644133,-0.04357426
BNBUSDT,2024-03-25,val,baseline,-0.019264441,-0.05264618
BNBUSDT,2024-03-26,val,baseline,-0.05125702,-0.0622446
BNBUSDT,2024-03-27,val,baseline,-0.022540133,-0.070457526
BNBUSDT,2024-03-28,val,baseline,0.0035931256,-0.0769227
BNBUSDT,2024-03-29,val,baseline,-0.058321156,-0.079852425
BNBUSDT,2024-03-30,val,baseline,-0.025800267,-0.08534879
BNBUSDT,2024-03-31,val,baseline,-0.0383047,-0.08882158
BNBUSDT,2024-04-01,val,baseline,0.018241772,-0.09520355
BNBUSDT,2024-04-02,val,baseline,0.0514293,-0.10055055
BNBUSDT,2024-04-03,val,baseline,0.08235526,-0.1010985
BNBUSDT,2024-04-04,val,baseline,0.0321009,-0.10162005
BNBUSDT,2024-04-05,val,baseline,0.030341513,-0.102070406
BNBUSDT,2024-04-06,val,baseline,-0.056756556,-0.10158983
BNBUSDT,2024-04-07,val,baseline,-0.030429194,-0.10133137
BNBUSDT,2024-04-08,val,baseline,-0.05918679,-0.10091558
BNBUSDT,2024-04-09,val,baseline,-0.076775014,-0.10154258
BNBUSDT,2024-04-10,val,baseline,-0.13238394,-0.10086805
BNBUSDT,2024-04-11,val,baseline,-0.090837896,-0.10053374
BNBUSDT,2024-04-12,val,baseline,-0.072404616,-0.10178262
BNBUSDT,2024-04-13,val,baseline,0.031675246,-0.1016715
