config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
14,0.004807224384017496,10,0.0005,64,2,0.3,64,20,1e-05,5
7,0.004838021647345315,15,0.0005,32,2,0.1,64,20,1e-05,5
8,0.004989012712430544,10,0.0001,64,2,0.3,64,20,0.0,5
16,0.004992823717160719,20,0.0001,32,1,0.0,32,20,0.0,5
15,0.00499349070925448,25,0.0001,32,2,0.0,64,35,1e-05,5
9,0.005000711998643838,30,0.0005,128,2,0.3,32,35,0.0,5
10,0.0050169206887476355,10,0.0005,128,2,0.2,64,20,0.0001,5
6,0.005129594431275984,15,0.0005,64,2,0.3,32,50,0.0001,5
18,0.005151746821633719,10,0.001,64,2,0.1,64,20,1e-05,5
1,0.005184205225724482,30,0.001,32,1,0.3,32,20,0.0,5
11,0.005276040574983585,30,0.001,128,1,0.3,64,50,0.0001,5
3,0.00539563309570681,10,0.001,64,1,0.3,32,50,0.0,5
5,0.005431253323108937,15,0.0001,32,2,0.1,32,35,0.0,5
13,0.005476751012392141,25,0.0005,64,1,0.0,32,35,0.0,5
17,0.0054981083455612366,10,0.001,64,2,0.2,32,50,0.0001,5
12,0.005540917630781939,30,0.0001,32,1,0.1,32,20,1e-05,5
4,0.005641445300147925,30,0.0001,32,1,0.1,32,50,0.0001,5
2,0.006399596355751984,10,0.0001,32,1,0.2,64,35,0.0,5
