config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
10,0.004986408378850594,10,0.0005,128,2,0.2,64,20,0.0001,5
14,0.005059739942099813,10,0.0005,64,2,0.3,64,20,1e-05,5
18,0.005071802571207411,10,0.001,64,2,0.1,64,20,1e-05,5
9,0.005091867694391156,30,0.0005,128,2,0.3,32,35,0.0,5
15,0.005103560342705722,25,0.0001,32,2,0.0,64,35,1e-05,5
7,0.005146270204304018,15,0.0005,32,2,0.1,64,20,1e-05,5
17,0.005149166139714495,10,0.001,64,2,0.2,32,50,0.0001,5
11,0.005215066345220793,30,0.001,128,1,0.3,64,50,0.0001,5
8,0.005230395823593053,10,0.0001,64,2,0.3,64,20,0.0,5
6,0.005290227987371794,15,0.0005,64,2,0.3,32,50,0.0001,5
3,0.005318039194182822,10,0.001,64,1,0.3,32,50,0.0,5
13,0.0053185955019058,25,0.0005,64,1,0.0,32,35,0.0,5
5,0.005334343444227754,15,0.0001,32,2,0.1,32,35,0.0,5
16,0.005452629359992023,20,0.0001,32,1,0.0,32,20,0.0,5
1,0.005767954006321559,30,0.001,32,1,0.3,32,20,0.0,5
4,0.006441005339517493,30,0.0001,32,1,0.1,32,50,0.0001,5
2,0.00651152376636302,10,0.0001,32,1,0.2,64,35,0.0,5
12,0.00749124697642679,30,0.0001,32,1,0.1,32,20,1e-05,5
