crypto,date,split,model_type,y_true,y_pred
BTCUSDT,2024-01-01,val,baseline,0.060843345,-0.04048678
BTCUSDT,2024-01-02,val,baseline,0.02554783,-0.03889476
BTCUSDT,2024-01-03,val,baseline,0.08516414,-0.043675296
BTCUSDT,2024-01-04,val,baseline,0.04836955,-0.04966287
BTCUSDT,2024-01-05,val,baseline,-0.031347647,-0.0515825
BTCUSDT,2024-01-06,val,baseline,-0.025810638,-0.051916998
BTCUSDT,2024-01-07,val,baseline,-0.051298544,-0.050369572
BTCUSDT,2024-01-08,val,baseline,-0.09934014,-0.046804298
BTCUSDT,2024-01-09,val,baseline,-0.06662673,-0.042236954
BTCUSDT,2024-01-10,val,baseline,-0.08677892,-0.041399516
BTCUSDT,2024-01-11,val,baseline,-0.114459254,-0.04498463
BTCUSDT,2024-01-12,val,baseline,-0.026616365,-0.048265077
BTCUSDT,2024-01-13,val,baseline,-0.027252575,-0.048391156
BTCUSDT,2024-01-14,val,baseline,-0.0036493884,-0.047983695
BTCUSDT,2024-01-15,val,baseline,-0.071744,-0.046720166
BTCUSDT,2024-01-16,val,baseline,-0.07808695,-0.043600928
BTCUSDT,2024-01-17,val,baseline,-0.06498033,-0.036695767
BTCUSDT,2024-01-18,val,baseline,-0.033621907,-0.030620558
BTCUSDT,2024-01-19,val,baseline,0.0039404696,-0.02420986
BTCUSDT,2024-01-20,val,baseline,0.010131484,-0.017389914
BTCUSDT,2024-01-21,val,baseline,0.0107816495,-0.008544788
BTCUSDT,2024-01-22,val,baseline,0.09019377,-0.0050854264
BTCUSDT,2024-01-23,val,baseline,0.07351324,-0.01014047
BTCUSDT,2024-01-24,val,baseline,0.060385454,-0.012706069
BTCUSDT,2024-01-25,val,baseline,0.07522087,-0.0150629645
BTCUSDT,2024-01-26,val,baseline,0.032381874,-0.013502464
BTCUSDT,2024-01-27,val,baseline,0.020920346,-0.010253355
BTCUSDT,2024-01-28,val,baseline,0.013043426,-0.008998466
BTCUSDT,2024-01-29,val,baseline,-0.013812342,-0.01386519
BTCUSDT,2024-01-30,val,baseline,0.0036692256,-0.019072
BTCUSDT,2024-01-31,val,baseline,0.04071903,-0.024840713
BTCUSDT,2024-02-01,val,baseline,0.049929354,-0.025864035
BTCUSDT,2024-02-02,val,baseline,0.08712802,-0.029052967
BTCUSDT,2024-02-03,val,baseline,0.1045439,-0.029964924
BTCUSDT,2024-02-04,val,baseline,0.12597907,-0.031118285
BTCUSDT,2024-02-05,val,baseline,0.15596439,-0.03218536
BTCUSDT,2024-02-06,val,baseline,0.14249805,-0.03114114
BTCUSDT,2024-02-07,val,baseline,0.15519321,-0.028297149
BTCUSDT,2024-02-08,val,baseline,0.13587691,-0.022930436
BTCUSDT,2024-02-09,val,baseline,0.100659095,-0.0152925085
BTCUSDT,2024-02-10,val,baseline,0.07834579,-0.005999012
BTCUSDT,2024-02-11,val,baseline,0.07645637,-2.6241643e-05
BTCUSDT,2024-02-12,val,baseline,0.03653516,0.0026809687
BTCUSDT,2024-02-13,val,baseline,0.050211996,0.0015334121
BTCUSDT,2024-02-14,val,baseline,0.0010462683,0.0018266763
BTCUSDT,2024-02-15,val,baseline,-0.011468364,-0.00065715564
BTCUSDT,2024-02-16,val,baseline,-0.026831266,-0.0049194964
BTCUSDT,2024-02-17,val,baseline,-0.0014420965,-0.011867474
BTCUSDT,2024-02-18,val,baseline,-0.007872067,-0.019192684
BTCUSDT,2024-02-19,val,baseline,0.050866675,-0.026345551
BTCUSDT,2024-02-20,val,baseline,0.08749746,-0.032261826
BTCUSDT,2024-02-21,val,baseline,0.1857364,-0.03681109
BTCUSDT,2024-02-22,val,baseline,0.17555378,-0.042059403
BTCUSDT,2024-02-23,val,baseline,0.206575,-0.045370344
BTCUSDT,2024-02-24,val,baseline,0.18402362,-0.05068721
BTCUSDT,2024-02-25,val,baseline,0.1989265,-0.052838527
BTCUSDT,2024-02-26,val,baseline,0.22534572,-0.0580321
BTCUSDT,2024-02-27,val,baseline,0.110855274,-0.056828305
BTCUSDT,2024-02-28,val,baseline,0.056696367,-0.05487944
BTCUSDT,2024-02-29,val,baseline,0.0890311,-0.051409196
BTCUSDT,2024-03-01,val,baseline,0.08796102,-0.0495843
BTCUSDT,2024-03-02,val,baseline,0.09717484,-0.046059288
BTCUSDT,2024-03-03,val,baseline,0.08852474,-0.04411341
BTCUSDT,2024-03-04,val,baseline,0.054635677,-0.04372299
BTCUSDT,2024-03-05,val,baseline,0.11446462,-0.042797852
BTCUSDT,2024-03-06,val,baseline,0.100674935,-0.045459393
BTCUSDT,2024-03-07,val,baseline,0.06609308,-0.049906548
BTCUSDT,2024-03-08,val,baseline,0.01999223,-0.05277054
BTCUSDT,2024-03-09,val,baseline,-0.045102354,-0.05184565
BTCUSDT,2024-03-10,val,baseline,-0.008189381,-0.047734253
BTCUSDT,2024-03-11,val,baseline,-0.0639945,-0.04942878
BTCUSDT,2024-03-12,val,baseline,-0.14290184,-0.04938768
BTCUSDT,2024-03-13,val,baseline,-0.074291356,-0.055179816
BTCUSDT,2024-03-14,val,baseline,-0.08607342,-0.058813706
BTCUSDT,2024-03-15,val,baseline,-0.08562407,-0.05766655
BTCUSDT,2024-03-16,val,baseline,-0.020274706,-0.04964597
BTCUSDT,2024-03-17,val,baseline,-0.017455602,-0.050170477
BTCUSDT,2024-03-18,val,baseline,0.033023875,-0.042826135
BTCUSDT,2024-03-19,val,baseline,0.1221996,-0.023013294
BTCUSDT,2024-03-20,val,baseline,0.023735352,-0.020720059
BTCUSDT,2024-03-21,val,baseline,0.07751542,-0.0071541863
BTCUSDT,2024-03-22,val,baseline,0.090657294,0.0059087584
BTCUSDT,2024-03-23,val,baseline,0.083781525,0.015810754
BTCUSDT,2024-03-24,val,baseline,0.058794025,0.019461676
BTCUSDT,2024-03-25,val,baseline,-0.0032997997,0.01975597
BTCUSDT,2024-03-26,val,baseline,-0.06682358,0.019478664
BTCUSDT,2024-03-27,val,baseline,-0.051796637,0.01421277
BTCUSDT,2024-03-28,val,baseline,-0.03292947,0.010729229
BTCUSDT,2024-03-29,val,baseline,-0.029491538,0.007516139
BTCUSDT,2024-03-30,val,baseline,-0.009910379,-0.0061123185
BTCUSDT,2024-03-31,val,baseline,-0.027299969,-0.01533802
BTCUSDT,2024-04-01,val,baseline,0.027894536,-0.019093739
BTCUSDT,2024-04-02,val,baseline,0.054719992,-0.015997628
BTCUSDT,2024-04-03,val,baseline,0.06837205,-0.018600311
BTCUSDT,2024-04-04,val,baseline,0.021928757,-0.021206291
BTCUSDT,2024-04-05,val,baseline,-0.0104360655,-0.01641021
BTCUSDT,2024-04-06,val,baseline,-0.07489526,-0.013515281
BTCUSDT,2024-04-07,val,baseline,-0.054798022,-0.01189719
BTCUSDT,2024-04-08,val,baseline,-0.121595256,-0.016552057
BTCUSDT,2024-04-09,val,baseline,-0.08057063,-0.013105973
BTCUSDT,2024-04-10,val,baseline,-0.14205967,-0.014110534
BTCUSDT,2024-04-11,val,baseline,-0.09801562,-0.013315864
BTCUSDT,2024-04-12,val,baseline,-0.050394773,-0.009996663
BTCUSDT,2024-04-13,val,baseline,0.015769996,-0.0052877264
BTCUSDT,2024-04-14,val,baseline,-0.011036459,-0.0076822946
BTCUSDT,2024-04-15,val,baseline,0.052213147,-0.009730156
BTCUSDT,2024-04-16,val,baseline,0.040258296,-0.013476833
BTCUSDT,2024-04-17,val,baseline,0.047987115,-0.012314506
BTCUSDT,2024-04-18,val,baseline,0.016070873,-0.013160011
BTCUSDT,2024-04-19,val,baseline,-0.0007524218,-0.015560251
BTCUSDT,2024-04-20,val,baseline,-0.023031866,-0.020487435
BTCUSDT,2024-04-21,val,baseline,-0.028465662,-0.020340586
BTCUSDT,2024-04-22,val,baseline,-0.045205124,-0.021828536
BTCUSDT,2024-04-23,val,baseline,-0.09042557,-0.025055744
BTCUSDT,2024-04-24,val,baseline,-0.09668184,-0.034879003
BTCUSDT,2024-04-25,val,baseline,-0.08807528,-0.03888757
BTCUSDT,2024-04-26,val,baseline,-0.0140229035,-0.04775544
BTCUSDT,2024-04-27,val,baseline,0.0067537976,-0.050030347
BTCUSDT,2024-04-28,val,baseline,0.014054753,-0.053276982
BTCUSDT,2024-04-29,val,baseline,-0.01103378,-0.05425613
BTCUSDT,2024-04-30,val,baseline,0.026673,-0.052022893
BTCUSDT,2024-05-01,val,baseline,0.04731741,-0.04689016
BTCUSDT,2024-05-02,val,baseline,0.065744594,-0.044766877
BTCUSDT,2024-05-03,val,baseline,-0.03367049,-0.042506874
BTCUSDT,2024-05-04,val,baseline,-0.04917762,-0.034939032
BTCUSDT,2024-05-05,val,baseline,-0.04029375,-0.030717306
BTCUSDT,2024-05-06,val,baseline,-0.0035701955,-0.029717129
BTCUSDT,2024-05-07,val,baseline,-0.011858926,-0.033459343
BTCUSDT,2024-05-08,val,baseline,0.07874535,-0.034588423
BTCUSDT,2024-05-09,val,baseline,0.033690557,-0.039742276
BTCUSDT,2024-05-10,val,baseline,0.09746114,-0.03854275
BTCUSDT,2024-05-11,val,baseline,0.09540898,-0.04170794
BTCUSDT,2024-05-12,val,baseline,0.075021,-0.0451972
BTCUSDT,2024-05-13,val,baseline,0.12676744,-0.051361162
BTCUSDT,2024-05-14,val,baseline,0.13031577,-0.05202586
