config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
6,0.004916129087800608,15,0.0005,32,2,0.3,32,20,0.0,5
8,0.004929827658535067,10,5e-05,32,2,0.3,32,20,0.0001,5
7,0.004931484433097555,10,5e-05,128,2,0.1,32,35,0.0001,5
12,0.004934484960894232,10,5e-05,64,2,0.1,32,35,0.0001,5
18,0.004958096099196819,25,5e-05,128,2,0.1,64,50,0.0,5
2,0.005115851946077738,10,0.001,128,2,0.2,64,35,1e-05,5
13,0.00513062048407178,20,0.001,32,2,0.3,32,20,0.0,5
14,0.005182846302475075,20,0.001,128,1,0.3,64,35,1e-05,5
1,0.005223812068944125,15,0.001,32,2,0.1,32,50,0.0,5
4,0.005269182374273353,20,0.0005,32,2,0.2,64,50,1e-05,5
17,0.005275600928000398,15,5e-05,64,2,0.0,64,50,0.0001,5
10,0.005284837150748479,10,0.0005,32,2,0.0,64,50,1e-05,5
16,0.005296762390408538,10,0.0005,32,1,0.0,32,20,0.0001,5
3,0.0054025399543357775,20,0.0001,64,1,0.2,32,50,0.0,5
5,0.005682733174599262,20,0.001,64,1,0.3,32,35,0.0,5
9,0.005727722085322494,30,0.001,32,1,0.0,32,20,0.0,5
11,0.005800210241575502,10,0.0005,32,1,0.3,32,20,0.0001,5
15,0.006433818017532037,30,5e-05,32,1,0.3,64,50,0.0001,5
