config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
10,0.0061993645631033345,10,0.0005,32,2,0.0,64,50,1e-05,5
18,0.006232596279996511,25,5e-05,128,2,0.1,64,50,0.0,5
6,0.006239310588517695,15,0.0005,32,2,0.3,32,20,0.0,5
7,0.00628354227897909,10,5e-05,128,2,0.1,32,35,0.0001,5
12,0.006327991174317545,10,5e-05,64,2,0.1,32,35,0.0001,5
8,0.006344405740345528,10,5e-05,32,2,0.3,32,20,0.0001,5
4,0.00638116294575973,20,0.0005,32,2,0.2,64,50,1e-05,5
13,0.00642850949387806,20,0.001,32,2,0.3,32,20,0.0,5
17,0.00662135990473746,15,5e-05,64,2,0.0,64,50,0.0001,5
1,0.006656917405404871,15,0.001,32,2,0.1,32,50,0.0,5
2,0.006715519309448348,10,0.001,128,2,0.2,64,35,1e-05,5
5,0.006785548708107869,20,0.001,64,1,0.3,32,35,0.0,5
14,0.007030979663844632,20,0.001,128,1,0.3,64,35,1e-05,5
11,0.007186967986908474,10,0.0005,32,1,0.3,32,20,0.0001,5
9,0.0073973352838226395,30,0.001,32,1,0.0,32,20,0.0,5
16,0.0077732391318856,10,0.0005,32,1,0.0,32,20,0.0001,5
3,0.007885865944191777,20,0.0001,64,1,0.2,32,50,0.0,5
15,0.009136843530120708,30,5e-05,32,1,0.3,64,50,0.0001,5
