crypto,date,split,model_type,y_true,y_pred
ETHUSDT,2024-01-01,val,baseline,-0.009225946,-0.016443342
ETHUSDT,2024-01-02,val,baseline,-0.0047025066,-0.021220133
ETHUSDT,2024-01-03,val,baseline,0.15661982,-0.014306396
ETHUSDT,2024-01-04,val,baseline,0.14390859,-0.015193075
ETHUSDT,2024-01-05,val,baseline,0.10602409,-0.015418515
ETHUSDT,2024-01-06,val,baseline,0.14026359,-0.015554532
ETHUSDT,2024-01-07,val,baseline,0.10723279,-0.015291244
ETHUSDT,2024-01-08,val,baseline,0.07493457,-0.023130506
ETHUSDT,2024-01-09,val,baseline,0.09867093,-0.027207293
ETHUSDT,2024-01-10,val,baseline,-0.021191236,-0.032198705
ETHUSDT,2024-01-11,val,baseline,-0.057868455,-0.02495481
ETHUSDT,2024-01-12,val,baseline,-0.01218073,-0.0066200644
ETHUSDT,2024-01-13,val,baseline,-0.042056017,0.0075118095
ETHUSDT,2024-01-14,val,baseline,-0.006417976,0.02193065
ETHUSDT,2024-01-15,val,baseline,-0.08192761,0.028774932
ETHUSDT,2024-01-16,val,baseline,-0.1430176,0.029252976
ETHUSDT,2024-01-17,val,baseline,-0.124044225,0.030535415
ETHUSDT,2024-01-18,val,baseline,-0.107651636,0.031905398
ETHUSDT,2024-01-19,val,baseline,-0.09432832,0.032143757
ETHUSDT,2024-01-20,val,baseline,-0.086159654,0.030147687
ETHUSDT,2024-01-21,val,baseline,-0.08496925,0.025968745
ETHUSDT,2024-01-22,val,baseline,0.001468112,0.031216398
ETHUSDT,2024-01-23,val,baseline,0.04380052,0.03775589
ETHUSDT,2024-01-24,val,baseline,0.021301512,0.04225549
ETHUSDT,2024-01-25,val,baseline,0.037873868,0.045455024
ETHUSDT,2024-01-26,val,baseline,0.018083233,0.041658193
ETHUSDT,2024-01-27,val,baseline,0.01250994,0.038653716
ETHUSDT,2024-01-28,val,baseline,0.01446792,0.03658928
ETHUSDT,2024-01-29,val,baseline,-0.006827709,0.028844997
ETHUSDT,2024-01-30,val,baseline,0.012566832,0.02299808
ETHUSDT,2024-01-31,val,baseline,0.060321074,0.022545174
ETHUSDT,2024-02-01,val,baseline,0.04881331,0.01767151
ETHUSDT,2024-02-02,val,baseline,0.07405972,0.01253061
ETHUSDT,2024-02-03,val,baseline,0.08500486,0.009012535
ETHUSDT,2024-02-04,val,baseline,0.09071047,0.005141273
ETHUSDT,2024-02-05,val,baseline,0.1446179,-0.00094662607
ETHUSDT,2024-02-06,val,baseline,0.10677187,-0.010385156
ETHUSDT,2024-02-07,val,baseline,0.13470952,-0.016407028
ETHUSDT,2024-02-08,val,baseline,0.15407333,-0.016348168
ETHUSDT,2024-02-09,val,baseline,0.11936184,-0.016304359
ETHUSDT,2024-02-10,val,baseline,0.10819502,-0.0146986395
ETHUSDT,2024-02-11,val,baseline,0.1390363,-0.01452212
ETHUSDT,2024-02-12,val,baseline,0.10171854,-0.018731564
