config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
8,0.0062591716692490295,10,0.0001,64,2,0.3,64,20,0.0,5
7,0.006344157739912672,15,0.0005,32,2,0.1,64,20,1e-05,5
14,0.006385315894888488,10,0.0005,64,2,0.3,64,20,1e-05,5
15,0.0064269330401850915,25,0.0001,32,2,0.0,64,35,1e-05,5
5,0.006594217335082048,15,0.0001,32,2,0.1,32,35,0.0,5
10,0.006664017788824385,10,0.0005,128,2,0.2,64,20,0.0001,5
9,0.006695459808293606,30,0.0005,128,2,0.3,32,35,0.0,5
6,0.0067058220807392835,15,0.0005,64,2,0.3,32,50,0.0001,5
18,0.0067391532744206445,10,0.001,64,2,0.1,64,20,1e-05,5
12,0.0068955316116227775,30,0.0001,32,1,0.1,32,20,1e-05,5
11,0.006912181734161957,30,0.001,128,1,0.3,64,50,0.0001,5
17,0.0069357542333047355,10,0.001,64,2,0.2,32,50,0.0001,5
13,0.0070920706143629995,25,0.0005,64,1,0.0,32,35,0.0,5
3,0.00725403653995747,10,0.001,64,1,0.3,32,50,0.0,5
16,0.0074139067843979785,20,0.0001,32,1,0.0,32,20,0.0,5
4,0.007450356349580463,30,0.0001,32,1,0.1,32,50,0.0001,5
2,0.0074917765614090385,10,0.0001,32,1,0.2,64,35,0.0,5
1,0.00762384775439066,30,0.001,32,1,0.3,32,20,0.0,5
