config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
1,0.009708503816441467,30,0.001,32,1,0.3,32,20,0.0,5
15,0.009782223619538467,25,0.0001,32,2,0.0,64,35,1e-05,5
7,0.00983396697546864,15,0.0005,32,2,0.1,64,20,1e-05,5
6,0.009908057487232605,15,0.0005,64,2,0.3,32,50,0.0001,5
10,0.00991622917576645,10,0.0005,128,2,0.2,64,20,0.0001,5
8,0.009953630948494876,10,0.0001,64,2,0.3,64,20,0.0,5
14,0.009963215586341018,10,0.0005,64,2,0.3,64,20,1e-05,5
5,0.010010645372666232,15,0.0001,32,2,0.1,32,35,0.0,5
13,0.010022019573544089,25,0.0005,64,1,0.0,32,35,0.0,5
18,0.010037916221209716,10,0.001,64,2,0.1,64,20,1e-05,5
12,0.010058432373495298,30,0.0001,32,1,0.1,32,20,1e-05,5
3,0.010059097295531306,10,0.001,64,1,0.3,32,50,0.0,5
4,0.010107406057871372,30,0.0001,32,1,0.1,32,50,0.0001,5
17,0.010132952893137254,10,0.001,64,2,0.2,32,50,0.0001,5
11,0.01030628481243371,30,0.001,128,1,0.3,64,50,0.0001,5
9,0.01031767760916405,30,0.0005,128,2,0.3,32,35,0.0,5
2,0.01038018578336337,10,0.0001,32,1,0.2,64,35,0.0,5
16,0.010400741173593124,20,0.0001,32,1,0.0,32,20,0.0,5
