crypto,date,split,model_type,y_true,y_pred
LINKUSDT,2024-01-01,val,baseline,-0.094995074,0.0064804554
LINKUSDT,2024-01-02,val,baseline,-0.10049304,0.009897359
LINKUSDT,2024-01-03,val,baseline,0.06326544,-0.009221084
LINKUSDT,2024-01-04,val,baseline,0.033575647,-0.017376117
LINKUSDT,2024-01-05,val,baseline,0.004248997,-0.0016225055
LINKUSDT,2024-01-06,val,baseline,0.06546378,0.0096550435
LINKUSDT,2024-01-07,val,baseline,0.11508421,0.008882031
LINKUSDT,2024-01-08,val,baseline,0.07137116,0.00037502497
LINKUSDT,2024-01-09,val,baseline,0.10739257,0.028483577
LINKUSDT,2024-01-10,val,baseline,0.044699818,0.019548982
LINKUSDT,2024-01-11,val,baseline,-0.024529532,0.030100271
LINKUSDT,2024-01-12,val,baseline,0.13015136,0.056302648
LINKUSDT,2024-01-13,val,baseline,0.095405236,0.030840397
LINKUSDT,2024-01-14,val,baseline,0.042525727,-0.01144392
LINKUSDT,2024-01-15,val,baseline,-0.039423566,-0.032904007
LINKUSDT,2024-01-16,val,baseline,-0.06569607,-0.055759482
LINKUSDT,2024-01-17,val,baseline,-0.10127298,-0.096004434
LINKUSDT,2024-01-18,val,baseline,-0.064383894,-0.08420568
LINKUSDT,2024-01-19,val,baseline,-0.12761061,-0.12986034
LINKUSDT,2024-01-20,val,baseline,-0.095405236,-0.121038504
LINKUSDT,2024-01-21,val,baseline,-0.06133935,-0.09901024
LINKUSDT,2024-01-22,val,baseline,0.027432298,-0.08227914
LINKUSDT,2024-01-23,val,baseline,0.07896628,-0.08385735
LINKUSDT,2024-01-24,val,baseline,0.079983294,-0.08655963
LINKUSDT,2024-01-25,val,baseline,0.22372545,-0.07686504
LINKUSDT,2024-01-26,val,baseline,0.2284442,-0.08816456
LINKUSDT,2024-01-27,val,baseline,0.20778748,-0.08807146
LINKUSDT,2024-01-28,val,baseline,0.22606745,-0.090535216
LINKUSDT,2024-01-29,val,baseline,0.24471669,-0.0968105
LINKUSDT,2024-01-30,val,baseline,0.1669646,-0.09608837
LINKUSDT,2024-01-31,val,baseline,0.19851185,-0.102141075
LINKUSDT,2024-02-01,val,baseline,0.0577529,-0.12641811
LINKUSDT,2024-02-02,val,baseline,0.03537754,-0.1361467
LINKUSDT,2024-02-03,val,baseline,0.07766135,-0.09130012
LINKUSDT,2024-02-04,val,baseline,0.10416992,-0.07381185
LINKUSDT,2024-02-05,val,baseline,0.06568259,-0.06495448
LINKUSDT,2024-02-06,val,baseline,0.083020635,-0.00047279894
LINKUSDT,2024-02-07,val,baseline,0.07290013,0.009531662
LINKUSDT,2024-02-08,val,baseline,0.09024576,0.043536767
LINKUSDT,2024-02-09,val,baseline,0.05687864,0.04001823
LINKUSDT,2024-02-10,val,baseline,0.04848071,0.03494344
LINKUSDT,2024-02-11,val,baseline,-0.0013411153,0.024749286
LINKUSDT,2024-02-12,val,baseline,-0.031419314,0.034754835
LINKUSDT,2024-02-13,val,baseline,-0.030090902,0.06390421
LINKUSDT,2024-02-14,val,baseline,-0.084821895,0.058627237
LINKUSDT,2024-02-15,val,baseline,-0.095254995,0.065490186
LINKUSDT,2024-02-16,val,baseline,-0.08627232,0.06875967
LINKUSDT,2024-02-17,val,baseline,-0.07777807,0.04925649
LINKUSDT,2024-02-18,val,baseline,-0.07196534,0.042573743
LINKUSDT,2024-02-19,val,baseline,-0.03849891,0.03802012
LINKUSDT,2024-02-20,val,baseline,-0.013471382,0.030399308
LINKUSDT,2024-02-21,val,baseline,0.043979317,0.014765173
LINKUSDT,2024-02-22,val,baseline,0.06168555,-0.0032653585
LINKUSDT,2024-02-23,val,baseline,0.11152492,-0.034957163
LINKUSDT,2024-02-24,val,baseline,0.14374453,-0.04571908
LINKUSDT,2024-02-25,val,baseline,0.09106699,-0.043022998
LINKUSDT,2024-02-26,val,baseline,0.06752102,-0.0488263
LINKUSDT,2024-02-27,val,baseline,-0.0026318575,-0.04977777
LINKUSDT,2024-02-28,val,baseline,0.033155005,-0.07119196
LINKUSDT,2024-02-29,val,baseline,0.041514914,-0.06882521
LINKUSDT,2024-03-01,val,baseline,-0.017711155,-0.07998928
LINKUSDT,2024-03-02,val,baseline,-0.068966165,-0.11484156
LINKUSDT,2024-03-03,val,baseline,0.055623885,-0.087915204
LINKUSDT,2024-03-04,val,baseline,0.04130777,-0.08829688
LINKUSDT,2024-03-05,val,baseline,0.08731,-0.05856084
LINKUSDT,2024-03-06,val,baseline,0.03262117,-0.100661956
LINKUSDT,2024-03-07,val,baseline,0.03851981,-0.09495743
LINKUSDT,2024-03-08,val,baseline,-0.0035088647,-0.09401258
