config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
10,0.00960043062741914,10,0.0005,32,2,0.0,64,50,1e-05,5
7,0.009648597796459815,10,5e-05,128,2,0.1,32,35,0.0001,5
8,0.009679916177363343,10,5e-05,32,2,0.3,32,20,0.0001,5
4,0.00973908069433384,20,0.0005,32,2,0.2,64,50,1e-05,5
12,0.00975569405369327,10,5e-05,64,2,0.1,32,35,0.0001,5
13,0.0098171135902476,20,0.001,32,2,0.3,32,20,0.0,5
2,0.009945543641458167,10,0.001,128,2,0.2,64,35,1e-05,5
6,0.009964517830106627,15,0.0005,32,2,0.3,32,20,0.0,5
18,0.009970182445558987,25,5e-05,128,2,0.1,64,50,0.0,5
17,0.010003009553455714,15,5e-05,64,2,0.0,64,50,0.0001,5
1,0.010101873408157373,15,0.001,32,2,0.1,32,50,0.0,5
9,0.010102995810418288,30,0.001,32,1,0.0,32,20,0.0,5
3,0.010196192761974381,20,0.0001,64,1,0.2,32,50,0.0,5
14,0.010213713089322389,20,0.001,128,1,0.3,64,35,1e-05,5
11,0.010239983519946481,10,0.0005,32,1,0.3,32,20,0.0001,5
5,0.010280821757255348,20,0.001,64,1,0.3,32,35,0.0,5
15,0.01044553841253923,30,5e-05,32,1,0.3,64,50,0.0001,5
16,0.010572272516996238,10,0.0005,32,1,0.0,32,20,0.0001,5
