config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
13,0.007715804160493588,25,0.0005,64,1,0.0,32,35,0.0,5
10,0.00787346235286164,10,0.0005,128,2,0.2,64,20,0.0001,5
11,0.007951990768854176,30,0.001,128,1,0.3,64,50,0.0001,5
17,0.007989520607616311,10,0.001,64,2,0.2,32,50,0.0001,5
18,0.008017836890785354,10,0.001,64,2,0.1,64,20,1e-05,5
4,0.008017991322594537,30,0.0001,32,1,0.1,32,50,0.0001,5
8,0.008036287929005966,10,0.0001,64,2,0.3,64,20,0.0,5
6,0.008044118537893575,15,0.0005,64,2,0.3,32,50,0.0001,5
7,0.008065374301058845,15,0.0005,32,2,0.1,64,20,1e-05,5
14,0.008077080577963533,10,0.0005,64,2,0.3,64,20,1e-05,5
9,0.00809816907470425,30,0.0005,128,2,0.3,32,35,0.0,5
5,0.008120173807595294,15,0.0001,32,2,0.1,32,35,0.0,5
3,0.008167378853654919,10,0.001,64,1,0.3,32,50,0.0,5
15,0.008182864849541331,25,0.0001,32,2,0.0,64,35,1e-05,5
2,0.008214978529852477,10,0.0001,32,1,0.2,64,35,0.0,5
1,0.008308631444200784,30,0.001,32,1,0.3,32,20,0.0,5
12,0.008642150528101404,30,0.0001,32,1,0.1,32,20,1e-05,5
16,0.008666363483285944,20,0.0001,32,1,0.0,32,20,0.0,5
