crypto,date,split,model_type,y_true,y_pred
LTCUSDT,2024-01-01,val,baseline,-0.09821858,0.01863435
LTCUSDT,2024-01-02,val,baseline,-0.085505046,0.020190954
LTCUSDT,2024-01-03,val,baseline,0.07185002,0.038649417
LTCUSDT,2024-01-04,val,baseline,0.079150416,0.042446606
LTCUSDT,2024-01-05,val,baseline,0.10039365,0.041961364
LTCUSDT,2024-01-06,val,baseline,0.092203036,0.037470452
LTCUSDT,2024-01-07,val,baseline,0.08225448,0.03378044
LTCUSDT,2024-01-08,val,baseline,0.020459577,0.025884911
LTCUSDT,2024-01-09,val,baseline,0.035919715,0.023658618
LTCUSDT,2024-01-10,val,baseline,-0.009171747,0.017567083
LTCUSDT,2024-01-11,val,baseline,-0.053874016,0.014856979
LTCUSDT,2024-01-12,val,baseline,-0.023292333,0.017596766
LTCUSDT,2024-01-13,val,baseline,-0.008650814,0.019565105
LTCUSDT,2024-01-14,val,baseline,0.027840419,0.022349536
LTCUSDT,2024-01-15,val,baseline,-0.02593742,0.02217485
LTCUSDT,2024-01-16,val,baseline,-0.058412928,0.01943034
LTCUSDT,2024-01-17,val,baseline,-0.049128547,0.015777797
LTCUSDT,2024-01-18,val,baseline,-0.039073903,0.017476454
LTCUSDT,2024-01-19,val,baseline,-0.061317455,0.012082681
LTCUSDT,2024-01-20,val,baseline,-0.047347818,0.0086907
LTCUSDT,2024-01-21,val,baseline,-0.048546292,0.004635945
LTCUSDT,2024-01-22,val,baseline,0.015759954,0.012056544
LTCUSDT,2024-01-23,val,baseline,0.029632911,0.02044265
LTCUSDT,2024-01-24,val,baseline,0.009481597,0.019999668
LTCUSDT,2024-01-25,val,baseline,0.030669872,0.017046064
LTCUSDT,2024-01-26,val,baseline,0.014804119,0.009915993
LTCUSDT,2024-01-27,val,baseline,0.010959414,0.0016407222
LTCUSDT,2024-01-28,val,baseline,-0.020844867,-0.003519684
LTCUSDT,2024-01-29,val,baseline,-0.010725145,-0.0053543597
LTCUSDT,2024-01-30,val,baseline,0.0120802885,-0.0053437054
LTCUSDT,2024-01-31,val,baseline,0.02747994,-0.0015417635
LTCUSDT,2024-02-01,val,baseline,0.043318138,-0.002625361
LTCUSDT,2024-02-02,val,baseline,0.03735383,-0.0030793548
LTCUSDT,2024-02-03,val,baseline,0.028509917,-0.0030717105
LTCUSDT,2024-02-04,val,baseline,0.06659981,0.0011027008
LTCUSDT,2024-02-05,val,baseline,0.07290446,0.0035411566
LTCUSDT,2024-02-06,val,baseline,0.009908284,0.0054735094
LTCUSDT,2024-02-07,val,baseline,0.017193228,0.007974118
