config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
5,0.007826158384377472,15,0.0001,32,2,0.1,32,35,0.0,5
6,0.007875518793498333,15,0.0005,64,2,0.3,32,50,0.0001,5
10,0.007912868929285838,10,0.0005,128,2,0.2,64,20,0.0001,5
17,0.007947973974033512,10,0.001,64,2,0.2,32,50,0.0001,5
18,0.007967308587300078,10,0.001,64,2,0.1,64,20,1e-05,5
9,0.007995021244368584,30,0.0005,128,2,0.3,32,35,0.0,5
8,0.00800079779878588,10,0.0001,64,2,0.3,64,20,0.0,5
2,0.008003914017611925,10,0.0001,32,1,0.2,64,35,0.0,5
1,0.008017674574445991,30,0.001,32,1,0.3,32,20,0.0,5
16,0.00802517065521343,20,0.0001,32,1,0.0,32,20,0.0,5
15,0.008050111387249887,25,0.0001,32,2,0.0,64,35,1e-05,5
11,0.008065955093344106,30,0.001,128,1,0.3,64,50,0.0001,5
7,0.008067477663329123,15,0.0005,32,2,0.1,64,20,1e-05,5
13,0.008069566504978613,25,0.0005,64,1,0.0,32,35,0.0,5
14,0.00807957229507128,10,0.0005,64,2,0.3,64,20,1e-05,5
3,0.008131229421324148,10,0.001,64,1,0.3,32,50,0.0,5
4,0.008179062168506668,30,0.0001,32,1,0.1,32,50,0.0001,5
12,0.00871304369124327,30,0.0001,32,1,0.1,32,20,1e-05,5
