config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
18,0.009838844189117691,25,5e-05,128,2,0.1,64,50,0.0,5
12,0.009847658081870334,10,5e-05,64,2,0.1,32,35,0.0001,5
10,0.009904402418044288,10,0.0005,32,2,0.0,64,50,1e-05,5
7,0.009911932485409553,10,5e-05,128,2,0.1,32,35,0.0001,5
8,0.009914235200225559,10,5e-05,32,2,0.3,32,20,0.0001,5
17,0.009927990336723296,15,5e-05,64,2,0.0,64,50,0.0001,5
6,0.01006765045774177,15,0.0005,32,2,0.3,32,20,0.0,5
4,0.01011356212943681,20,0.0005,32,2,0.2,64,50,1e-05,5
1,0.01021527719968794,15,0.001,32,2,0.1,32,50,0.0,5
3,0.010286111328161122,20,0.0001,64,1,0.2,32,50,0.0,5
13,0.010290418652230106,20,0.001,32,2,0.3,32,20,0.0,5
15,0.010348667197592618,30,5e-05,32,1,0.3,64,50,0.0001,5
2,0.010444395258030195,10,0.001,128,2,0.2,64,35,1e-05,5
5,0.010654315536590284,20,0.001,64,1,0.3,32,35,0.0,5
14,0.010872992713631909,20,0.001,128,1,0.3,64,35,1e-05,5
16,0.010934419699097796,10,0.0005,32,1,0.0,32,20,0.0001,5
11,0.010972434505174914,10,0.0005,32,1,0.3,32,20,0.0001,5
9,0.010996568255380168,30,0.001,32,1,0.0,32,20,0.0,5
