crypto,date,split,model_type,y_true,y_pred
XRPUSDT,2024-01-01,val,baseline,-0.0858854,0.020367522
XRPUSDT,2024-01-02,val,baseline,-0.09692852,0.021227684
XRPUSDT,2024-01-03,val,baseline,0.031276323,0.025765693
XRPUSDT,2024-01-04,val,baseline,0.025407271,0.026393121
XRPUSDT,2024-01-05,val,baseline,-0.010125785,0.026312048
XRPUSDT,2024-01-06,val,baseline,0.011902818,0.023458688
XRPUSDT,2024-01-07,val,baseline,0.043986518,0.020372491
XRPUSDT,2024-01-08,val,baseline,-0.0032948959,0.016891394
XRPUSDT,2024-01-09,val,baseline,0.01540377,0.016591195
XRPUSDT,2024-01-10,val,baseline,-0.05526079,0.016525988
XRPUSDT,2024-01-11,val,baseline,-0.08654327,0.019969095
XRPUSDT,2024-01-12,val,baseline,-0.04596034,0.024604734
XRPUSDT,2024-01-13,val,baseline,-0.037767097,0.024337687
XRPUSDT,2024-01-14,val,baseline,-0.05327705,0.022303699
XRPUSDT,2024-01-15,val,baseline,-0.08743782,0.02026207
XRPUSDT,2024-01-16,val,baseline,-0.10503247,0.018063111
XRPUSDT,2024-01-17,val,baseline,-0.09283304,0.015399773
XRPUSDT,2024-01-18,val,baseline,-0.07171396,0.012673732
XRPUSDT,2024-01-19,val,baseline,-0.022293326,0.0100489445
XRPUSDT,2024-01-20,val,baseline,-0.042638183,0.0055033565
XRPUSDT,2024-01-21,val,baseline,-0.041668802,0.0010140203
XRPUSDT,2024-01-22,val,baseline,0.014491644,-0.00089207664
XRPUSDT,2024-01-23,val,baseline,-0.014771892,-0.001161512
XRPUSDT,2024-01-24,val,baseline,-0.02898186,-0.0011998899
XRPUSDT,2024-01-25,val,baseline,-0.01569275,-0.0010973383
XRPUSDT,2024-01-26,val,baseline,-0.041816603,-0.0021733288
XRPUSDT,2024-01-27,val,baseline,-0.022310011,-0.003303513
XRPUSDT,2024-01-28,val,baseline,-0.0406948,-0.004469633
XRPUSDT,2024-01-29,val,baseline,-0.05432676,-0.004896557
XRPUSDT,2024-01-30,val,baseline,-0.011223905,-0.0012704618
XRPUSDT,2024-01-31,val,baseline,0.020647671,0.0023460034
XRPUSDT,2024-02-01,val,baseline,0.017442873,0.004130993
XRPUSDT,2024-02-02,val,baseline,0.03029073,0.0056274273
XRPUSDT,2024-02-03,val,baseline,0.010167954,0.0065654516
XRPUSDT,2024-02-04,val,baseline,0.044503603,0.006903546
XRPUSDT,2024-02-05,val,baseline,0.04738945,0.006291777
XRPUSDT,2024-02-06,val,baseline,0.038268242,0.005874809
XRPUSDT,2024-02-07,val,baseline,0.045652658,0.006188277
