config_id,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
5,0.009677730494578289,15,0.0001,32,2,0.1,32,35,0.0,5
15,0.0097106965121022,25,0.0001,32,2,0.0,64,35,1e-05,5
8,0.009763688049051051,10,0.0001,64,2,0.3,64,20,0.0,5
7,0.009955959249367957,15,0.0005,32,2,0.1,64,20,1e-05,5
14,0.009961989387789721,10,0.0005,64,2,0.3,64,20,1e-05,5
6,0.00998211240066547,15,0.0005,64,2,0.3,32,50,0.0001,5
10,0.009995879126398903,10,0.0005,128,2,0.2,64,20,0.0001,5
18,0.01021118648767498,10,0.001,64,2,0.1,64,20,1e-05,5
13,0.010254451822269188,25,0.0005,64,1,0.0,32,35,0.0,5
17,0.01026773776635394,10,0.001,64,2,0.2,32,50,0.0001,5
4,0.010294971253785217,30,0.0001,32,1,0.1,32,50,0.0001,5
12,0.01058604293352654,30,0.0001,32,1,0.1,32,20,1e-05,5
9,0.010597776432700786,30,0.0005,128,2,0.3,32,35,0.0,5
11,0.010704206290522428,30,0.001,128,1,0.3,64,50,0.0001,5
3,0.010847577764268791,10,0.001,64,1,0.3,32,50,0.0,5
16,0.01089440330249906,20,0.0001,32,1,0.0,32,20,0.0,5
2,0.010968171092353344,10,0.0001,32,1,0.2,64,35,0.0,5
1,0.011580275000031845,30,0.001,32,1,0.3,32,20,0.0,5
