crypto,date,split,model_type,y_true,y_pred
ADAUSDT,2024-01-01,val,baseline,-0.14107859,-0.01690824
ADAUSDT,2024-01-02,val,baseline,-0.16612288,-0.020518996
ADAUSDT,2024-01-03,val,baseline,0.016208388,-0.017644893
ADAUSDT,2024-01-04,val,baseline,0.02100954,-0.018345516
ADAUSDT,2024-01-05,val,baseline,0.011386716,-0.017706566
ADAUSDT,2024-01-06,val,baseline,0.049272887,-0.01831805
ADAUSDT,2024-01-07,val,baseline,0.06004157,-0.018315688
ADAUSDT,2024-01-08,val,baseline,-0.025450476,-0.019290607
ADAUSDT,2024-01-09,val,baseline,0.044282045,-0.01866271
ADAUSDT,2024-01-10,val,baseline,-0.06911908,-0.01807532
ADAUSDT,2024-01-11,val,baseline,-0.14667583,-0.01589406
ADAUSDT,2024-01-12,val,baseline,-0.082175486,-0.013837397
ADAUSDT,2024-01-13,val,baseline,-0.06217381,-0.014742125
ADAUSDT,2024-01-14,val,baseline,-0.042601015,-0.016190428
ADAUSDT,2024-01-15,val,baseline,-0.09747325,-0.017160755
ADAUSDT,2024-01-16,val,baseline,-0.11524239,-0.017642554
ADAUSDT,2024-01-17,val,baseline,-0.10300728,-0.019101392
ADAUSDT,2024-01-18,val,baseline,-0.07432227,-0.018555496
ADAUSDT,2024-01-19,val,baseline,-0.03942692,-0.017880708
ADAUSDT,2024-01-20,val,baseline,-0.059486702,-0.01810396
ADAUSDT,2024-01-21,val,baseline,-0.025970256,-0.019287948
ADAUSDT,2024-01-22,val,baseline,0.094436035,-0.018361356
ADAUSDT,2024-01-23,val,baseline,0.07329953,-0.01752353
ADAUSDT,2024-01-24,val,baseline,0.043328818,-0.018119615
ADAUSDT,2024-01-25,val,baseline,0.08461531,-0.018775467
ADAUSDT,2024-01-26,val,baseline,0.059447214,-0.020317242
ADAUSDT,2024-01-27,val,baseline,0.052485507,-0.021635048
ADAUSDT,2024-01-28,val,baseline,0.0063027553,-0.021782268
ADAUSDT,2024-01-29,val,baseline,-0.061956305,-0.019820902
ADAUSDT,2024-01-30,val,baseline,-0.030242447,-0.017809913
ADAUSDT,2024-01-31,val,baseline,0.009201906,-0.016588572
ADAUSDT,2024-02-01,val,baseline,0.04354377,-0.015354238
ADAUSDT,2024-02-02,val,baseline,0.049474698,-0.012953278
ADAUSDT,2024-02-03,val,baseline,0.07353627,-0.012294635
ADAUSDT,2024-02-04,val,baseline,0.092838176,-0.014658917
ADAUSDT,2024-02-05,val,baseline,0.123162284,-0.015513293
ADAUSDT,2024-02-06,val,baseline,0.089399986,-0.015063386
ADAUSDT,2024-02-07,val,baseline,0.13849714,-0.0107132755
ADAUSDT,2024-02-08,val,baseline,0.13769409,-0.0007157698
ADAUSDT,2024-02-09,val,baseline,0.101729,0.009553984
ADAUSDT,2024-02-10,val,baseline,0.100161165,0.017310815
ADAUSDT,2024-02-11,val,baseline,0.13443144,0.022160584
ADAUSDT,2024-02-12,val,baseline,0.12048166,0.026867473
