asset,model_type,val_mse,val_mae,val_da,test_mse,test_mae,test_da,hp_seq_len,hp_learning_rate,hp_hidden_size,hp_num_layers,hp_dropout,hp_batch_size,hp_epochs,hp_weight_decay,hp_patience
ADAUSDT,baseline,0.0177458543330431,0.09599510580301285,0.4986072423398329,0.01501781027764082,0.09511461853981018,0.5893854748603352,20,0.0001,64,1,0.2,32,50,0.0,5
ADAUSDT,regime,0.023649800568819046,0.10385505110025406,0.5459610027855153,0.019688531756401062,0.10818686336278915,0.5111731843575419,30,0.001,32,1,0.0,32,20,0.0,5
BCHUSDT,baseline,0.01789391040802002,0.09766687452793121,0.5292479108635098,0.007069908548146486,0.06505697965621948,0.6061452513966481,15,0.0005,32,2,0.3,32,20,0.0,5
BCHUSDT,regime,0.02336197905242443,0.11237796396017075,0.5041782729805014,0.00976148433983326,0.07863426953554153,0.5083798882681564,10,0.0005,32,2,0.0,64,50,1e-05,5
BNBUSDT,baseline,0.01624605804681778,0.10909142345190048,0.5097493036211699,0.009392713196575642,0.06357140839099884,0.5949720670391061,10,5e-05,128,2,0.1,32,35,0.0001,5
BNBUSDT,regime,0.01562800072133541,0.09685798734426498,0.42896935933147634,0.008402412757277489,0.06645265966653824,0.5391061452513967,20,0.0005,32,2,0.2,64,50,1e-05,5
BTCUSDT,baseline,0.00971214473247528,0.07923417538404465,0.4428969359331476,0.002929466310888529,0.041382916271686554,0.4664804469273743,10,5e-05,128,2,0.1,32,35,0.0001,5
BTCUSDT,regime,0.03002745844423771,0.13951097428798676,0.4596100278551532,0.003443140536546707,0.04696343094110489,0.4692737430167598,15,0.0005,32,2,0.3,32,20,0.0,5
ETHUSDT,baseline,0.01857045292854309,0.10502031445503235,0.4986072423398329,0.0125496294349432,0.07980640977621078,0.6033519553072626,10,0.0005,32,2,0.0,64,50,1e-05,5
ETHUSDT,regime,0.008466333150863647,0.07212544977664948,0.5766016713091922,0.009754897095263004,0.07468295842409134,0.5558659217877095,10,5e-05,128,2,0.1,32,35,0.0001,5
LINKUSDT,baseline,0.014595044776797295,0.09511144459247589,0.5571030640668524,0.013001086190342903,0.08950067311525345,0.5363128491620112,25,5e-05,128,2,0.1,64,50,0.0,5
LINKUSDT,regime,0.018365241587162018,0.1080411970615387,0.5376044568245125,0.016040172427892685,0.0993974357843399,0.5782122905027933,10,0.0005,32,2,0.0,64,50,1e-05,5
LTCUSDT,baseline,0.015124618075788021,0.08909706026315689,0.532033426183844,0.02232414297759533,0.11206416040658951,0.49441340782122906,20,0.0005,32,2,0.2,64,50,1e-05,5
LTCUSDT,regime,0.00901701021939516,0.06796939671039581,0.5905292479108635,0.010851188562810421,0.07914119958877563,0.4720670391061452,10,5e-05,64,2,0.1,32,35,0.0001,5
XRPUSDT,baseline,0.023986225947737694,0.10174430906772614,0.5264623955431755,0.04040958359837532,0.17766079306602478,0.553072625698324,25,5e-05,128,2,0.1,64,50,0.0,5
XRPUSDT,regime,0.022096548229455948,0.09803275018930435,0.49303621169916434,0.024843158200383186,0.12649649381637573,0.553072625698324,15,5e-05,64,2,0.0,64,50,0.0001,5
